New Hampshire, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,26.7,-0.9
189601,24.2,-3.4
189701,28.5,0.9
189801,26.1,-1.5
189901,27.3,-0.3
190001,29.8,2.2
190101,25.7,-1.9
190201,26.3,-1.3
190301,27.5,-0.1
190401,19.4,-8.2
190501,22.9,-4.7
190601,33.9,6.3
190701,24.6,-3.0
190801,29.7,2.1
190901,28.9,1.3
191001,30.1,2.5
191101,29.7,2.1
191201,18.8,-8.8
191301,36.5,8.9
191401,25.8,-1.8
191501,30.4,2.8
191601,31.4,3.8
191701,26.7,-0.9
191801,18.1,-9.5
191901,30.5,2.9
192001,20.2,-7.4
192101,29.8,2.2
192201,25,-2.6
192301,23.5,-4.1
192401,30.6,3.0
192501,23.9,-3.7
192601,27.9,0.3
192701,28.2,0.6
192801,29.8,2.2
192901,26.4,-1.2
193001,29.6,2.0
193101,27.8,0.2
193201,36.1,8.5
193301,35.9,8.3
193401,28.4,0.8
193501,22.9,-4.7
193601,25.3,-2.3
193701,36,8.4
193801,27.3,-0.3
193901,27.1,-0.5
194001,21.7,-5.9
194101,25,-2.6
194201,28.2,0.6
194301,23.4,-4.2
194401,29.5,1.9
194501,23.1,-4.5
194601,27.6,0.0
194701,30.6,3.0
194801,23.1,-4.5
194901,33.1,5.5
195001,34.5,6.9
195101,31.7,4.1
195201,30.9,3.3
195301,33.5,5.9
195401,25.1,-2.5
195501,25.6,-2.0
195601,28.9,1.3
195701,23.2,-4.4
195801,29.4,1.8
195901,27.1,-0.5
196001,28.9,1.3
196101,23.4,-4.2
196201,27.8,0.2
196301,27.4,-0.2
196401,30.4,2.8
196501,25.1,-2.5
196601,27.5,-0.1
196701,32.2,4.6
196801,23.4,-4.2
196901,28.3,0.7
197001,20.5,-7.1
197101,22.7,-4.9
197201,30.5,2.9
197301,31,3.4
197401,30,2.4
197501,31.4,3.8
197601,23.7,-3.9
197701,21.6,-6.0
197801,25.8,-1.8
197901,27.7,0.1
198001,29.2,1.6
198101,21.5,-6.1
198201,20.4,-7.2
198301,29.6,2.0
198401,25.6,-2.0
198501,22.4,-5.2
198601,30.7,3.1
198701,27.5,-0.1
198801,27.9,0.3
198901,32.5,4.9
199001,35,7.4
199101,27.9,0.3
199201,28.7,1.1
199301,30,2.4
199401,20.7,-6.9
199501,32.6,5.0
199601,28.2,0.6
199701,27.4,-0.2
199801,31.4,3.8
199901,29.7,2.1
200001,26.9,-0.7
200101,29.2,1.6
200201,34.9,7.3
200301,21.6,-6.0
200401,18.9,-8.7
200501,26,-1.6
200601,35.7,8.1
200701,30.6,3.0
200801,32.1,4.5
200901,23.2,-4.4
201001,29.4,1.8
201101,26.7,-0.9
201201,31.4,3.8
201301,30.3,2.7
201401,26.2,-1.4
201501,25.7,-1.9
201601,31.4,3.8
