Arizona, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,91,-2.8
189607,89.8,-4.0
189707,92.2,-1.6
189807,93.2,-0.6
189907,92.6,-1.2
190007,95.1,1.3
190107,96.2,2.4
190207,93.2,-0.6
190307,93.8,0.0
190407,92.8,-1.0
190507,94.3,0.5
190607,93.9,0.1
190707,92.8,-1.0
190807,93,-0.8
190907,93.2,-0.6
191007,94.8,1.0
191107,90,-3.8
191207,89.1,-4.7
191307,91.5,-2.3
191407,89.4,-4.4
191507,91.2,-2.6
191607,92.2,-1.6
191707,94.1,0.3
191807,91.1,-2.7
191907,89.6,-4.2
192007,94.8,1.0
192107,91.2,-2.6
192207,93.8,0.0
192307,91.7,-2.1
192407,92.4,-1.4
192507,94.1,0.3
192607,93.2,-0.6
192707,94,0.2
192807,94.7,0.9
192907,92.4,-1.4
193007,91.7,-2.1
193107,96.1,2.3
193207,92.8,-1.0
193307,95.6,1.8
193407,96.1,2.3
193507,94.3,0.5
193607,94.7,0.9
193707,94.3,0.5
193807,93.4,-0.4
193907,95.3,1.5
194007,95.7,1.9
194107,93,-0.8
194207,96.9,3.1
194307,95.1,1.3
194407,93.8,0.0
194507,94.5,0.7
194607,93.2,-0.6
194707,96.2,2.4
194807,94.8,1.0
194907,92.8,-1.0
195007,90.6,-3.2
195107,96.4,2.6
195207,93.8,0.0
195307,93.7,-0.1
195407,94.1,0.3
195507,91.5,-2.3
195607,92.9,-0.9
195707,94.2,0.4
195807,95.3,1.5
195907,96.2,2.4
196007,96.5,2.7
196107,95.3,1.5
196207,93.7,-0.1
196307,96.2,2.4
196407,94.9,1.1
196507,92.6,-1.2
196607,94.6,0.8
196707,93.4,-0.4
196807,92.3,-1.5
196907,94.1,0.3
197007,95.2,1.4
197107,96.8,3.0
197207,96.5,2.7
197307,94.4,0.6
197407,92.4,-1.4
197507,93.1,-0.7
197607,92.5,-1.3
197707,93.9,0.1
197807,96.1,2.3
197907,95.7,1.9
198007,96.4,2.6
198107,94.1,0.3
198207,92.7,-1.1
198307,93.6,-0.2
198407,91.5,-2.3
198507,95.1,1.3
198607,91.2,-2.6
198707,93.1,-0.7
198807,95.1,1.3
198907,96.5,2.7
199007,92.4,-1.4
199107,93.9,0.1
199207,92.2,-1.6
199307,93.2,-0.6
199407,96.5,2.7
199507,96,2.2
199607,96.2,2.4
199707,94.9,1.1
199807,95.5,1.7
199907,90.6,-3.2
200007,96.4,2.6
200107,93.6,-0.2
200207,96.6,2.8
200307,98.9,5.1
200407,95.1,1.3
200507,98.6,4.8
200607,95.7,1.9
200707,95.9,2.1
200807,93.8,0.0
200907,97.2,3.4
201007,95.1,1.3
201107,94.7,0.9
201207,93,-0.8
201307,93.8,0.0
201407,95.2,1.4
201507,91.8,-2.0
