West Virginia, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,35.9,-4.0
189601,38.5,-1.4
189701,36.7,-3.2
189801,42.3,2.4
189901,39.5,-0.4
190001,42.4,2.5
190101,40.6,0.7
190201,37.8,-2.1
190301,38.7,-1.2
190401,35.7,-4.2
190501,34.6,-5.3
190601,45.4,5.5
190701,47.2,7.3
190801,39,-0.9
190901,45.1,5.2
191001,40,0.1
191101,45.4,5.5
191201,31.8,-8.1
191301,50.3,10.4
191401,42.1,2.2
191501,38.6,-1.3
191601,49.2,9.3
191701,42.9,3.0
191801,28.2,-11.7
191901,43.5,3.6
192001,36.7,-3.2
192101,43.6,3.7
192201,38.6,-1.3
192301,42,2.1
192401,39.3,-0.6
192501,39.4,-0.5
192601,37.8,-2.1
192701,38.7,-1.2
192801,40.2,0.3
192901,39.5,-0.4
193001,42,2.1
193101,40.8,0.9
193201,51,11.1
193301,47.8,7.9
193401,44.6,4.7
193501,41.4,1.5
193601,33.9,-6.0
193701,49.9,10.0
193801,40.7,0.8
193901,44.3,4.4
194001,26.1,-13.8
194101,38.4,-1.5
194201,38.9,-1.0
194301,42.9,3.0
194401,40.9,1.0
194501,34.6,-5.3
194601,42.4,2.5
194701,46.8,6.9
194801,32,-7.9
194901,48,8.1
195001,53.5,13.6
195101,43.5,3.6
195201,45.8,5.9
195301,45.5,5.6
195401,41.5,1.6
195501,37.1,-2.8
195601,35.6,-4.3
195701,37,-2.9
195801,35.4,-4.5
195901,38.4,-1.5
196001,40.6,0.7
196101,33.9,-6.0
196201,38.9,-1.0
196301,36.3,-3.6
196401,42.2,2.3
196501,40.1,0.2
196601,33.3,-6.6
196701,44.3,4.4
196801,35.3,-4.6
196901,37.1,-2.8
197001,32.3,-7.6
197101,35.1,-4.8
197201,43.1,3.2
197301,41.1,1.2
197401,47.2,7.3
197501,43.1,3.2
197601,36.4,-3.5
197701,25.3,-14.6
197801,30.3,-9.6
197901,33.2,-6.7
198001,38,-1.9
198101,33,-6.9
198201,35.4,-4.5
198301,38.6,-1.3
198401,35.4,-4.5
198501,31.6,-8.3
198601,39.2,-0.7
198701,36.8,-3.1
198801,36.6,-3.3
198901,47.4,7.5
199001,47.5,7.6
199101,41.2,1.3
199201,41.9,2.0
199301,44.4,4.5
199401,32.4,-7.5
199501,40.2,0.3
199601,38.6,-1.3
199701,40.5,0.6
199801,45.3,5.4
199901,44.3,4.4
200001,40.1,0.2
200101,38.6,-1.3
200201,44.7,4.8
200301,33.3,-6.6
200401,36.5,-3.4
200501,43.3,3.4
200601,49.5,9.6
200701,44,4.1
200801,40.4,0.5
200901,36,-3.9
201001,34.4,-5.5
201101,35,-4.9
201201,44.6,4.7
201301,42.6,2.7
201401,34.9,-5.0
201501,37.3,-2.6
201601,37.7,-2.2
