Alabama, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,48.1,-11.6
189602,59,-0.7
189702,61.1,1.4
189802,58,-1.7
189902,51.4,-8.3
190002,56.4,-3.3
190102,53.9,-5.8
190202,50.9,-8.8
190302,59.5,-0.2
190402,60.2,0.5
190502,49.5,-10.2
190602,58.1,-1.6
190702,60.6,0.9
190802,55.2,-4.5
190902,63.3,3.6
191002,56.9,-2.8
191102,65.4,5.7
191202,55.1,-4.6
191302,58.2,-1.5
191402,57.5,-2.2
191502,58.9,-0.8
191602,59.9,0.2
191702,60.9,1.2
191802,65.3,5.6
191902,58.5,-1.2
192002,56.6,-3.1
192102,62,2.3
192202,64.3,4.6
192302,57.7,-2.0
192402,58,-1.7
192502,64.3,4.6
192602,62.1,2.4
192702,68.7,9.0
192802,59,-0.7
192902,56.4,-3.3
193002,65.8,6.1
193102,61.6,1.9
193202,68,8.3
193302,58.7,-1.0
193402,56.4,-3.3
193502,60.3,0.6
193602,55.8,-3.9
193702,58.3,-1.4
193802,66,6.3
193902,63.2,3.5
194002,54.3,-5.4
194102,53.3,-6.4
194202,53.7,-6.0
194302,62.9,3.2
194402,64.3,4.6
194502,62.3,2.6
194602,62.9,3.2
194702,54.5,-5.2
194802,60.5,0.8
194902,63.2,3.5
195002,65.8,6.1
195102,61.8,2.1
195202,61.8,2.1
195302,60.2,0.5
195402,66,6.3
195502,60.4,0.7
195602,64.4,4.7
195702,66.9,7.2
195802,49.8,-9.9
195902,59.5,-0.2
196002,55.7,-4.0
196102,63.5,3.8
196202,68.4,8.7
196302,55,-4.7
196402,53.4,-6.3
196502,58.2,-1.5
196602,57.5,-2.2
196702,55.7,-4.0
196802,51.9,-7.8
196902,56.9,-2.8
197002,57.9,-1.8
197102,58.4,-1.3
197202,58,-1.7
197302,56.9,-2.8
197402,60.4,0.7
197502,62.6,2.9
197602,67.2,7.5
197702,59.1,-0.6
197802,50.3,-9.4
197902,53.4,-6.3
198002,54.7,-5.0
198102,59.5,-0.2
198202,59.6,-0.1
198302,56.4,-3.3
198402,61.7,2.0
198502,56.3,-3.4
198602,63.4,3.7
198702,58,-1.7
198802,58.1,-1.6
198902,58,-1.7
199002,65.8,6.1
199102,61.6,1.9
199202,63.5,3.8
199302,57.8,-1.9
199402,62.2,2.5
199502,59.2,-0.5
199602,59.1,-0.6
199702,60.8,1.1
199802,59.7,0.0
199902,63.8,4.1
200002,66.2,6.5
200102,64.1,4.4
200202,58.8,-0.9
200302,58.7,-1.0
200402,54.6,-5.1
200502,61.6,1.9
200602,57.3,-2.4
200702,57.6,-2.1
200802,62.2,2.5
200902,61.5,1.8
201002,50.8,-8.9
201102,61.8,2.1
201202,62.3,2.6
201302,58.9,-0.8
201402,58.7,-1.0
201502,52.6,-7.1
