Washington, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,32.6,-1.8
189601,36.4,2.0
189701,33.7,-0.7
189801,32.3,-2.1
189901,34.9,0.5
190001,40.2,5.8
190101,34.4,0.0
190201,33.9,-0.5
190301,35.6,1.2
190401,36.6,2.2
190501,34.6,0.2
190601,35.9,1.5
190701,25.6,-8.8
190801,36.1,1.7
190901,26.5,-7.9
191001,32.4,-2.0
191101,32.6,-1.8
191201,33.2,-1.2
191301,30.7,-3.7
191401,39,4.6
191501,33.2,-1.2
191601,23.4,-11.0
191701,32.9,-1.5
191801,38.3,3.9
191901,37.4,3.0
192001,33.9,-0.5
192101,35.9,1.5
192201,28.3,-6.1
192301,36.8,2.4
192401,32.6,-1.8
192501,37.1,2.7
192601,35.4,1.0
192701,32.5,-1.9
192801,33.9,-0.5
192901,26.3,-8.1
193001,23.2,-11.2
193101,38.3,3.9
193201,32.3,-2.1
193301,35.8,1.4
193401,41.6,7.2
193501,35.4,1.0
193601,36.9,2.5
193701,22.1,-12.3
193801,36.4,2.0
193901,38.6,4.2
194001,36.3,1.9
194101,37.4,3.0
194201,32,-2.4
194301,29,-5.4
194401,36.1,1.7
194501,37.9,3.5
194601,37.4,3.0
194701,33,-1.4
194801,35.5,1.1
194901,24,-10.4
195001,20.6,-13.8
195101,34.6,0.2
195201,30.4,-4.0
195301,42.6,8.2
195401,32.9,-1.5
195501,34.4,0.0
195601,34.5,0.1
195701,25.3,-9.1
195801,39.2,4.8
195901,35.9,1.5
196001,31.2,-3.2
196101,38.8,4.4
196201,34.6,0.2
196301,31.8,-2.6
196401,37.7,3.3
196501,35.6,1.2
196601,35.8,1.4
196701,40.4,6.0
196801,36.9,2.5
196901,25.5,-8.9
197001,34.4,0.0
197101,37.1,2.7
197201,33.2,-1.2
197301,34.6,0.2
197401,33.7,-0.7
197501,35.1,0.7
197601,38.2,3.8
197701,32.1,-2.3
197801,36.4,2.0
197901,26,-8.4
198001,30.5,-3.9
198101,41.2,6.8
198201,34.3,-0.1
198301,41.2,6.8
198401,38,3.6
198501,31.6,-2.8
198601,39,4.6
198701,35.3,0.9
198801,35.1,0.7
198901,38,3.6
199001,39.7,5.3
199101,34.8,0.4
199201,39.7,5.3
199301,30.4,-4.0
199401,42.2,7.8
199501,38.2,3.8
199601,34.4,0.0
199701,36.2,1.8
199801,37.5,3.1
199901,39.5,5.1
200001,35.9,1.5
200101,37.1,2.7
200201,38.1,3.7
200301,41.1,6.7
200401,34.5,0.1
200501,37.2,2.8
200601,40.8,6.4
200701,35.2,0.8
200801,33.7,-0.7
200901,36.2,1.8
201001,41.1,6.7
201101,37.9,3.5
201201,37.5,3.1
201301,34.6,0.2
201401,39.9,5.5
201501,40.6,6.2
201601,38,3.6
