Kansas, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,84.6,-1.3
189606,87.7,1.8
189706,87.4,1.5
189806,85.2,-0.7
189906,85,-0.9
190006,87.8,1.9
190106,90.8,4.9
190206,82.1,-3.8
190306,77.6,-8.3
190406,81.2,-4.7
190506,86.8,0.9
190606,84.5,-1.4
190706,84.5,-1.4
190806,83,-2.9
190906,84.4,-1.5
191006,85.1,-0.8
191106,94.9,9.0
191206,81.6,-4.3
191306,86,0.1
191406,90.2,4.3
191506,79.2,-6.7
191606,82,-3.9
191706,87,1.1
191806,91.9,6.0
191906,83.1,-2.8
192006,84.6,-1.3
192106,84.7,-1.2
192206,87.7,1.8
192306,82.7,-3.2
192406,86.9,1.0
192506,90.8,4.9
192606,86.1,0.2
192706,82.1,-3.8
192806,77.2,-8.7
192906,83.9,-2.0
193006,84.8,-1.1
193106,90.3,4.4
193206,84.7,-1.2
193306,95.5,9.6
193406,94.1,8.2
193506,81.8,-4.1
193606,91.4,5.5
193706,85.9,0.0
193806,85.3,-0.6
193906,87.8,1.9
194006,87.4,1.5
194106,82.8,-3.1
194206,83.3,-2.6
194306,87,1.1
194406,86.8,0.9
194506,79,-6.9
194606,89.2,3.3
194706,83.4,-2.5
194806,86.1,0.2
194906,85.4,-0.5
195006,87.7,1.8
195106,79.3,-6.6
195206,95,9.1
195306,95,9.1
195406,90.2,4.3
195506,81.5,-4.4
195606,92,6.1
195706,83.3,-2.6
195806,85.7,-0.2
195906,88.3,2.4
196006,84.4,-1.5
196106,84.5,-1.4
196206,83,-2.9
196306,89.4,3.5
196406,86,0.1
196506,83.3,-2.6
196606,86.9,1.0
196706,82.8,-3.1
196806,87.6,1.7
196906,82.4,-3.5
197006,85.1,-0.8
197106,89.5,3.6
197206,87.7,1.8
197306,88.4,2.5
197406,85.3,-0.6
197506,83.9,-2.0
197606,86.6,0.7
197706,88.8,2.9
197806,86.8,0.9
197906,85.8,-0.1
198006,90.2,4.3
198106,88.5,2.6
198206,79.4,-6.5
198306,82.2,-3.7
198406,87.2,1.3
198506,84.3,-1.6
198606,87.9,2.0
198706,87.4,1.5
198806,91.3,5.4
198906,80.8,-5.1
199006,89.7,3.8
199106,88,2.1
199206,79.4,-6.5
199306,83.3,-2.6
199406,90.1,4.2
199506,82.2,-3.7
199606,87,1.1
199706,84.4,-1.5
199806,87.6,1.7
199906,81.9,-4.0
200006,84.5,-1.4
200106,85.3,-0.6
200206,89.7,3.8
200306,82.2,-3.7
200406,83.2,-2.7
200506,87,1.1
200606,89.6,3.7
200706,83.6,-2.3
200806,86.6,0.7
200906,86.4,0.5
201006,89.1,3.2
201106,90.6,4.7
201206,92,6.1
201306,88.7,2.8
201406,85,-0.9
201506,87.8,1.9
