Georgia, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,54.5,-2.6
189601,53.4,-3.7
189701,53.3,-3.8
189801,60,2.9
189901,55.5,-1.6
190001,55.4,-1.7
190101,56.9,-0.2
190201,55.4,-1.7
190301,53.6,-3.5
190401,51.9,-5.2
190501,51.9,-5.2
190601,56.5,-0.6
190701,65.1,8.0
190801,54.6,-2.5
190901,61.1,4.0
191001,56.8,-0.3
191101,61.3,4.2
191201,50.8,-6.3
191301,62.7,5.6
191401,57.5,0.4
191501,54.4,-2.7
191601,62.9,5.8
191701,60.4,3.3
191801,48.8,-8.3
191901,57.5,0.4
192001,57.9,0.8
192101,60.2,3.1
192201,55.1,-2.0
192301,62.2,5.1
192401,54.7,-2.4
192501,57.2,0.1
192601,53.5,-3.6
192701,59.3,2.2
192801,57,-0.1
192901,60.1,3.0
193001,57.8,0.7
193101,55.6,-1.5
193201,64.9,7.8
193301,62.5,5.4
193401,59.1,2.0
193501,58.6,1.5
193601,54.6,-2.5
193701,65.6,8.5
193801,56.8,-0.3
193901,60.8,3.7
194001,45.1,-12.0
194101,58.1,1.0
194201,57.1,0.0
194301,59.8,2.7
194401,57.2,0.1
194501,57.1,0.0
194601,58.1,1.0
194701,61,3.9
194801,51.9,-5.2
194901,65,7.9
195001,68.7,11.6
195101,59.4,2.3
195201,64,6.9
195301,61.2,4.1
195401,60.4,3.3
195501,56.2,-0.9
195601,55.7,-1.4
195701,60.1,3.0
195801,50.9,-6.2
195901,57,-0.1
196001,56.4,-0.7
196101,53,-4.1
196201,55,-2.1
196301,53.5,-3.6
196401,54.8,-2.3
196501,59.8,2.7
196601,51.2,-5.9
196701,59.3,2.2
196801,53.7,-3.4
196901,55.3,-1.8
197001,49.4,-7.7
197101,56.8,-0.3
197201,62.2,5.1
197301,55.7,-1.4
197401,67.4,10.3
197501,61.6,4.5
197601,54.4,-2.7
197701,45.2,-11.9
197801,48.1,-9.0
197901,52.2,-4.9
198001,56.5,-0.6
198101,53.2,-3.9
198201,54.9,-2.2
198301,52.2,-4.9
198401,53.7,-3.4
198501,51.9,-5.2
198601,56.8,-0.3
198701,54.5,-2.6
198801,51.3,-5.8
198901,63.9,6.8
199001,63.6,6.5
199101,55.5,-1.6
199201,56.7,-0.4
199301,59.5,2.4
199401,53.2,-3.9
199501,57.4,0.3
199601,56.6,-0.5
199701,58.5,1.4
199801,59.7,2.6
199901,62.4,5.3
200001,57.2,0.1
200101,55.6,-1.5
200201,60,2.9
200301,53.9,-3.2
200401,57.5,0.4
200501,60.9,3.8
200601,63.8,6.7
200701,59.5,2.4
200801,55.8,-1.3
200901,57.7,0.6
201001,52.7,-4.4
201101,52.8,-4.3
201201,62.6,5.5
201301,63.5,6.4
201401,51.6,-5.5
201501,55.7,-1.4
201601,54.7,-2.4
