Connecticut, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,70.4,1.8
189605,72.7,4.1
189705,67.4,-1.2
189805,64.5,-4.1
189905,69.9,1.3
190005,68.9,0.3
190105,65.2,-3.4
190205,68.3,-0.3
190305,72.7,4.1
190405,71.8,3.2
190505,68.3,-0.3
190605,69.4,0.8
190705,62.7,-5.9
190805,69.4,0.8
190905,66.6,-2.0
191005,66.9,-1.7
191105,73.9,5.3
191205,68.6,0.0
191305,66.5,-2.1
191405,71.6,3.0
191505,65.1,-3.5
191605,67.3,-1.3
191705,58.8,-9.8
191805,73.2,4.6
191905,68.9,0.3
192005,65,-3.6
192105,69.2,0.6
192205,72.5,3.9
192305,67.7,-0.9
192405,63,-5.6
192505,66.9,-1.7
192605,67.7,-0.9
192705,64.5,-4.1
192805,65.6,-3.0
192905,68.6,0.0
193005,70.6,2.0
193105,69.2,0.6
193205,69.9,1.3
193305,71.3,2.7
193405,71.7,3.1
193505,66.3,-2.3
193605,72.2,3.6
193705,71.9,3.3
193805,66.4,-2.2
193905,71.7,3.1
194005,66.9,-1.7
194105,72.2,3.6
194205,71,2.4
194305,68.4,-0.2
194405,75.5,6.9
194505,64.8,-3.8
194605,67.4,-1.2
194705,66.7,-1.9
194805,65.5,-3.1
194905,70.3,1.7
195005,65.9,-2.7
195105,70.3,1.7
195205,65.8,-2.8
195305,69.2,0.6
195405,65.1,-3.5
195505,73.4,4.8
195605,65.5,-3.1
195705,69.9,1.3
195805,64.2,-4.4
195905,72.6,4.0
196005,69.5,0.9
196105,65.1,-3.5
196205,69,0.4
196305,68.7,0.1
196405,73.4,4.8
196505,73.8,5.2
196605,64.7,-3.9
196705,61.3,-7.3
196805,66.3,-2.3
196905,68.6,0.0
197005,68.9,0.3
197105,66,-2.6
197205,69.1,0.5
197305,64.8,-3.8
197405,65.6,-3.0
197505,72.4,3.8
197605,67.5,-1.1
197705,72.3,3.7
197805,66.8,-1.8
197905,69.4,0.8
198005,71.3,2.7
198105,70.4,1.8
198205,71.1,2.5
198305,65,-3.6
198405,66.3,-2.3
198505,71,2.4
198605,71.5,2.9
198705,70.1,1.5
198805,68.5,-0.1
198905,69.3,0.7
199005,65,-3.6
199105,75.4,6.8
199205,69.3,0.7
199305,71.7,3.1
199405,68.1,-0.5
199505,66.6,-2.0
199605,67.7,-0.9
199705,65,-3.6
199805,72.8,4.2
199905,70.4,1.8
200005,69.3,0.7
200105,71.1,2.5
200205,66.6,-2.0
200305,65.5,-3.1
200405,71.7,3.1
200505,63.6,-5.0
200605,67.4,-1.2
200705,72.8,4.2
200805,66.9,-1.7
200905,68.6,0.0
201005,73.5,4.9
201105,69.6,1.0
201205,71.3,2.7
201305,70.4,1.8
201405,69.3,0.7
201505,75.5,6.9
