Tennessee, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,39.5,-11.2
189602,49.8,-0.9
189702,53.1,2.4
189802,49.7,-1.0
189902,40.3,-10.4
190002,46.4,-4.3
190102,45.7,-5.0
190202,39.2,-11.5
190302,50.9,0.2
190402,50.6,-0.1
190502,39.7,-11.0
190602,50.2,-0.5
190702,50.3,-0.4
190802,47.7,-3.0
190902,56.1,5.4
191002,47.1,-3.6
191102,56.4,5.7
191202,45.1,-5.6
191302,48.9,-1.8
191402,48.4,-2.3
191502,52.3,1.6
191602,49.9,-0.8
191702,51.1,0.4
191802,56.1,5.4
191902,50.2,-0.5
192002,47.6,-3.1
192102,53.8,3.1
192202,54.2,3.5
192302,47.3,-3.4
192402,47.5,-3.2
192502,57.6,6.9
192602,54.2,3.5
192702,58.9,8.2
192802,50.8,0.1
192902,44.4,-6.3
193002,58.5,7.8
193102,53.8,3.1
193202,59.2,8.5
193302,49.9,-0.8
193402,46.5,-4.2
193502,51.3,0.6
193602,44.9,-5.8
193702,49,-1.7
193802,57.2,6.5
193902,54.4,3.7
194002,46.7,-4.0
194102,45.2,-5.5
194202,44.2,-6.5
194302,54,3.3
194402,55.1,4.4
194502,51,0.3
194602,54.6,3.9
194702,42.8,-7.9
194802,50.1,-0.6
194902,55,4.3
195002,54.7,4.0
195102,52.6,1.9
195202,54.1,3.4
195302,53.5,2.8
195402,58.5,7.8
195502,51.1,0.4
195602,55,4.3
195702,56.3,5.6
195802,40.6,-10.1
195902,52.2,1.5
196002,45.6,-5.1
196102,56.4,5.7
196202,58,7.3
196302,45.6,-5.1
196402,46.2,-4.5
196502,50.5,-0.2
196602,48.5,-2.2
196702,46.8,-3.9
196802,42.9,-7.8
196902,47.5,-3.2
197002,48.1,-2.6
197102,49.6,-1.1
197202,49.9,-0.8
197302,48.7,-2.0
197402,52.1,1.4
197502,52,1.3
197602,59.9,9.2
197702,51.1,0.4
197802,38.6,-12.1
197902,43,-7.7
198002,44.1,-6.6
198102,52.4,1.7
198202,49.3,-1.4
198302,50.4,-0.3
198402,55.2,4.5
198502,45.7,-5.0
198602,53.4,2.7
198702,51.1,0.4
198802,49.6,-1.1
198902,47,-3.7
199002,58.9,8.2
199102,53.5,2.8
199202,56.4,5.7
199302,49.4,-1.3
199402,53.1,2.4
199502,49.6,-1.1
199602,50,-0.7
199702,54.4,3.7
199802,52.5,1.8
199902,55.6,4.9
200002,57.5,6.8
200102,55.2,4.5
200202,51.9,1.2
200302,46.6,-4.1
200402,49.2,-1.5
200502,53.9,3.2
200602,48.7,-2.0
200702,46.4,-4.3
200802,52.6,1.9
200902,54.1,3.4
201002,41.7,-9.0
201102,53.9,3.2
201202,54.8,4.1
201302,50.7,0.0
201402,48.4,-2.3
201502,41.3,-9.4
201602,51.2,0.5
