Missouri, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,55,0.2
189603,49.1,-5.7
189703,54,-0.8
189803,55.6,0.8
189903,48.4,-6.4
190003,52.7,-2.1
190103,53.6,-1.2
190203,55.1,0.3
190303,56.9,2.1
190403,56.2,1.4
190503,60.9,6.1
190603,40.7,-14.1
190703,63.7,8.9
190803,60.6,5.8
190903,54,-0.8
191003,69.7,14.9
191103,59.4,4.6
191203,43.8,-11.0
191303,51.5,-3.3
191403,52.6,-2.2
191503,42.9,-11.9
191603,57,2.2
191703,56.1,1.3
191803,65.3,10.5
191903,57.5,2.7
192003,55.8,1.0
192103,63.9,9.1
192203,54.2,-0.6
192303,52.6,-2.2
192403,46.5,-8.3
192503,60.9,6.1
192603,49.5,-5.3
192703,55.9,1.1
192803,58,3.2
192903,59.3,4.5
193003,54.9,0.1
193103,48.1,-6.7
193203,48.3,-6.5
193303,54.5,-0.3
193403,52.8,-2.0
193503,60.7,5.9
193603,61.8,7.0
193703,49.6,-5.2
193803,64.8,10.0
193903,58.1,3.3
194003,52.4,-2.4
194103,50.8,-4.0
194203,55.9,1.1
194303,50.4,-4.4
194403,50.6,-4.2
194503,63.5,8.7
194603,65.2,10.4
194703,45.8,-9.0
194803,51.9,-2.9
194903,53.2,-1.6
195003,51.1,-3.7
195103,50.9,-3.9
195203,51.3,-3.5
195303,57.7,2.9
195403,52.6,-2.2
195503,55.3,0.5
195603,57.3,2.5
195703,52.7,-2.1
195803,44,-10.8
195903,56.4,1.6
196003,39.1,-15.7
196103,55,0.2
196203,49.3,-5.5
196303,60.3,5.5
196403,53.5,-1.3
196503,43.3,-11.5
196603,59.5,4.7
196703,59.9,5.1
196803,57.7,2.9
196903,48.4,-6.4
197003,48.8,-6.0
197103,52.8,-2.0
197203,57.4,2.6
197303,58.3,3.5
197403,59.9,5.1
197503,49,-5.8
197603,60.1,5.3
197703,60.2,5.4
197803,48.8,-6.0
197903,54,-0.8
198003,50.2,-4.6
198103,57.2,2.4
198203,57.1,2.3
198303,53.2,-1.6
198403,46.7,-8.1
198503,59.1,4.3
198603,61.1,6.3
198703,59,4.2
198803,56.6,1.8
198903,56.1,1.3
199003,57.1,2.3
199103,60.2,5.4
199203,58.6,3.8
199303,50.1,-4.7
199403,58.2,3.4
199503,58.1,3.3
199603,50,-4.8
199703,59.6,4.8
199803,49.4,-5.4
199903,53.2,-1.6
200003,59.8,5.0
200103,50.9,-3.9
200203,52.2,-2.6
200303,56.5,1.7
200403,58.7,3.9
200503,55,0.2
200603,57,2.2
200703,64.4,9.6
200803,54.7,-0.1
200903,57.9,3.1
201003,55.3,0.5
201103,54.9,0.1
201203,69.9,15.1
201303,47.7,-7.1
201403,52.8,-2.0
201503,56.1,1.3
