Montana, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,30.4,0.5
189612,37.4,7.5
189712,28.4,-1.5
189812,27.7,-2.2
189912,28.8,-1.1
190012,36.7,6.8
190112,31.5,1.6
190212,25.6,-4.3
190312,34.4,4.5
190412,33.4,3.5
190512,30.6,0.7
190612,30.4,0.5
190712,33.9,4.0
190812,31,1.1
190912,20.1,-9.8
191012,30.9,1.0
191112,28,-1.9
191212,34.9,5.0
191312,33.7,3.8
191412,22.3,-7.6
191512,31.8,1.9
191612,19.2,-10.7
191712,25.2,-4.7
191812,33.9,4.0
191912,23.3,-6.6
192012,31,1.1
192112,27.7,-2.2
192212,21.6,-8.3
192312,33.3,3.4
192412,20.1,-9.8
192512,35.2,5.3
192612,27.5,-2.4
192712,16.6,-13.3
192812,31.9,2.0
192912,28.2,-1.7
193012,33.8,3.9
193112,31.3,1.4
193212,24.2,-5.7
193312,30,0.1
193412,30.8,0.9
193512,33.6,3.7
193612,29.5,-0.4
193712,29.6,-0.3
193812,33.6,3.7
193912,39.7,9.8
194012,35.4,5.5
194112,32.7,2.8
194212,31.6,1.7
194312,35.4,5.5
194412,30.5,0.6
194512,26.3,-3.6
194612,31,1.1
194712,32.8,2.9
194812,22.8,-7.1
194912,26.1,-3.8
195012,33.4,3.5
195112,21.5,-8.4
195212,33,3.1
195312,35.8,5.9
195412,37,7.1
195512,25.3,-4.6
195612,34.8,4.9
195712,39.2,9.3
195812,31.6,1.7
195912,36.5,6.6
196012,31.7,1.8
196112,26.5,-3.4
196212,36.6,6.7
196312,28.4,-1.5
196412,20.8,-9.1
196512,34.1,4.2
196612,30.6,0.7
196712,27,-2.9
196812,22.8,-7.1
196912,33.5,3.6
197012,27.6,-2.3
197112,24.3,-5.6
197212,22.7,-7.2
197312,32,2.1
197412,34.9,5.0
197512,33.3,3.4
197612,34.6,4.7
197712,24.7,-5.2
197812,21.7,-8.2
197912,39.9,10.0
198012,33.2,3.3
198112,30.4,0.5
198212,30.7,0.8
198312,12.9,-17.0
198412,22.9,-7.0
198512,28.1,-1.8
198612,34.8,4.9
198712,33.9,4.0
198812,32.6,2.7
198912,29.5,-0.4
199012,24.4,-5.5
199112,37.2,7.3
199212,25.3,-4.6
199312,34.8,4.9
199412,33.2,3.3
199512,30.6,0.7
199612,23.7,-6.2
199712,35.2,5.3
199812,30.4,0.5
199912,38.8,8.9
200012,25.8,-4.1
200112,32.3,2.4
200212,36.5,6.6
200312,34.2,4.3
200412,37.2,7.3
200512,28.9,-1.0
200612,35.6,5.7
200712,31.3,1.4
200812,23.9,-6.0
200912,21.4,-8.5
201012,27.8,-2.1
201112,36,6.1
201212,30.3,0.4
201312,26.2,-3.7
201412,33.6,3.7
201512,32.5,2.6
