Georgia, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,73.5,-2.3
189604,79.8,4.0
189704,74.5,-1.3
189804,71.9,-3.9
189904,72.6,-3.2
190004,76.6,0.8
190104,69.1,-6.7
190204,74.4,-1.4
190304,73.2,-2.6
190404,72.4,-3.4
190504,75.9,0.1
190604,78.5,2.7
190704,69.6,-6.2
190804,79.6,3.8
190904,75.3,-0.5
191004,76,0.2
191104,74.2,-1.6
191204,75.7,-0.1
191304,74.7,-1.1
191404,77.3,1.5
191504,77.7,1.9
191604,75.3,-0.5
191704,78.7,2.9
191804,72,-3.8
191904,77,1.2
192004,73.3,-2.5
192104,75.9,0.1
192204,78.5,2.7
192304,75.5,-0.3
192404,74.1,-1.7
192504,80.3,4.5
192604,74.1,-1.7
192704,79.6,3.8
192804,72.2,-3.6
192904,78.5,2.7
193004,77.1,1.3
193104,73.7,-2.1
193204,77,1.2
193304,73.7,-2.1
193404,76.4,0.6
193504,75.5,-0.3
193604,74.1,-1.7
193704,74.1,-1.7
193804,76,0.2
193904,75,-0.8
194004,73.5,-2.3
194104,77.6,1.8
194204,78.7,2.9
194304,75.4,-0.4
194404,73.8,-2.0
194504,78.5,2.7
194604,78,2.2
194704,78,2.2
194804,78.6,2.8
194904,73.3,-2.5
195004,73.4,-2.4
195104,73.8,-2.0
195204,74.8,-1.0
195304,74.6,-1.2
195404,79.9,4.1
195504,79.3,3.5
195604,74.6,-1.2
195704,77.5,1.7
195804,75.7,-0.1
195904,76.3,0.5
196004,77.4,1.6
196104,71.5,-4.3
196204,73.2,-2.6
196304,77.7,1.9
196404,76,0.2
196504,77.5,1.7
196604,75.7,-0.1
196704,80.6,4.8
196804,77.7,1.9
196904,77.3,1.5
197004,77.8,2.0
197104,76.5,0.7
197204,76.7,0.9
197304,71.8,-4.0
197404,76.2,0.4
197504,74.5,-1.3
197604,78.3,2.5
197704,79.3,3.5
197804,78.5,2.7
197904,76.2,0.4
198004,74.8,-1.0
198104,80.2,4.4
198204,72.5,-3.3
198304,71.2,-4.6
198404,73.2,-2.6
198504,77.8,2.0
198604,79.1,3.3
198704,74,-1.8
198804,76.5,0.7
198904,75.3,-0.5
199004,75.7,-0.1
199104,77.3,1.5
199204,74.4,-1.4
199304,72.8,-3.0
199404,78.9,3.1
199504,77.6,1.8
199604,74.7,-1.1
199704,73.2,-2.6
199804,74,-1.8
199904,79.7,3.9
200004,74.1,-1.7
200104,77.2,1.4
200204,79.8,4.0
200304,74.6,-1.2
200404,76.7,0.9
200504,73.7,-2.1
200604,80.6,4.8
200704,74.9,-0.9
200804,74.8,-1.0
200904,74.2,-1.6
201004,79.1,3.3
201104,79.7,3.9
201204,78.6,2.8
201304,75.2,-0.6
201404,75.6,-0.2
201504,77.3,1.5
