Kansas, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,35.5,-10.5
189602,50.2,4.2
189702,42.5,-3.5
189802,48.9,2.9
189902,30.5,-15.5
190002,39.4,-6.6
190102,38,-8.0
190202,38.3,-7.7
190302,36.2,-9.8
190402,46.5,0.5
190502,31.3,-14.7
190602,48.3,2.3
190702,48.8,2.8
190802,47.2,1.2
190902,50.7,4.7
191002,41.9,-4.1
191102,46.1,0.1
191202,39.7,-6.3
191302,36.7,-9.3
191402,42.2,-3.8
191502,46,0.0
191602,44.6,-1.4
191702,46.2,0.2
191802,50.1,4.1
191902,40.6,-5.4
192002,46.6,0.6
192102,52.1,6.1
192202,46.9,0.9
192302,43.8,-2.2
192402,46.9,0.9
192502,52.7,6.7
192602,53.2,7.2
192702,49.9,3.9
192802,47.2,1.2
192902,34.5,-11.5
193002,59.5,13.5
193102,52.8,6.8
193202,51.6,5.6
193302,45.3,-0.7
193402,48.1,2.1
193502,49.8,3.8
193602,34.4,-11.6
193702,42.9,-3.1
193802,47.9,1.9
193902,42.6,-3.4
194002,41.6,-4.4
194102,42.9,-3.1
194202,41.3,-4.7
194302,54.5,8.5
194402,46.3,0.3
194502,43.6,-2.4
194602,56,10.0
194702,43.3,-2.7
194802,39.8,-6.2
194902,41.3,-4.7
195002,52,6.0
195102,48.8,2.8
195202,50.7,4.7
195302,52.8,6.8
195402,60,14.0
195502,41.2,-4.8
195602,42.6,-3.4
195702,49.9,3.9
195802,39.3,-6.7
195902,42.9,-3.1
196002,34.6,-11.4
196102,48.8,2.8
196202,47.7,1.7
196302,50.5,4.5
196402,44.2,-1.8
196502,44.3,-1.7
196602,42,-4.0
196702,49.3,3.3
196802,45.4,-0.6
196902,43.1,-2.9
197002,53.1,7.1
197102,40.5,-5.5
197202,49.1,3.1
197302,45.6,-0.4
197402,51.7,5.7
197502,38.9,-7.1
197602,59,13.0
197702,53.7,7.7
197802,30.5,-15.5
197902,36.6,-9.4
198002,39.4,-6.6
198102,51.6,5.6
198202,40.8,-5.2
198302,45.2,-0.8
198402,52.6,6.6
198502,39.3,-6.7
198602,47.4,1.4
198702,50.9,4.9
198802,45.4,-0.6
198902,35.5,-10.5
199002,47.8,1.8
199102,57.6,11.6
199202,53.7,7.7
199302,37.3,-8.7
199402,42.6,-3.4
199502,52.7,6.7
199602,51.7,5.7
199702,44.7,-1.3
199802,49.2,3.2
199902,56.3,10.3
200002,54.8,8.8
200102,40.2,-5.8
200202,48.9,2.9
200302,43.1,-2.9
200402,43.3,-2.7
200502,50.3,4.3
200602,49.1,3.1
200702,40.4,-5.6
200802,43.8,-2.2
200902,55.1,9.1
201002,38.8,-7.2
201102,43.4,-2.6
201202,48.6,2.6
201302,45.6,-0.4
201402,38.6,-7.4
201502,44,-2.0
201602,54.2,8.2
