Delaware, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,61.6,-1.5
189604,64.9,1.8
189704,63.3,0.2
189804,59,-4.1
189904,63.6,0.5
190004,62.2,-0.9
190104,57.3,-5.8
190204,61.3,-1.8
190304,61,-2.1
190404,58.6,-4.5
190504,62.8,-0.3
190604,65.1,2.0
190704,56.4,-6.7
190804,65.5,2.4
190904,62.4,-0.7
191004,66.7,3.6
191104,58.3,-4.8
191204,63.3,0.2
191304,63.4,0.3
191404,61.6,-1.5
191504,68.6,5.5
191604,60.7,-2.4
191704,62.6,-0.5
191804,61.5,-1.6
191904,62.5,-0.6
192004,61.6,-1.5
192104,68.5,5.4
192204,63.3,0.2
192304,62.1,-1.0
192404,60.1,-3.0
192504,66,2.9
192604,61.1,-2.0
192704,59.8,-3.3
192804,60.9,-2.2
192904,65,1.9
193004,60.6,-2.5
193104,61.6,-1.5
193204,62,-1.1
193304,61.9,-1.2
193404,62,-1.1
193504,58.3,-4.8
193604,60.7,-2.4
193704,61,-2.1
193804,65.6,2.5
193904,61.6,-1.5
194004,57.1,-6.0
194104,68.1,5.0
194204,66.9,3.8
194304,60.3,-2.8
194404,61.7,-1.4
194504,66.6,3.5
194604,63.1,0.0
194704,65.1,2.0
194804,62.2,-0.9
194904,63.2,0.1
195004,60.5,-2.6
195104,63.9,0.8
195204,64.7,1.6
195304,62.9,-0.2
195404,67.7,4.6
195504,65.6,2.5
195604,61,-2.1
195704,67.8,4.7
195804,63.4,0.3
195904,65.8,2.7
196004,70.3,7.2
196104,59.5,-3.6
196204,63.8,0.7
196304,65.1,2.0
196404,60,-3.1
196504,59.3,-3.8
196604,58.2,-4.9
196704,64.9,1.8
196804,64.9,1.8
196904,66.3,3.2
197004,62,-1.1
197104,63.3,0.2
197204,60.7,-2.4
197304,62.7,-0.4
197404,67,3.9
197504,57.9,-5.2
197604,67.8,4.7
197704,68.1,5.0
197804,63.2,0.1
197904,61.3,-1.8
198004,64.8,1.7
198104,66.9,3.8
198204,61.9,-1.2
198304,61.1,-2.0
198404,60.6,-2.5
198504,69.1,6.0
198604,63,-0.1
198704,60.8,-2.3
198804,60.2,-2.9
198904,62.3,-0.8
199004,64.2,1.1
199104,65.4,2.3
199204,62.3,-0.8
199304,62.6,-0.5
199404,69.6,6.5
199504,65.9,2.8
199604,63.8,0.7
199704,61.7,-1.4
199804,66.4,3.3
199904,65.3,2.2
200004,62.2,-0.9
200104,65.6,2.5
200204,68.4,5.3
200304,62.2,-0.9
200404,65,1.9
200504,66.1,3.0
200604,68.3,5.2
200704,61.2,-1.9
200804,65.8,2.7
200904,65.9,2.8
201004,69.8,6.7
201104,67.6,4.5
201204,66.8,3.7
201304,65.6,2.5
201404,63.9,0.8
201504,65.4,2.3
