New Mexico, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,74.5,-1.8
189605,80.8,4.5
189705,76.8,0.5
189805,75.7,-0.6
189905,77,0.7
190005,76.9,0.6
190105,76.1,-0.2
190205,77.1,0.8
190305,74.2,-2.1
190405,76,-0.3
190505,74.5,-1.8
190605,76,-0.3
190705,70.1,-6.2
190805,73.3,-3.0
190905,74.1,-2.2
191005,78.1,1.8
191105,77.4,1.1
191205,76.3,0.0
191305,77.9,1.6
191405,74.9,-1.4
191505,72.3,-4.0
191605,77.1,0.8
191705,68.6,-7.7
191805,75,-1.3
191905,74.9,-1.4
192005,75.4,-0.9
192105,75.3,-1.0
192205,77,0.7
192305,77.1,0.8
192405,75.6,-0.7
192505,78.9,2.6
192605,73,-3.3
192705,80.9,4.6
192805,74.9,-1.4
192905,74.6,-1.7
193005,73.8,-2.5
193105,74.4,-1.9
193205,75.4,-0.9
193305,74.4,-1.9
193405,81.6,5.3
193505,69.6,-6.7
193605,77.3,1.0
193705,77.7,1.4
193805,76.2,-0.1
193905,78.7,2.4
194005,77.6,1.3
194105,74.3,-2.0
194205,76.9,0.6
194305,77.6,1.3
194405,75.4,-0.9
194505,79.1,2.8
194605,75.4,-0.9
194705,78.4,2.1
194805,77.9,1.6
194905,76.5,0.2
195005,77.4,1.1
195105,77.4,1.1
195205,76.8,0.5
195305,73.1,-3.2
195405,76.6,0.3
195505,74.7,-1.6
195605,81.6,5.3
195705,71.2,-5.1
195805,78.7,2.4
195905,76.7,0.4
196005,77,0.7
196105,78.8,2.5
196205,79.2,2.9
196305,79.9,3.6
196405,77.9,1.6
196505,74.7,-1.6
196605,78.9,2.6
196705,76.2,-0.1
196805,75.3,-1.0
196905,77.4,1.1
197005,78,1.7
197105,75.5,-0.8
197205,76.6,0.3
197305,73.9,-2.4
197405,81.5,5.2
197505,74.1,-2.2
197605,74.5,-1.8
197705,76,-0.3
197805,75.4,-0.9
197905,73.2,-3.1
198005,73.4,-2.9
198105,75,-1.3
198205,74.3,-2.0
198305,74,-2.3
198405,80.6,4.3
198505,76.1,-0.2
198605,76.2,-0.1
198705,73.1,-3.2
198805,76,-0.3
198905,80.9,4.6
199005,75.5,-0.8
199105,78.5,2.2
199205,72.8,-3.5
199305,76.8,0.5
199405,76.5,0.2
199505,74.2,-2.1
199605,84.9,8.6
199705,76.6,0.3
199805,79.9,3.6
199905,75.5,-0.8
200005,84,7.7
200105,79.7,3.4
200205,80.7,4.4
200305,80.4,4.1
200405,80.2,3.9
200505,77.3,1.0
200605,82.5,6.2
200705,74.6,-1.7
200805,77.1,0.8
200905,79.4,3.1
201005,76.7,0.4
201105,76.7,0.4
201205,80.1,3.8
201305,78.4,2.1
201405,76.6,0.3
201505,72.7,-3.6
