Missouri, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,70.6,4.4
189604,73.5,7.3
189704,64.7,-1.5
189804,63.2,-3.0
189904,64.6,-1.6
190004,67.8,1.6
190104,64.6,-1.6
190204,65.6,-0.6
190304,67.1,0.9
190404,59.5,-6.7
190504,66.3,0.1
190604,70.9,4.7
190704,58.2,-8.0
190804,66,-0.2
190904,65.8,-0.4
191004,66.3,0.1
191104,64.3,-1.9
191204,66.1,-0.1
191304,67,0.8
191404,65.2,-1.0
191504,72.4,6.2
191604,62.6,-3.6
191704,63.7,-2.5
191804,60.9,-5.3
191904,66.4,0.2
192004,60.9,-5.3
192104,67,0.8
192204,67.3,1.1
192304,65.9,-0.3
192404,68.6,2.4
192504,71.7,5.5
192604,61.3,-4.9
192704,66.8,0.6
192804,62.2,-4.0
192904,67.4,1.2
193004,71,4.8
193104,65.7,-0.5
193204,68.9,2.7
193304,65.5,-0.7
193404,68,1.8
193504,61.3,-4.9
193604,65.4,-0.8
193704,64.5,-1.7
193804,66.7,0.5
193904,63.6,-2.6
194004,64.3,-1.9
194104,69.4,3.2
194204,70,3.8
194304,67.3,1.1
194404,61.4,-4.8
194504,65.7,-0.5
194604,70.2,4.0
194704,65.3,-0.9
194804,71.7,5.5
194904,65.1,-1.1
195004,62,-4.2
195104,60.9,-5.3
195204,65.1,-1.1
195304,61.8,-4.4
195404,73.3,7.1
195504,72.8,6.6
195604,66,-0.2
195704,64.2,-2.0
195804,65.3,-0.9
195904,66.8,0.6
196004,69,2.8
196104,61.2,-5.0
196204,64.7,-1.5
196304,70.5,4.3
196404,69.1,2.9
196504,70.1,3.9
196604,63.1,-3.1
196704,69.3,3.1
196804,67.5,1.3
196904,67.6,1.4
197004,68.1,1.9
197104,69.3,3.1
197204,67.5,1.3
197304,61.7,-4.5
197404,68.8,2.6
197504,65.9,-0.3
197604,68.6,2.4
197704,71.6,5.4
197804,67.4,1.2
197904,63.4,-2.8
198004,65.6,-0.6
198104,74.1,7.9
198204,62.8,-3.4
198304,57.7,-8.5
198404,61.7,-4.5
198504,69.9,3.7
198604,70.3,4.1
198704,69.3,3.1
198804,68.6,2.4
198904,68.1,1.9
199004,65.4,-0.8
199104,68.8,2.6
199204,66.7,0.5
199304,61.4,-4.8
199404,67.8,1.6
199504,65.7,-0.5
199604,65,-1.2
199704,61.4,-4.8
199804,65,-1.2
199904,66.9,0.7
200004,67.4,1.2
200104,72.2,6.0
200204,69.1,2.9
200304,68.4,2.2
200404,67.6,1.4
200504,68.3,2.1
200604,73.8,7.6
200704,64,-2.2
200804,63.1,-3.1
200904,64,-2.2
201004,72.8,6.6
201104,68.4,2.2
201204,71,4.8
201304,63.5,-2.7
201404,67.2,1.0
201504,69.2,3.0
