Pennsylvania, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,77,3.8
189609,71.9,-1.3
189709,75.2,2.0
189809,75.9,2.7
189909,70.8,-2.4
190009,77.7,4.5
190109,72.6,-0.6
190209,72,-1.2
190309,73.2,0.0
190409,73.1,-0.1
190509,73.4,0.2
190609,76.6,3.4
190709,71.9,-1.3
190809,77.8,4.6
190909,72.6,-0.6
191009,73.9,0.7
191109,73.4,0.2
191209,73.7,0.5
191309,72.6,-0.6
191409,73.2,0.0
191509,75.9,2.7
191609,73.2,0.0
191709,69.5,-3.7
191809,67.6,-5.6
191909,74.5,1.3
192009,73.7,0.5
192109,77.5,4.3
192209,77.3,4.1
192309,73.5,0.3
192409,68.1,-5.1
192509,76.4,3.2
192609,71.5,-1.7
192709,75.5,2.3
192809,68.3,-4.9
192909,75.7,2.5
193009,78.5,5.3
193109,78.4,5.2
193209,76.3,3.1
193309,74.4,1.2
193409,74.4,1.2
193509,71.2,-2.0
193609,75.7,2.5
193709,71.3,-1.9
193809,70.5,-2.7
193909,75.8,2.6
194009,70.8,-2.4
194109,78.2,5.0
194209,73.4,0.2
194309,73.5,0.3
194409,72.6,-0.6
194509,74.6,1.4
194609,76.3,3.1
194709,74.4,1.2
194809,74.9,1.7
194909,69.4,-3.8
195009,68.6,-4.6
195109,73.8,0.6
195209,75.1,1.9
195309,75.2,2.0
195409,74.1,0.9
195509,73.3,0.1
195609,69.2,-4.0
195709,74.2,1.0
195809,72.1,-1.1
195909,77.6,4.4
196009,73.6,0.4
196109,78.9,5.7
196209,68.4,-4.8
196309,71.3,-1.9
196409,74.8,1.6
196509,74.3,1.1
196609,69.2,-4.0
196709,71.6,-1.6
196809,74.9,1.7
196909,72.6,-0.6
197009,76.4,3.2
197109,74.1,0.9
197209,73.7,0.5
197309,74,0.8
197409,69.6,-3.6
197509,67.5,-5.7
197609,70.9,-2.3
197709,72.8,-0.4
197809,73.5,0.3
197909,72.5,-0.7
198009,76.2,3.0
198109,69.6,-3.6
198209,71.6,-1.6
198309,75.5,2.3
198409,70.8,-2.4
198509,75.2,2.0
198609,72.3,-0.9
198709,71.5,-1.7
198809,71,-2.2
198909,72.1,-1.1
199009,71,-2.2
199109,73.3,0.1
199209,71.3,-1.9
199309,70.3,-2.9
199409,71,-2.2
199509,73,-0.2
199609,71,-2.2
199709,71.4,-1.8
199809,77.1,3.9
199909,74.1,0.9
200009,71.8,-1.4
200109,72.5,-0.7
200209,77.4,4.2
200309,71.2,-2.0
200409,74.4,1.2
200509,78.3,5.1
200609,69,-4.2
200709,77,3.8
200809,74.8,1.6
200909,71.2,-2.0
201009,75.6,2.4
201109,72.7,-0.5
201209,73,-0.2
201309,73.2,0.0
201409,73.8,0.6
201509,78,4.8
