Michigan, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,22.4,-3.7
189601,26.6,0.5
189701,25.8,-0.3
189801,28.3,2.2
189901,24,-2.1
190001,29.1,3.0
190101,26.2,0.1
190201,27,0.9
190301,25.9,-0.2
190401,18.9,-7.2
190501,21.3,-4.8
190601,33.2,7.1
190701,25.1,-1.0
190801,28.5,2.4
190901,28.9,2.8
191001,26,-0.1
191101,27.6,1.5
191201,12,-14.1
191301,29.5,3.4
191401,29.9,3.8
191501,24.3,-1.8
191601,30.2,4.1
191701,23.1,-3.0
191801,14.2,-11.9
191901,30.9,4.8
192001,18.1,-8.0
192101,30.8,4.7
192201,25.7,-0.4
192301,26.4,0.3
192401,22,-4.1
192501,24.4,-1.7
192601,26.7,0.6
192701,24.4,-1.7
192801,27.4,1.3
192901,20.8,-5.3
193001,22.4,-3.7
193101,30.1,4.0
193201,34.3,8.2
193301,35,8.9
193401,31.1,5.0
193501,24.9,-1.2
193601,22.2,-3.9
193701,29.6,3.5
193801,24.7,-1.4
193901,29.3,3.2
194001,21.3,-4.8
194101,26.7,0.6
194201,26.8,0.7
194301,23.1,-3.0
194401,33.2,7.1
194501,20.6,-5.5
194601,28.4,2.3
194701,29.8,3.7
194801,22.2,-3.9
194901,31.1,5.0
195001,31.7,5.6
195101,26.4,0.3
195201,29.3,3.2
195301,29.9,3.8
195401,26,-0.1
195501,26.1,0.0
195601,27.5,1.4
195701,21.9,-4.2
195801,27.8,1.7
195901,21.5,-4.6
196001,27.8,1.7
196101,24.2,-1.9
196201,22.4,-3.7
196301,17.3,-8.8
196401,31.5,5.4
196501,25.5,-0.6
196601,23.3,-2.8
196701,29.9,3.8
196801,25.1,-1.0
196901,25.8,-0.3
197001,21.7,-4.4
197101,22.4,-3.7
197201,25.7,-0.4
197301,30.9,4.8
197401,27.4,1.3
197501,29.8,3.7
197601,23.2,-2.9
197701,16.7,-9.4
197801,22.9,-3.2
197901,19.4,-6.7
198001,27.3,1.2
198101,25,-1.1
198201,20.7,-5.4
198301,29.3,3.2
198401,22.1,-4.0
198501,23.5,-2.6
198601,27.7,1.6
198701,29.7,3.6
198801,26.3,0.2
198901,33.7,7.6
199001,35.4,9.3
199101,25.4,-0.7
199201,29.2,3.1
199301,29,2.9
199401,18.6,-7.5
199501,29.1,3.0
199601,26.2,0.1
199701,25.5,-0.6
199801,31,4.9
199901,25.7,-0.4
200001,28,1.9
200101,30.4,4.3
200201,34.4,8.3
200301,24,-2.1
200401,22,-4.1
200501,25.9,-0.2
200601,35.9,9.8
200701,31.1,5.0
200801,30,3.9
200901,21.6,-4.5
201001,27.5,1.4
201101,24.3,-1.8
201201,32.8,6.7
201301,30.7,4.6
201401,20.3,-5.8
201501,24.6,-1.5
201601,28.9,2.8
