Wyoming, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,77.7,-1.0
189608,77.8,-0.9
189708,76.8,-1.9
189808,82.2,3.5
189908,77.7,-1.0
190008,79,0.3
190108,78.5,-0.2
190208,77.9,-0.8
190308,78.6,-0.1
190408,77.8,-0.9
190508,78.9,0.2
190608,76,-2.7
190708,76.5,-2.2
190808,74,-4.7
190908,80.9,2.2
191008,77.8,-0.9
191108,76.1,-2.6
191208,73.5,-5.2
191308,80.2,1.5
191408,77.2,-1.5
191508,76.2,-2.5
191608,75.8,-2.9
191708,76.1,-2.6
191808,76.6,-2.1
191908,80.5,1.8
192008,76.5,-2.2
192108,78.2,-0.5
192208,80.4,1.7
192308,75.5,-3.2
192408,79,0.3
192508,76.2,-2.5
192608,77.7,-1.0
192708,72.8,-5.9
192808,77.3,-1.4
192908,81,2.3
193008,75.7,-3.0
193108,79.4,0.7
193208,80,1.3
193308,76.7,-2.0
193408,80.4,1.7
193508,80.7,2.0
193608,79.9,1.2
193708,82.6,3.9
193808,79.5,0.8
193908,79.7,1.0
194008,81.7,3.0
194108,76.8,-1.9
194208,79.6,0.9
194308,81.1,2.4
194408,79.4,0.7
194508,78.4,-0.3
194608,78.4,-0.3
194708,80,1.3
194808,80.2,1.5
194908,80.9,2.2
195008,77,-1.7
195108,76,-2.7
195208,78.5,-0.2
195308,78.9,0.2
195408,79.5,0.8
195508,81.3,2.6
195608,76.3,-2.4
195708,79.1,0.4
195808,81.3,2.6
195908,79.9,1.2
196008,78.9,0.2
196108,81.2,2.5
196208,78.1,-0.6
196308,79.6,0.9
196408,76.6,-2.1
196508,76,-2.7
196608,77.5,-1.2
196708,80,1.3
196808,73.2,-5.5
196908,83.4,4.7
197008,83,4.3
197108,83.1,4.4
197208,77.6,-1.1
197308,80,1.3
197408,76.1,-2.6
197508,77.6,-1.1
197608,77.8,-0.9
197708,75.1,-3.6
197808,76.4,-2.3
197908,76.2,-2.5
198008,76.2,-2.5
198108,79.8,1.1
198208,81.4,2.7
198308,82.4,3.7
198408,80,1.3
198508,78.5,-0.2
198608,79.9,1.2
198708,75.9,-2.8
198808,81.7,3.0
198908,78.5,-0.2
199008,79.9,1.2
199108,81,2.3
199208,77.6,-1.1
199308,75.3,-3.4
199408,82.5,3.8
199508,82.8,4.1
199608,81.8,3.1
199708,77.7,-1.0
199808,80.5,1.8
199908,80.1,1.4
200008,83.6,4.9
200108,83.9,5.2
200208,78.7,0.0
200308,83.6,4.9
200408,75.8,-2.9
200508,78.5,-0.2
200608,80.1,1.4
200708,81.6,2.9
200808,80.5,1.8
200908,77.5,-1.2
201008,79.9,1.2
201108,82.8,4.1
201208,83.1,4.4
201308,82.2,3.5
201408,76.2,-2.5
201508,80.1,1.4
