New Mexico, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,80.2,1.1
189609,77.3,-1.8
189709,77,-2.1
189809,79.2,0.1
189909,80.4,1.3
190009,76.7,-2.4
190109,78.9,-0.2
190209,77.5,-1.6
190309,76.9,-2.2
190409,77.2,-1.9
190509,78.1,-1.0
190609,77.5,-1.6
190709,78.7,-0.4
190809,78.7,-0.4
190909,77.3,-1.8
191009,81.8,2.7
191109,80.7,1.6
191209,75.5,-3.6
191309,74.2,-4.9
191409,80,0.9
191509,77.3,-1.8
191609,78.1,-1.0
191709,78.6,-0.5
191809,78.2,-0.9
191909,77.6,-1.5
192009,79.1,0.0
192109,81.6,2.5
192209,81.8,2.7
192309,76.3,-2.8
192409,80.9,1.8
192509,77.9,-1.2
192609,80.2,1.1
192709,76.5,-2.6
192809,79.5,0.4
192909,78,-1.1
193009,80.8,1.7
193109,81,1.9
193209,77.3,-1.8
193309,82.4,3.3
193409,79.9,0.8
193509,76.8,-2.3
193609,76.6,-2.5
193709,80.4,1.3
193809,77.8,-1.3
193909,80.5,1.4
194009,79.5,0.4
194109,76.7,-2.4
194209,77.7,-1.4
194309,79.9,0.8
194409,78.4,-0.7
194509,82.1,3.0
194609,79.9,0.8
194709,83.2,4.1
194809,82.2,3.1
194909,79.8,0.7
195009,77.4,-1.7
195109,83.4,4.3
195209,81,1.9
195309,84.3,5.2
195409,82.2,3.1
195509,82.5,3.4
195609,85.5,6.4
195709,80,0.9
195809,77.3,-1.8
195909,81.6,2.5
196009,81.7,2.6
196109,76.6,-2.5
196209,78.6,-0.5
196309,80.3,1.2
196409,77.4,-1.7
196509,76.4,-2.7
196609,78.6,-0.5
196709,76.8,-2.3
196809,79.1,0.0
196909,78.5,-0.6
197009,78.2,-0.9
197109,77.6,-1.5
197209,76.8,-2.3
197309,79.2,0.1
197409,74.7,-4.4
197509,75.4,-3.7
197609,76.5,-2.6
197709,81.7,2.6
197809,77.2,-1.9
197909,80.9,1.8
198009,79.6,0.5
198109,78.2,-0.9
198209,78.7,-0.4
198309,82.5,3.4
198409,78.7,-0.4
198509,76.6,-2.5
198609,77,-2.1
198709,77.9,-1.2
198809,77.5,-1.6
198909,79.3,0.2
199009,78.6,-0.5
199109,75.5,-3.6
199209,81.4,2.3
199309,79.6,0.5
199409,80.5,1.4
199509,79.2,0.1
199609,76,-3.1
199709,81.6,2.5
199809,84.3,5.2
199909,78.8,-0.3
200009,85,5.9
200109,82.7,3.6
200209,79.4,0.3
200309,81.3,2.2
200409,78.5,-0.6
200509,82.2,3.1
200609,74.4,-4.7
200709,81.3,2.2
200809,78.2,-0.9
200909,78.4,-0.7
201009,83.9,4.8
201109,81,1.9
201209,81.3,2.2
201309,79,-0.1
201409,78.8,-0.3
201509,83.5,4.4
