Utah, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,61.6,3.3
189604,56.3,-2.0
189704,57.5,-0.8
189804,63.1,4.8
189904,60.2,1.9
190004,53.9,-4.4
190104,57.7,-0.6
190204,59.6,1.3
190304,56.2,-2.1
190404,59.6,1.3
190504,58.1,-0.2
190604,57,-1.3
190704,60.4,2.1
190804,61.1,2.8
190904,55.2,-3.1
191004,64.1,5.8
191104,58,-0.3
191204,52.5,-5.8
191304,60.1,1.8
191404,58.9,0.6
191504,62.3,4.0
191604,60.7,2.4
191704,53.3,-5.0
191804,56.4,-1.9
191904,61.1,2.8
192004,51,-7.3
192104,54.7,-3.6
192204,51.4,-6.9
192304,55.1,-3.2
192404,58.2,-0.1
192504,60.4,2.1
192604,61.1,2.8
192704,58.1,-0.2
192804,56.7,-1.6
192904,53.7,-4.6
193004,64.6,6.3
193104,61.2,2.9
193204,58.6,0.3
193304,54.5,-3.8
193404,66.5,8.2
193504,56.9,-1.4
193604,62.5,4.2
193704,57.1,-1.2
193804,60,1.7
193904,63.1,4.8
194004,59.6,1.3
194104,52.1,-6.2
194204,58.8,0.5
194304,65.6,7.3
194404,53,-5.3
194504,53.9,-4.4
194604,64,5.7
194704,57.3,-1.0
194804,58.6,0.3
194904,63.1,4.8
195004,60.8,2.5
195104,59,0.7
195204,58.5,0.2
195304,56.2,-2.1
195404,64.4,6.1
195504,55.8,-2.5
195604,58.4,0.1
195704,54.8,-3.5
195804,54.7,-3.6
195904,61.6,3.3
196004,60.5,2.2
196104,58,-0.3
196204,63.8,5.5
196304,54.2,-4.1
196404,54.5,-3.8
196504,56,-2.3
196604,60.5,2.2
196704,53.3,-5.0
196804,52.8,-5.5
196904,59.9,1.6
197004,52.1,-6.2
197104,57.5,-0.8
197204,59,0.7
197304,53.2,-5.1
197404,56.6,-1.7
197504,49.6,-8.7
197604,57,-1.3
197704,63.4,5.1
197804,57.2,-1.1
197904,57.8,-0.5
198004,58.8,0.5
198104,62.8,4.5
198204,55.9,-2.4
198304,50.7,-7.6
198404,54.3,-4.0
198504,62.7,4.4
198604,57.7,-0.6
198704,64.9,6.6
198804,60.4,2.1
198904,65.2,6.9
199004,62.6,4.3
199104,55.7,-2.6
199204,66.6,8.3
199304,58,-0.3
199404,59.8,1.5
199504,56.2,-2.1
199604,60.2,1.9
199704,55.1,-3.2
199804,55.5,-2.8
199904,53.3,-5.0
200004,65.2,6.9
200104,59.3,1.0
200204,63.7,5.4
200304,58.4,0.1
200404,60.2,1.9
200504,58.9,0.6
200604,61.9,3.6
200704,61.6,3.3
200804,57.4,-0.9
200904,58.3,0.0
201004,57.8,-0.5
201104,56.1,-2.2
201204,63.7,5.4
201304,58.1,-0.2
201404,59.7,1.4
201504,60.6,2.3
