South Dakota, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,85.3,0.8
189608,84.4,-0.1
189708,79.7,-4.8
189808,85.5,1.0
189908,83.8,-0.7
190008,86.5,2.0
190108,85.8,1.3
190208,80.8,-3.7
190308,79.7,-4.8
190408,83,-1.5
190508,84.7,0.2
190608,80.9,-3.6
190708,84.2,-0.3
190808,81,-3.5
190908,87.8,3.3
191008,81.5,-3.0
191108,78.9,-5.6
191208,80.2,-4.3
191308,87.9,3.4
191408,82.8,-1.7
191508,77.1,-7.4
191608,81.8,-2.7
191708,82.4,-2.1
191808,83.9,-0.6
191908,85.6,1.1
192008,83.2,-1.3
192108,84.5,0.0
192208,87.4,2.9
192308,79.2,-5.3
192408,83,-1.5
192508,87.6,3.1
192608,83.6,-0.9
192708,79.3,-5.2
192808,84.5,0.0
192908,88.3,3.8
193008,85.9,1.4
193108,85.6,1.1
193208,85.6,1.1
193308,82.9,-1.6
193408,86.4,1.9
193508,86.7,2.2
193608,90.5,6.0
193708,92.4,7.9
193808,90.9,6.4
193908,86.4,1.9
194008,83.9,-0.6
194108,86.8,2.3
194208,83.7,-0.8
194308,87.4,2.9
194408,82.5,-2.0
194508,84.8,0.3
194608,81.8,-2.7
194708,91.2,6.7
194808,85.5,1.0
194908,88.6,4.1
195008,81.2,-3.3
195108,80,-4.5
195208,84.3,-0.2
195308,84.3,-0.2
195408,84.3,-0.2
195508,89.8,5.3
195608,82.4,-2.1
195708,82.9,-1.6
195808,88.7,4.2
195908,90.3,5.8
196008,85.8,1.3
196108,89.1,4.6
196208,84.5,0.0
196308,85.4,0.9
196408,81.9,-2.6
196508,83.4,-1.1
196608,80,-4.5
196708,85,0.5
196808,82.5,-2.0
196908,89,4.5
197008,87.9,3.4
197108,89.3,4.8
197208,83.8,-0.7
197308,89.9,5.4
197408,81.5,-3.0
197508,84.6,0.1
197608,89,4.5
197708,79.7,-4.8
197808,84.7,0.2
197908,80.7,-3.8
198008,83.6,-0.9
198108,82.9,-1.6
198208,84.3,-0.2
198308,91.4,6.9
198408,88.1,3.6
198508,80.2,-4.3
198608,81.5,-3.0
198708,80.2,-4.3
198808,87.9,3.4
198908,86.1,1.6
199008,85.3,0.8
199108,86.5,2.0
199208,77.1,-7.4
199308,80,-4.5
199408,82.5,-2.0
199508,86.9,2.4
199608,85.4,0.9
199708,81.4,-3.1
199808,84.7,0.2
199908,84.7,0.2
200008,87.2,2.7
200108,87.7,3.2
200208,83.8,-0.7
200308,89.2,4.7
200408,79.8,-4.7
200508,85,0.5
200608,85.7,1.2
200708,83.3,-1.2
200808,84.5,0.0
200908,80.5,-4.0
201008,87.1,2.6
201108,84.7,0.2
201208,86.6,2.1
201308,83.8,-0.7
201408,80.5,-4.0
201508,82.9,-1.6
