New Hampshire, Maximum Temperature, March
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189503,34.2,-5.1
189603,33,-6.3
189703,37.4,-1.9
189803,45.1,5.8
189903,33.5,-5.8
190003,33.4,-5.9
190103,36.6,-2.7
190203,45.6,6.3
190303,47,7.7
190403,35.5,-3.8
190503,38.3,-1.0
190603,32,-7.3
190703,38.6,-0.7
190803,38.8,-0.5
190903,35.6,-3.7
191003,45.2,5.9
191103,35.9,-3.4
191203,35.3,-4.0
191303,43.5,4.2
191403,36.7,-2.6
191503,36.3,-3.0
191603,32.2,-7.1
191703,36.9,-2.4
191803,39.1,-0.2
191903,42.5,3.2
192003,41.3,2.0
192103,48.2,8.9
192203,40.2,0.9
192303,34.3,-5.0
192403,37.7,-1.6
192503,43.1,3.8
192603,32.9,-6.4
192703,42.6,3.3
192803,36.4,-2.9
192903,41.4,2.1
193003,37.7,-1.6
193103,40.1,0.8
193203,34.5,-4.8
193303,34.7,-4.6
193403,37.9,-1.4
193503,40.1,0.8
193603,44.6,5.3
193703,34.1,-5.2
193803,41.3,2.0
193903,33.7,-5.6
194003,34.5,-4.8
194103,33.9,-5.4
194203,42.3,3.0
194303,35.7,-3.6
194403,35.6,-3.7
194503,49.6,10.3
194603,52.3,13.0
194703,38.4,-0.9
194803,41.5,2.2
194903,41.4,2.1
195003,35.1,-4.2
195103,39,-0.3
195203,37.5,-1.8
195303,40.7,1.4
195403,38.5,-0.8
195503,36.9,-2.4
195603,33.9,-5.4
195703,40.6,1.3
195803,40.4,1.1
195903,38.2,-1.1
196003,33.1,-6.2
196103,39.6,0.3
196203,41.2,1.9
196303,40.1,0.8
196403,40.2,0.9
196503,36.8,-2.5
196603,40.6,1.3
196703,35.8,-3.5
196803,41.9,2.6
196903,36.1,-3.2
197003,37.7,-1.6
197103,37,-2.3
197203,35.7,-3.6
197303,44.8,5.5
197403,38.5,-0.8
197503,37.5,-1.8
197603,41.6,2.3
197703,45.4,6.1
197803,36.7,-2.6
197903,43.7,4.4
198003,38.9,-0.4
198103,40.9,1.6
198203,38.8,-0.5
198303,40.6,1.3
198403,34.1,-5.2
198503,43,3.7
198603,42.9,3.6
198703,42.9,3.6
198803,40.6,1.3
198903,39.4,0.1
199003,43.7,4.4
199103,41.9,2.6
199203,36.7,-2.6
199303,38.9,-0.4
199403,38.5,-0.8
199503,42.4,3.1
199603,38.4,-0.9
199703,36.8,-2.5
199803,43.1,3.8
199903,40.8,1.5
200003,46.8,7.5
200103,36.1,-3.2
200203,40.4,1.1
200303,41,1.7
200403,42.2,2.9
200503,37.4,-1.9
200603,40,0.7
200703,39.8,0.5
200803,37.8,-1.5
200903,41.5,2.2
201003,47,7.7
201103,39.2,-0.1
201203,50.3,11.0
201303,39.9,0.6
201403,33.6,-5.7
201503,35.5,-3.8
