Illinois, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,81.5,3.5
189609,73.9,-4.1
189709,86.4,8.4
189809,79.5,1.5
189909,77.2,-0.8
190009,79.6,1.6
190109,79,1.0
190209,72.6,-5.4
190309,77.5,-0.5
190409,77.5,-0.5
190509,78.8,0.8
190609,81.7,3.7
190709,75.9,-2.1
190809,83.8,5.8
190909,75.8,-2.2
191009,76.8,-1.2
191109,79.1,1.1
191209,78.6,0.6
191309,78.1,0.1
191409,77.2,-0.8
191509,78.2,0.2
191609,76.8,-1.2
191709,76.8,-1.2
191809,70.8,-7.2
191909,81.7,3.7
192009,80.4,2.4
192109,80.9,2.9
192209,82.7,4.7
192309,75.7,-2.3
192409,72.1,-5.9
192509,83.4,5.4
192609,75.6,-2.4
192709,81.5,3.5
192809,75,-3.0
192909,76.6,-1.4
193009,80.8,2.8
193109,83.5,5.5
193209,77.1,-0.9
193309,84.6,6.6
193409,74.4,-3.6
193509,78.6,0.6
193609,80.5,2.5
193709,78.3,0.3
193809,79.5,1.5
193909,85.4,7.4
194009,79.5,1.5
194109,81,3.0
194209,75.4,-2.6
194309,74.4,-3.6
194409,77.7,-0.3
194509,76,-2.0
194609,78.5,0.5
194709,79.6,1.6
194809,79.7,1.7
194909,72.6,-5.4
195009,74.5,-3.5
195109,74,-4.0
195209,80,2.0
195309,82.7,4.7
195409,83,5.0
195509,81.7,3.7
195609,79.8,1.8
195709,75.9,-2.1
195809,76.9,-1.1
195909,79.6,1.6
196009,81.8,3.8
196109,79.8,1.8
196209,75.1,-2.9
196309,79.1,1.1
196409,78.5,0.5
196509,75.8,-2.2
196609,74.5,-3.5
196709,74.7,-3.3
196809,77,-1.0
196909,76.5,-1.5
197009,79.4,1.4
197109,80.6,2.6
197209,77.6,-0.4
197309,77.1,-0.9
197409,72.2,-5.8
197509,72.5,-5.5
197609,77.1,-0.9
197709,77.7,-0.3
197809,82.7,4.7
197909,78.9,0.9
198009,79.7,1.7
198109,75.8,-2.2
198209,75.5,-2.5
198309,80,2.0
198409,75.8,-2.2
198509,78,0.0
198609,79.9,1.9
198709,79.1,1.1
198809,80.4,2.4
198909,74.4,-3.6
199009,79.1,1.1
199109,78.2,0.2
199209,75.5,-2.5
199309,71.2,-6.8
199409,76.8,-1.2
199509,75.4,-2.6
199609,75.6,-2.4
199709,78,0.0
199809,82.8,4.8
199909,79.7,1.7
200009,78.6,0.6
200109,76.4,-1.6
200209,82.1,4.1
200309,75.9,-2.1
200409,80.8,2.8
200509,82.9,4.9
200609,74.6,-3.4
200709,83.1,5.1
200809,77.9,-0.1
200909,76.5,-1.5
201009,78.9,0.9
201109,74.4,-3.6
201209,76.9,-1.1
201309,81.1,3.1
201409,76.4,-1.6
201509,82,4.0
