Georgia, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,57.1,-1.2
189612,57.5,-0.8
189712,58.5,0.2
189812,55.3,-3.0
189912,55.7,-2.6
190012,57,-1.3
190112,54.9,-3.4
190212,57.7,-0.6
190312,53.5,-4.8
190412,57.3,-1.0
190512,52.9,-5.4
190612,59.3,1.0
190712,55.9,-2.4
190812,62.2,3.9
190912,52.7,-5.6
191012,52.7,-5.6
191112,60,1.7
191212,58.3,0.0
191312,57.9,-0.4
191412,52.1,-6.2
191512,56.3,-2.0
191612,58.4,0.1
191712,49.8,-8.5
191812,59.1,0.8
191912,58.9,0.6
192012,56,-2.3
192112,62.9,4.6
192212,62.6,4.3
192312,63.5,5.2
192412,59.4,1.1
192512,55.4,-2.9
192612,62,3.7
192712,57.7,-0.6
192812,58.7,0.4
192912,57.3,-1.0
193012,51.2,-7.1
193112,65.9,7.6
193212,61.6,3.3
193312,66.2,7.9
193412,56.5,-1.8
193512,49.9,-8.4
193612,58.2,-0.1
193712,56.9,-1.4
193812,57.7,-0.6
193912,60,1.7
194012,60.9,2.6
194112,60.6,2.3
194212,58.8,0.5
194312,58.5,0.2
194412,55.1,-3.2
194512,51.8,-6.5
194612,64.2,5.9
194712,58.5,0.2
194812,60.7,2.4
194912,60.4,2.1
195012,52.7,-5.6
195112,61.5,3.2
195212,56.2,-2.1
195312,57,-1.3
195412,56.9,-1.4
195512,56.3,-2.0
195612,67.1,8.8
195712,59,0.7
195812,56.2,-2.1
195912,58.7,0.4
196012,55.3,-3.0
196112,58.8,0.5
196212,55.6,-2.7
196312,51,-7.3
196412,60.4,2.1
196512,60,1.7
196612,57.8,-0.5
196712,63,4.7
196812,55.9,-2.4
196912,56.2,-2.1
197012,62.3,4.0
197112,65.3,7.0
197212,62.3,4.0
197312,58.9,0.6
197412,58,-0.3
197512,58.6,0.3
197612,55,-3.3
197712,57,-1.3
197812,60.9,2.6
197912,58.5,0.2
198012,58.5,0.2
198112,54.1,-4.2
198212,63.1,4.8
198312,54.8,-3.5
198412,67.5,9.2
198512,56.1,-2.2
198612,57.3,-1.0
198712,62.2,3.9
198812,60.6,2.3
198912,51.4,-6.9
199012,62.4,4.1
199112,62.4,4.1
199212,56.6,-1.7
199312,56.7,-1.6
199412,60,1.7
199512,56.4,-1.9
199612,61.4,3.1
199712,57.3,-1.0
199812,63.3,5.0
199912,60.5,2.2
200012,51.2,-7.1
200112,64.8,6.5
200212,56.7,-1.6
200312,57.1,-1.2
200412,58.8,0.5
200512,56.5,-1.8
200612,64.2,5.9
200712,64.4,6.1
200812,62.7,4.4
200912,56.1,-2.2
201012,51.5,-6.8
201112,62.8,4.5
201212,62.8,4.5
201312,61.6,3.3
201412,62.3,4.0
201512,68.8,10.5
