Arkansas, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,46,-3.4
189601,48.9,-0.5
189701,46.8,-2.6
189801,52.5,3.1
189901,48.2,-1.2
190001,52.1,2.7
190101,54.7,5.3
190201,47.3,-2.1
190301,48.4,-1.0
190401,49.6,0.2
190501,41.2,-8.2
190601,52.1,2.7
190701,58.4,9.0
190801,50.3,0.9
190901,52.1,2.7
191001,51.8,2.4
191101,56.5,7.1
191201,44,-5.4
191301,53.4,4.0
191401,55.9,6.5
191501,46.9,-2.5
191601,53,3.6
191701,52.9,3.5
191801,37,-12.4
191901,50.8,1.4
192001,47.1,-2.3
192101,55.5,6.1
192201,46.1,-3.3
192301,57.8,8.4
192401,44.5,-4.9
192501,49.3,-0.1
192601,49.2,-0.2
192701,50.7,1.3
192801,52.5,3.1
192901,48.3,-1.1
193001,41.8,-7.6
193101,51.8,2.4
193201,54.8,5.4
193301,57.6,8.2
193401,53.2,3.8
193501,53.3,3.9
193601,46.5,-2.9
193701,48.7,-0.7
193801,51.3,1.9
193901,55.2,5.8
194001,36.9,-12.5
194101,52.7,3.3
194201,49.3,-0.1
194301,53.7,4.3
194401,51.4,2.0
194501,48.9,-0.5
194601,49.2,-0.2
194701,50.5,1.1
194801,42,-7.4
194901,49.8,0.4
195001,56.6,7.2
195101,52,2.6
195201,56.4,7.0
195301,55.3,5.9
195401,51.4,2.0
195501,50.7,1.3
195601,48.3,-1.1
195701,47.1,-2.3
195801,48.6,-0.8
195901,48.4,-1.0
196001,47.7,-1.7
196101,48,-1.4
196201,46.1,-3.3
196301,44.5,-4.9
196401,53.2,3.8
196501,53.8,4.4
196601,43.7,-5.7
196701,52.9,3.5
196801,45.7,-3.7
196901,49.8,0.4
197001,44.4,-5.0
197101,50.2,0.8
197201,51.4,2.0
197301,46.7,-2.7
197401,48.6,-0.8
197501,53.7,4.3
197601,50.2,0.8
197701,37.5,-11.9
197801,37.7,-11.7
197901,35.6,-13.8
198001,49.4,0.0
198101,49.7,0.3
198201,46.7,-2.7
198301,46.8,-2.6
198401,44.8,-4.6
198501,41.8,-7.6
198601,54.8,5.4
198701,48.2,-1.2
198801,44.4,-5.0
198901,54.6,5.2
199001,56.5,7.1
199101,44.6,-4.8
199201,50.3,0.9
199301,48.2,-1.2
199401,45.2,-4.2
199501,50.3,0.9
199601,49.2,-0.2
199701,48.3,-1.1
199801,52.5,3.1
199901,52.9,3.5
200001,51.9,2.5
200101,46.5,-2.9
200201,53.5,4.1
200301,47.3,-2.1
200401,51.1,1.7
200501,53.3,3.9
200601,59.1,9.7
200701,48.7,-0.7
200801,49.3,-0.1
200901,48.9,-0.5
201001,45.4,-4.0
201101,47.6,-1.8
201201,55.9,6.5
201301,51.6,2.2
201401,47.4,-2.0
201501,49.2,-0.2
201601,49.4,0.0
