New Hampshire, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,34.9,3.9
189612,28.2,-2.8
189712,31.2,0.2
189812,30.2,-0.8
189912,33.8,2.8
190012,30,-1.0
190112,31.4,0.4
190212,27.6,-3.4
190312,27,-4.0
190412,22.9,-8.1
190512,33.4,2.4
190612,26.4,-4.6
190712,34.3,3.3
190812,30.5,-0.5
190912,28.1,-2.9
191012,25.5,-5.5
191112,36.2,5.2
191212,35.8,4.8
191312,34.4,3.4
191412,29.3,-1.7
191512,30.3,-0.7
191612,28.3,-2.7
191712,20.5,-10.5
191812,31.8,0.8
191912,26.6,-4.4
192012,31.3,0.3
192112,28.3,-2.7
192212,28.8,-2.2
192312,37.5,6.5
192412,27.7,-3.3
192512,29.7,-1.3
192612,26,-5.0
192712,33.6,2.6
192812,35.5,4.5
192912,29,-2.0
193012,31.3,0.3
193112,34.1,3.1
193212,35.9,4.9
193312,25.3,-5.7
193412,27.7,-3.3
193512,25.7,-5.3
193612,34.1,3.1
193712,29.4,-1.6
193812,32.1,1.1
193912,30.6,-0.4
194012,32,1.0
194112,34.4,3.4
194212,26.9,-4.1
194312,27.7,-3.3
194412,28.9,-2.1
194512,26.8,-4.2
194612,32.6,1.6
194712,28.2,-2.8
194812,34.7,3.7
194912,35,4.0
195012,33.2,2.2
195112,32.3,1.3
195212,33.7,2.7
195312,38.6,7.6
195412,31.6,0.6
195512,24.3,-6.7
195612,33.6,2.6
195712,37.4,6.4
195812,24.1,-6.9
195912,33.1,2.1
196012,29.1,-1.9
196112,30.6,-0.4
196212,30.2,-0.8
196312,23.2,-7.8
196412,30.4,-0.6
196512,32.6,1.6
196612,32,1.0
196712,32.7,1.7
196812,27.4,-3.6
196912,29.7,-1.3
197012,25.8,-5.2
197112,32.9,1.9
197212,30.6,-0.4
197312,35.8,4.8
197412,34.1,3.1
197512,30.5,-0.5
197612,26.3,-4.7
197712,28.8,-2.2
197812,31.8,0.8
197912,34.9,3.9
198012,27.9,-3.1
198112,30.8,-0.2
198212,38.5,7.5
198312,29.8,-1.2
198412,36.8,5.8
198512,28.2,-2.8
198612,33,2.0
198712,33.8,2.8
198812,30.5,-0.5
198912,18.6,-12.4
199012,37.6,6.6
199112,32.7,1.7
199212,33,2.0
199312,33,2.0
199412,37,6.0
199512,27.4,-3.6
199612,36.1,5.1
199712,33.8,2.8
199812,40.2,9.2
199912,35.2,4.2
200012,28.7,-2.3
200112,39.2,8.2
200212,31.9,0.9
200312,33.6,2.6
200412,32.1,1.1
200512,31.4,0.4
200612,39.7,8.7
200712,29.9,-1.1
200812,34,3.0
200912,31.4,0.4
201012,30.6,-0.4
201112,38.6,7.6
201212,36,5.0
201312,30.4,-0.6
201412,35.3,4.3
201512,42.4,11.4
