Pennsylvania, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,29.3,-4.2
189601,31.4,-2.1
189701,30.3,-3.2
189801,35.2,1.7
189901,33,-0.5
190001,34.6,1.1
190101,33.5,0.0
190201,31.3,-2.2
190301,31.8,-1.7
190401,26.3,-7.2
190501,28.3,-5.2
190601,40.4,6.9
190701,35.3,1.8
190801,33.8,0.3
190901,36,2.5
191001,32.1,-1.4
191101,37.2,3.7
191201,24.4,-9.1
191301,42.6,9.1
191401,34.4,0.9
191501,33.4,-0.1
191601,40.6,7.1
191701,34.1,0.6
191801,22,-11.5
191901,38.5,5.0
192001,26.3,-7.2
192101,36.6,3.1
192201,31.3,-2.2
192301,32.9,-0.6
192401,34.4,0.9
192501,31.5,-2.0
192601,33.2,-0.3
192701,31.8,-1.7
192801,35.3,1.8
192901,32.7,-0.8
193001,34.8,1.3
193101,35.5,2.0
193201,44.6,11.1
193301,42.6,9.1
193401,37.1,3.6
193501,32.8,-0.7
193601,28.2,-5.3
193701,40.9,7.4
193801,33.7,0.2
193901,35.5,2.0
194001,23.3,-10.2
194101,31.2,-2.3
194201,33.1,-0.4
194301,32.5,-1.0
194401,36.6,3.1
194501,27,-6.5
194601,36,2.5
194701,40,6.5
194801,26.8,-6.7
194901,40.3,6.8
195001,44.7,11.2
195101,36.7,3.2
195201,37.7,4.2
195301,38.9,5.4
195401,33.8,0.3
195501,31.8,-1.7
195601,32.2,-1.3
195701,30.2,-3.3
195801,31.6,-1.9
195901,32.3,-1.2
196001,35.1,1.6
196101,28.7,-4.8
196201,32.9,-0.6
196301,29.8,-3.7
196401,35.9,2.4
196501,31.6,-1.9
196601,29.8,-3.7
196701,38.9,5.4
196801,29.4,-4.1
196901,31.8,-1.7
197001,26.4,-7.1
197101,29.4,-4.1
197201,36.6,3.1
197301,37.4,3.9
197401,38,4.5
197501,37.6,4.1
197601,29.7,-3.8
197701,21.6,-11.9
197801,27.8,-5.7
197901,30,-3.5
198001,33.4,-0.1
198101,27.9,-5.6
198201,27,-6.5
198301,34.3,0.8
198401,29.4,-4.1
198501,28.5,-5.0
198601,34.5,1.0
198701,32.1,-1.4
198801,31.3,-2.2
198901,39.7,6.2
199001,42.2,8.7
199101,35,1.5
199201,36.2,2.7
199301,37.4,3.9
199401,26.4,-7.1
199501,36.8,3.3
199601,32.5,-1.0
199701,33.6,0.1
199801,41.2,7.7
199901,36.1,2.6
200001,34.6,1.1
200101,33.7,0.2
200201,41,7.5
200301,27.8,-5.7
200401,27.7,-5.8
200501,34.4,0.9
200601,43.8,10.3
200701,39.3,5.8
200801,37.2,3.7
200901,28.8,-4.7
201001,32.7,-0.8
201101,30,-3.5
201201,38.8,5.3
201301,36.8,3.3
201401,29.2,-4.3
201501,30.9,-2.6
201601,34.3,0.8
