Maine, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,23.6,0.0
189601,20.6,-3.0
189701,23.7,0.1
189801,20.9,-2.7
189901,23.5,-0.1
190001,26.3,2.7
190101,20.6,-3.0
190201,23.6,0.0
190301,25.3,1.7
190401,16.6,-7.0
190501,19.5,-4.1
190601,29.3,5.7
190701,20,-3.6
190801,26.6,3.0
190901,23.4,-0.2
191001,27.7,4.1
191101,23.8,0.2
191201,16.2,-7.4
191301,30.9,7.3
191401,20,-3.6
191501,26.2,2.6
191601,26,2.4
191701,21.8,-1.8
191801,15.8,-7.8
191901,25.3,1.7
192001,15.4,-8.2
192101,25.7,2.1
192201,21.5,-2.1
192301,19.9,-3.7
192401,24.7,1.1
192501,17.8,-5.8
192601,22.5,-1.1
192701,25.1,1.5
192801,24.6,1.0
192901,23.1,-0.5
193001,24,0.4
193101,23.4,-0.2
193201,31.7,8.1
193301,32.6,9.0
193401,21.6,-2.0
193501,17.4,-6.2
193601,22.4,-1.2
193701,30.9,7.3
193801,23.6,0.0
193901,23.2,-0.4
194001,19.4,-4.2
194101,20.4,-3.2
194201,22.8,-0.8
194301,19.2,-4.4
194401,26,2.4
194501,19.9,-3.7
194601,23,-0.6
194701,24.6,1.0
194801,20.2,-3.4
194901,28.2,4.6
195001,29.2,5.6
195101,27.8,4.2
195201,27.1,3.5
195301,29.7,6.1
195401,21,-2.6
195501,22.3,-1.3
195601,28.5,4.9
195701,18.1,-5.5
195801,27.8,4.2
195901,24.3,0.7
196001,25.2,1.6
196101,18.5,-5.1
196201,23.7,0.1
196301,25.5,1.9
196401,27.4,3.8
196501,20.9,-2.7
196601,25.4,1.8
196701,27.1,3.5
196801,19.6,-4.0
196901,26.4,2.8
197001,17.4,-6.2
197101,18.6,-5.0
197201,25.6,2.0
197301,26.6,3.0
197401,23.8,0.2
197501,26.6,3.0
197601,21.2,-2.4
197701,19.2,-4.4
197801,22,-1.6
197901,25.5,1.9
198001,25.3,1.7
198101,18.4,-5.2
198201,16.6,-7.0
198301,27.1,3.5
198401,21.3,-2.3
198501,18.7,-4.9
198601,26.9,3.3
198701,23.6,0.0
198801,25.2,1.6
198901,27.8,4.2
199001,31.4,7.8
199101,22.8,-0.8
199201,24,0.4
199301,25,1.4
199401,15.6,-8.0
199501,27.4,3.8
199601,24.1,0.5
199701,23.5,-0.1
199801,26,2.4
199901,25.8,2.2
200001,23.7,0.1
200101,24.9,1.3
200201,29.2,5.6
200301,18.5,-5.1
200401,14.9,-8.7
200501,21.9,-1.7
200601,31.2,7.6
200701,26.7,3.1
200801,28.3,4.7
200901,19,-4.6
201001,28.2,4.6
201101,24.6,1.0
201201,27.5,3.9
201301,26,2.4
201401,23.6,0.0
201501,22.8,-0.8
201601,28.7,5.1
