Texas, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,81.6,-3.1
189605,89.6,4.9
189705,84.2,-0.5
189805,85.1,0.4
189905,87.8,3.1
190005,83.2,-1.5
190105,85.3,0.6
190205,87.1,2.4
190305,80.8,-3.9
190405,83.8,-0.9
190505,84.4,-0.3
190605,84.4,-0.3
190705,79.6,-5.1
190805,85.1,0.4
190905,85.1,0.4
191005,83.8,-0.9
191105,84.4,-0.3
191205,86.5,1.8
191305,86.2,1.5
191405,80.1,-4.6
191505,83.5,-1.2
191605,86.6,1.9
191705,81.1,-3.6
191805,85.3,0.6
191905,81.8,-2.9
192005,85.2,0.5
192105,85.3,0.6
192205,85.6,0.9
192305,85.8,1.1
192405,81.4,-3.3
192505,85.9,1.2
192605,83.3,-1.4
192705,89.9,5.2
192805,85.3,0.6
192905,82.4,-2.3
193005,83.1,-1.6
193105,80.9,-3.8
193205,83.8,-0.9
193305,87.8,3.1
193405,87.7,3.0
193505,81.4,-3.3
193605,83.6,-1.1
193705,87.2,2.5
193805,85.3,0.6
193905,87.8,3.1
194005,84.8,0.1
194105,83.1,-1.6
194205,84,-0.7
194305,85.5,0.8
194405,83.8,-0.9
194505,86.9,2.2
194605,84,-0.7
194705,84.3,-0.4
194805,86.9,2.2
194905,85.4,0.7
195005,85.6,0.9
195105,85.4,0.7
195205,84.9,0.2
195305,85.6,0.9
195405,81.5,-3.2
195505,87,2.3
195605,88.9,4.2
195705,81.2,-3.5
195805,84.9,0.2
195905,86,1.3
196005,85,0.3
196105,86.6,1.9
196205,88.8,4.1
196305,86.7,2.0
196405,86.5,1.8
196505,83.2,-1.5
196605,82.8,-1.9
196705,85.5,0.8
196805,83.2,-1.5
196905,83.3,-1.4
197005,83.6,-1.1
197105,85.4,0.7
197205,82.9,-1.8
197305,84.2,-0.5
197405,87.7,3.0
197505,83.8,-0.9
197605,80.5,-4.2
197705,84.1,-0.6
197805,86.5,1.8
197905,81.8,-2.9
198005,83.8,-0.9
198105,82.7,-2.0
198205,82.4,-2.3
198305,83.7,-1.0
198405,87.2,2.5
198505,86,1.3
198605,84,-0.7
198705,83.2,-1.5
198805,84.2,-0.5
198905,87.4,2.7
199005,84.5,-0.2
199105,86.2,1.5
199205,80.4,-4.3
199305,82.9,-1.8
199405,82.4,-2.3
199505,84,-0.7
199605,91,6.3
199705,82.1,-2.6
199805,91.2,6.5
199905,84.7,0.0
200005,89.2,4.5
200105,86.4,1.7
200205,86.5,1.8
200305,88.3,3.6
200405,85.5,0.8
200505,83.5,-1.2
200605,89.3,4.6
200705,81.5,-3.2
200805,87.2,2.5
200905,85.6,0.9
201005,86.1,1.4
201105,87.8,3.1
201205,87.7,3.0
201305,85.2,0.5
201405,85.1,0.4
201505,81.9,-2.8
