Nebraska, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,30.2,-8.4
189602,44.4,5.8
189702,37,-1.6
189802,41.7,3.1
189902,22.7,-15.9
190002,32,-6.6
190102,30.7,-7.9
190202,32.8,-5.8
190302,28.3,-10.3
190402,37.6,-1.0
190502,26.8,-11.8
190602,42.1,3.5
190702,41.1,2.5
190802,38.6,0.0
190902,40.2,1.6
191002,36,-2.6
191102,38.7,0.1
191202,34.4,-4.2
191302,31.6,-7.0
191402,33.5,-5.1
191502,34.8,-3.8
191602,37.9,-0.7
191702,36.6,-2.0
191802,40.8,2.2
191902,32.9,-5.7
192002,38.4,-0.2
192102,44.2,5.6
192202,34.7,-3.9
192302,37.2,-1.4
192402,41.5,2.9
192502,43.8,5.2
192602,45.3,6.7
192702,43.3,4.7
192802,41.7,3.1
192902,27.4,-11.2
193002,50.5,11.9
193102,48,9.4
193202,40.7,2.1
193302,37.3,-1.3
193402,42.9,4.3
193502,44.3,5.7
193602,19,-19.6
193702,34.8,-3.8
193802,39.6,1.0
193902,32.5,-6.1
194002,35.6,-3.0
194102,36.7,-1.9
194202,33.1,-5.5
194302,48.4,9.8
194402,37.1,-1.5
194502,38.6,0.0
194602,46.8,8.2
194702,34.3,-4.3
194802,35.3,-3.3
194902,32.4,-6.2
195002,41.3,2.7
195102,43.5,4.9
195202,42,3.4
195302,40.1,1.5
195402,54.2,15.6
195502,31.3,-7.3
195602,35.1,-3.5
195702,44.7,6.1
195802,33.5,-5.1
195902,33.8,-4.8
196002,26.9,-11.7
196102,44.6,6.0
196202,37.7,-0.9
196302,43.1,4.5
196402,37.8,-0.8
196502,36.5,-2.1
196602,33.7,-4.9
196702,42.5,3.9
196802,38.8,0.2
196902,33.9,-4.7
197002,46.4,7.8
197102,34.9,-3.7
197202,41.8,3.2
197302,39.4,0.8
197402,44.1,5.5
197502,32.9,-5.7
197602,48.2,9.6
197702,47.2,8.6
197802,24.9,-13.7
197902,29.2,-9.4
198002,34.8,-3.8
198102,43.7,5.1
198202,38.1,-0.5
198302,42.8,4.2
198402,43.6,5.0
198502,34.7,-3.9
198602,37.3,-1.3
198702,46.7,8.1
198802,37.6,-1.0
198902,28.4,-10.2
199002,41.6,3.0
199102,50.3,11.7
199202,48.2,9.6
199302,28.4,-10.2
199402,32.4,-6.2
199502,46.4,7.8
199602,43.4,4.8
199702,39.3,0.7
199802,44.1,5.5
199902,50,11.4
200002,47.7,9.1
200102,31.3,-7.3
200202,45.8,7.2
200302,36.4,-2.2
200402,37.4,-1.2
200502,46.5,7.9
200602,41.1,2.5
200702,32.9,-5.7
200802,37.9,-0.7
200902,44.5,5.9
201002,32.5,-6.1
201102,36.4,-2.2
201202,40.7,2.1
201302,40,1.4
201402,31.8,-6.8
201502,38.7,0.1
201602,45.8,7.2
