Florida, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,68.7,-0.3
189601,64.5,-4.5
189701,65.1,-3.9
189801,71.7,2.7
189901,68.6,-0.4
190001,65.6,-3.4
190101,68.4,-0.6
190201,66.6,-2.4
190301,66.3,-2.7
190401,65.5,-3.5
190501,63.9,-5.1
190601,67.5,-1.5
190701,74.6,5.6
190801,67.2,-1.8
190901,72,3.0
191001,67.5,-1.5
191101,71.8,2.8
191201,66.1,-2.9
191301,74,5.0
191401,67.2,-1.8
191501,65.2,-3.8
191601,73.6,4.6
191701,73,4.0
191801,63.6,-5.4
191901,66.7,-2.3
192001,70.3,1.3
192101,71.1,2.1
192201,67.5,-1.5
192301,71.7,2.7
192401,67.8,-1.2
192501,70.8,1.8
192601,65.6,-3.4
192701,69.3,0.3
192801,66.3,-2.7
192901,71.6,2.6
193001,70.9,1.9
193101,65.1,-3.9
193201,74.5,5.5
193301,71.2,2.2
193401,70.3,1.3
193501,69.7,0.7
193601,68.8,-0.2
193701,77.2,8.2
193801,68.2,-0.8
193901,71.6,2.6
194001,60,-9.0
194101,67.7,-1.3
194201,67.3,-1.7
194301,71.4,2.4
194401,68,-1.0
194501,68.1,-0.9
194601,70.1,1.1
194701,75,6.0
194801,66.2,-2.8
194901,74.8,5.8
195001,77.4,8.4
195101,69.8,0.8
195201,72.7,3.7
195301,69.8,0.8
195401,71.2,2.2
195501,68.1,-0.9
195601,65.5,-3.5
195701,73.4,4.4
195801,61.4,-7.6
195901,67.3,-1.7
196001,68.6,-0.4
196101,64.7,-4.3
196201,68.7,-0.3
196301,67.5,-1.5
196401,66.2,-2.8
196501,69.4,0.4
196601,64.7,-4.3
196701,70.9,1.9
196801,68.4,-0.6
196901,67.8,-1.2
197001,62.4,-6.6
197101,69.5,0.5
197201,74.5,5.5
197301,69,0.0
197401,78.3,9.3
197501,73.5,4.5
197601,67,-2.0
197701,60.8,-8.2
197801,62.6,-6.4
197901,65.6,-3.4
198001,69.1,0.1
198101,63.2,-5.8
198201,69.9,0.9
198301,65.7,-3.3
198401,65.9,-3.1
198501,65.4,-3.6
198601,68,-1.0
198701,67.4,-1.6
198801,64.8,-4.2
198901,75.5,6.5
199001,74.5,5.5
199101,71.3,2.3
199201,67.5,-1.5
199301,72.6,3.6
199401,67.5,-1.5
199501,67.8,-1.2
199601,68.8,-0.2
199701,70.8,1.8
199801,70.6,1.6
199901,72.8,3.8
200001,70.4,1.4
200101,66.3,-2.7
200201,70.5,1.5
200301,65,-4.0
200401,69.2,0.2
200501,70.9,1.9
200601,72.5,3.5
200701,71.3,2.3
200801,69.2,0.2
200901,69.5,0.5
201001,64.1,-4.9
201101,66.4,-2.6
201201,72.1,3.1
201301,74.7,5.7
201401,65.4,-3.6
201501,69.1,0.1
201601,66.3,-2.7
