California, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,84.1,1.3
189606,86.1,3.3
189706,81.5,-1.3
189806,83.7,0.9
189906,83.5,0.7
190006,84.6,1.8
190106,82.9,0.1
190206,85.1,2.3
190306,83.8,1.0
190406,84.8,2.0
190506,81.2,-1.6
190606,78.8,-4.0
190706,77.8,-5.0
190806,79.9,-2.9
190906,82.2,-0.6
191006,82.3,-0.5
191106,81.6,-1.2
191206,81.7,-1.1
191306,78.4,-4.4
191406,80.9,-1.9
191506,83,0.2
191606,81.6,-1.2
191706,86,3.2
191806,89.7,6.9
191906,84.5,1.7
192006,81.7,-1.1
192106,83.5,0.7
192206,84.7,1.9
192306,77.1,-5.7
192406,86.2,3.4
192506,83.2,0.4
192606,88.2,5.4
192706,82.6,-0.2
192806,83.3,0.5
192906,82.3,-0.5
193006,84.9,2.1
193106,81.3,-1.5
193206,84.2,1.4
193306,82,-0.8
193406,79.8,-3.0
193506,86.6,3.8
193606,83.8,1.0
193706,82.7,-0.1
193806,84,1.2
193906,83.9,1.1
194006,87.9,5.1
194106,79.8,-3.0
194206,82.5,-0.3
194306,78.7,-4.1
194406,77,-5.8
194506,82,-0.8
194606,82.5,-0.3
194706,81.2,-1.6
194806,81.1,-1.7
194906,84.7,1.9
195006,81.8,-1.0
195106,83.5,0.7
195206,77.9,-4.9
195306,78.3,-4.5
195406,80.5,-2.3
195506,81.9,-0.9
195606,83.8,1.0
195706,86.4,3.6
195806,81.3,-1.5
195906,86.3,3.5
196006,88.8,6.0
196106,87.5,4.7
196206,83.4,0.6
196306,79,-3.8
196406,79.8,-3.0
196506,78.1,-4.7
196606,83.2,0.4
196706,79.4,-3.4
196806,84.9,2.1
196906,79.1,-3.7
197006,83.5,0.7
197106,80.7,-2.1
197206,84.1,1.3
197306,85.9,3.1
197406,86.2,3.4
197506,82.6,-0.2
197606,82.9,0.1
197706,85.6,2.8
197806,83.6,0.8
197906,85.5,2.7
198006,79.7,-3.1
198106,88.2,5.4
198206,79.3,-3.5
198306,81.4,-1.4
198406,82.2,-0.6
198506,87.6,4.8
198606,85.8,3.0
198706,85.8,3.0
198806,82.2,-0.6
198906,83.7,0.9
199006,84,1.2
199106,80.1,-2.7
199206,82.5,-0.3
199306,81.9,-0.9
199406,86.1,3.3
199506,79.7,-3.1
199606,85.4,2.6
199706,81.8,-1.0
199806,78,-4.8
199906,82.3,-0.5
200006,87,4.2
200106,86.3,3.5
200206,86.5,3.7
200306,86.1,3.3
200406,85.2,2.4
200506,79.9,-2.9
200606,87.8,5.0
200706,85.9,3.1
200806,86.7,3.9
200906,80.7,-2.1
201006,83.2,0.4
201106,80.5,-2.3
201206,84.3,1.5
201306,87.2,4.4
201406,87.1,4.3
201506,89.2,6.4
