Nevada, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,37.9,-3.0
189601,44.7,3.8
189701,40.9,0.0
189801,32.6,-8.3
189901,41.9,1.0
190001,47.4,6.5
190101,40.8,-0.1
190201,40.8,-0.1
190301,42.8,1.9
190401,40.4,-0.5
190501,43.8,2.9
190601,38.9,-2.0
190701,35.9,-5.0
190801,43.3,2.4
190901,45.8,4.9
191001,34.3,-6.6
191101,42.3,1.4
191201,43.3,2.4
191301,37.9,-3.0
191401,41.8,0.9
191501,40.6,-0.3
191601,33.1,-7.8
191701,30.5,-10.4
191801,43.8,2.9
191901,43,2.1
192001,46.3,5.4
192101,42.6,1.7
192201,33.1,-7.8
192301,43.7,2.8
192401,37.6,-3.3
192501,42.1,1.2
192601,43.2,2.3
192701,44.8,3.9
192801,43.6,2.7
192901,38.6,-2.3
193001,35.1,-5.8
193101,42.7,1.8
193201,34.1,-6.8
193301,36.8,-4.1
193401,47.7,6.8
193501,41.8,0.9
193601,42.9,2.0
193701,23.5,-17.4
193801,43.4,2.5
193901,41,0.1
194001,42.2,1.3
194101,42.4,1.5
194201,37.5,-3.4
194301,43,2.1
194401,37.3,-3.6
194501,42.3,1.4
194601,41.6,0.7
194701,40.1,-0.8
194801,47.1,6.2
194901,24.4,-16.5
195001,38.1,-2.8
195101,42,1.1
195201,36.1,-4.8
195301,49.6,8.7
195401,43.7,2.8
195501,33.7,-7.2
195601,44.7,3.8
195701,36.8,-4.1
195801,44,3.1
195901,45.6,4.7
196001,36.4,-4.5
196101,47.4,6.5
196201,38.9,-2.0
196301,42.4,1.5
196401,40.1,-0.8
196501,43.3,2.4
196601,40.4,-0.5
196701,43,2.1
196801,43.2,2.3
196901,43.3,2.4
197001,42.8,1.9
197101,43.5,2.6
197201,39.4,-1.5
197301,37.1,-3.8
197401,38.2,-2.7
197501,41.6,0.7
197601,45.5,4.6
197701,40.6,-0.3
197801,42.4,1.5
197901,34,-6.9
198001,42.6,1.7
198101,47.7,6.8
198201,38.6,-2.3
198301,43.9,3.0
198401,39.4,-1.5
198501,37.7,-3.2
198601,48.9,8.0
198701,38.8,-2.1
198801,38.2,-2.7
198901,37.9,-3.0
199001,43.3,2.4
199101,41.3,0.4
199201,42.2,1.3
199301,35.8,-5.1
199401,46.4,5.5
199501,41,0.1
199601,44.9,4.0
199701,41.1,0.2
199801,45.1,4.2
199901,45.8,4.9
200001,45.4,4.5
200101,40.8,-0.1
200201,41.5,0.6
200301,52.6,11.7
200401,41.4,0.5
200501,41,0.1
200601,44.4,3.5
200701,40.2,-0.7
200801,37.6,-3.3
200901,46,5.1
201001,42.4,1.5
201101,44.1,3.2
201201,48.2,7.3
201301,38,-2.9
201401,50,9.1
201501,49.1,8.2
201601,40.5,-0.4
