Oklahoma, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,89.1,0.6
189606,92,3.5
189706,89.4,0.9
189806,88.2,-0.3
189906,87.6,-0.9
190006,90.5,2.0
190106,92.6,4.1
190206,88.7,0.2
190306,81.9,-6.6
190406,85.4,-3.1
190506,89.2,0.7
190606,86.4,-2.1
190706,86.3,-2.2
190806,85.4,-3.1
190906,88.2,-0.3
191006,89.5,1.0
191106,98,9.5
191206,86.2,-2.3
191306,87.9,-0.6
191406,93,4.5
191506,84.3,-4.2
191606,86.3,-2.2
191706,90.7,2.2
191806,94,5.5
191906,85.1,-3.4
192006,86.5,-2.0
192106,85.9,-2.6
192206,89.2,0.7
192306,87.2,-1.3
192406,92.1,3.6
192506,94.6,6.1
192606,88.6,0.1
192706,87,-1.5
192806,83.8,-4.7
192906,88,-0.5
193006,88.2,-0.3
193106,91.8,3.3
193206,87.8,-0.7
193306,94.8,6.3
193406,95.6,7.1
193506,85.1,-3.4
193606,94.6,6.1
193706,89.4,0.9
193806,87.6,-0.9
193906,89.7,1.2
194006,87.4,-1.1
194106,85.2,-3.3
194206,87.1,-1.4
194306,89.8,1.3
194406,89.8,1.3
194506,85.7,-2.8
194606,88.3,-0.2
194706,88.5,0.0
194806,90,1.5
194906,88.3,-0.2
195006,88.2,-0.3
195106,85.3,-3.2
195206,94.6,6.1
195306,97.8,9.3
195406,91.5,3.0
195506,85.3,-3.2
195606,92.1,3.6
195706,86,-2.5
195806,90.5,2.0
195906,88.2,-0.3
196006,89.1,0.6
196106,85.3,-3.2
196206,85.8,-2.7
196306,90.7,2.2
196406,88.8,0.3
196506,86.9,-1.6
196606,89.3,0.8
196706,87.5,-1.0
196806,87.5,-1.0
196906,86.8,-1.7
197006,88.3,-0.2
197106,90.9,2.4
197206,90.8,2.3
197306,87.8,-0.7
197406,87.2,-1.3
197506,86.8,-1.7
197606,87.1,-1.4
197706,91.9,3.4
197806,88.5,0.0
197906,86.9,-1.6
198006,92.1,3.6
198106,89.9,1.4
198206,83.2,-5.3
198306,84.7,-3.8
198406,90.5,2.0
198506,87.7,-0.8
198606,88.4,-0.1
198706,87.6,-0.9
198806,91,2.5
198906,83.5,-5.0
199006,92.2,3.7
199106,88.3,-0.2
199206,83.2,-5.3
199306,86.4,-2.1
199406,92.1,3.6
199506,85.1,-3.4
199606,89.6,1.1
199706,85.9,-2.6
199806,92.6,4.1
199906,85.1,-3.4
200006,83.9,-4.6
200106,88.8,0.3
200206,88.4,-0.1
200306,84.4,-4.1
200406,85.4,-3.1
200506,89.4,0.9
200606,91.2,2.7
200706,84.5,-4.0
200806,89.6,1.1
200906,90.9,2.4
201006,91.9,3.4
201106,96.8,8.3
201206,91.7,3.2
201306,89.7,1.2
201406,87.5,-1.0
201506,89.3,0.8
