Oklahoma, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,48.7,-1.4
189612,56.1,6.0
189712,47.3,-2.8
189812,45.1,-5.0
189912,47.1,-3.0
190012,53.4,3.3
190112,49.1,-1.0
190212,45.3,-4.8
190312,53,2.9
190412,50,-0.1
190512,48,-2.1
190612,53.9,3.8
190712,51.4,1.3
190812,54,3.9
190912,40.7,-9.4
191012,50.6,0.5
191112,46.2,-3.9
191212,50,-0.1
191312,45.3,-4.8
191412,38.6,-11.5
191512,54.2,4.1
191612,50,-0.1
191712,43.4,-6.7
191812,50.7,0.6
191912,46.2,-3.9
192012,51.3,1.2
192112,55.2,5.1
192212,55,4.9
192312,52.2,2.1
192412,44.5,-5.6
192512,49.9,-0.2
192612,49.4,-0.7
192712,47.6,-2.5
192812,51.2,1.1
192912,54.1,4.0
193012,48.9,-1.2
193112,53,2.9
193212,44.4,-5.7
193312,57.8,7.7
193412,51,0.9
193512,47.3,-2.8
193612,52.3,2.2
193712,45.6,-4.5
193812,52.4,2.3
193912,56.7,6.6
194012,52.4,2.3
194112,53,2.9
194212,49.3,-0.8
194312,45.5,-4.6
194412,45.5,-4.6
194512,46.5,-3.6
194612,55.7,5.6
194712,51.6,1.5
194812,53.1,3.0
194912,52.6,2.5
195012,51.9,1.8
195112,52.4,2.3
195212,48.5,-1.6
195312,50,-0.1
195412,54.2,4.1
195512,50.9,0.8
195612,54.4,4.3
195712,57.1,7.0
195812,49,-1.1
195912,53.5,3.4
196012,46.4,-3.7
196112,46.4,-3.7
196212,51.4,1.3
196312,43.5,-6.6
196412,49.8,-0.3
196512,56.1,6.0
196612,49.2,-0.9
196712,49.2,-0.9
196812,48.2,-1.9
196912,50.5,0.4
197012,56.3,6.2
197112,50.8,0.7
197212,44,-6.1
197312,51.2,1.1
197412,49.3,-0.8
197512,52.7,2.6
197612,52.3,2.2
197712,52.6,2.5
197812,49.8,-0.3
197912,54.1,4.0
198012,54.4,4.3
198112,50.2,0.1
198212,51.8,1.7
198312,35.1,-15.0
198412,53.4,3.3
198512,46.5,-3.6
198612,48.9,-1.2
198712,49.1,-1.0
198812,55,4.9
198912,44.2,-5.9
199012,47.4,-2.7
199112,51.6,1.5
199212,49.2,-0.9
199312,53.2,3.1
199412,52.7,2.6
199512,49.8,-0.3
199612,54.2,4.1
199712,47.1,-3.0
199812,51.4,1.3
199912,55.1,5.0
200012,40.4,-9.7
200112,54.7,4.6
200212,50.9,0.8
200312,54.3,4.2
200412,54.2,4.1
200512,51.4,1.3
200612,52.7,2.6
200712,49,-1.1
200812,51.3,1.2
200912,45.3,-4.8
201012,51,0.9
201112,49.8,-0.3
201212,54.5,4.4
201312,46.6,-3.5
201412,49.7,-0.4
201512,56.6,6.5
