South Carolina, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,89.6,-1.0
189607,90.3,-0.3
189707,91.1,0.5
189807,90.3,-0.3
189907,91,0.4
190007,92.1,1.5
190107,91.7,1.1
190207,93.3,2.7
190307,91.1,0.5
190407,90.9,0.3
190507,90.5,-0.1
190607,87.9,-2.7
190707,92.1,1.5
190807,89.5,-1.1
190907,88.3,-2.3
191007,89.3,-1.3
191107,90.6,0.0
191207,89.6,-1.0
191307,92.7,2.1
191407,91.5,0.9
191507,91.8,1.2
191607,86,-4.6
191707,89.8,-0.8
191807,89.4,-1.2
191907,89,-1.6
192007,89.7,-0.9
192107,89.3,-1.3
192207,90.2,-0.4
192307,89.9,-0.7
192407,88.7,-1.9
192507,93.1,2.5
192607,91,0.4
192707,88.8,-1.8
192807,89.6,-1.0
192907,89.2,-1.4
193007,93.6,3.0
193107,93.9,3.3
193207,95.1,4.5
193307,89.7,-0.9
193407,93.5,2.9
193507,89.2,-1.4
193607,93.6,3.0
193707,90.7,0.1
193807,88.7,-1.9
193907,91.3,0.7
194007,90.5,-0.1
194107,89.7,-0.9
194207,92.6,2.0
194307,90.1,-0.5
194407,89,-1.6
194507,89.5,-1.1
194607,88.5,-2.1
194707,88,-2.6
194807,91.3,0.7
194907,90.8,0.2
195007,87.7,-2.9
195107,91.7,1.1
195207,93.3,2.7
195307,91.5,0.9
195407,94.1,3.5
195507,91.1,0.5
195607,91.7,1.1
195707,90.6,0.0
195807,90.1,-0.5
195907,88.8,-1.8
196007,89.7,-0.9
196107,90,-0.6
196207,90.9,0.3
196307,88.8,-1.8
196407,86.3,-4.3
196507,88.5,-2.1
196607,90.7,0.1
196707,87.5,-3.1
196807,89.4,-1.2
196907,92.5,1.9
197007,91.8,1.2
197107,87.8,-2.8
197207,89,-1.6
197307,90,-0.6
197407,88.7,-1.9
197507,87.1,-3.5
197607,89.5,-1.1
197707,94.4,3.8
197807,91,0.4
197907,88.2,-2.4
198007,93.8,3.2
198107,91.4,0.8
198207,89.4,-1.2
198307,93.4,2.8
198407,87.7,-2.9
198507,89.2,-1.4
198607,96.8,6.2
198707,93,2.4
198807,90.8,0.2
198907,89,-1.6
199007,92.7,2.1
199107,90.8,0.2
199207,92,1.4
199307,96.6,6.0
199407,88.5,-2.1
199507,91.9,1.3
199607,90.8,0.2
199707,90.8,0.2
199807,93.1,2.5
199907,91.1,0.5
200007,90.8,0.2
200107,88.2,-2.4
200207,93.2,2.6
200307,88.1,-2.5
200407,90.5,-0.1
200507,91.1,0.5
200607,91.7,1.1
200707,89,-1.6
200807,91.1,0.5
200907,89.9,-0.7
201007,93.1,2.5
201107,93.9,3.3
201207,93.8,3.2
201307,87,-3.6
201407,89.3,-1.3
201507,93.2,2.6
