Maine, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,74.9,3.5
189606,71.6,0.2
189706,65.6,-5.8
189806,68.9,-2.5
189906,72.1,0.7
190006,73.8,2.4
190106,72.6,1.2
190206,66.2,-5.2
190306,66.4,-5.0
190406,70,-1.4
190506,68.3,-3.1
190606,70.9,-0.5
190706,71.3,-0.1
190806,74.9,3.5
190906,73,1.6
191006,67.5,-3.9
191106,70.5,-0.9
191206,69.4,-2.0
191306,70.7,-0.7
191406,68.9,-2.5
191506,71.2,-0.2
191606,67.7,-3.7
191706,67.9,-3.5
191806,67.6,-3.8
191906,75.6,4.2
192006,71.7,0.3
192106,71.8,0.4
192206,70.8,-0.6
192306,71.9,0.5
192406,69.7,-1.7
192506,71.8,0.4
192606,68,-3.4
192706,68.7,-2.7
192806,68,-3.4
192906,71,-0.4
193006,76.1,4.7
193106,70.6,-0.8
193206,72.3,0.9
193306,73.2,1.8
193406,70.5,-0.9
193506,70.7,-0.7
193606,73,1.6
193706,71.9,0.5
193806,75.3,3.9
193906,71.2,-0.2
194006,69.6,-1.8
194106,74.3,2.9
194206,73.5,2.1
194306,71.4,0.0
194406,71.3,-0.1
194506,69.6,-1.8
194606,72.6,1.2
194706,70.4,-1.0
194806,69.2,-2.2
194906,75.9,4.5
195006,72.3,0.9
195106,70.5,-0.9
195206,73.5,2.1
195306,73.9,2.5
195406,70.2,-1.2
195506,72.2,0.8
195606,71.2,-0.2
195706,74.1,2.7
195806,66.3,-5.1
195906,66.9,-4.5
196006,72.8,1.4
196106,72,0.6
196206,72.8,1.4
196306,75.7,4.3
196406,71.8,0.4
196506,73.9,2.5
196606,72.4,1.0
196706,74.6,3.2
196806,67.8,-3.6
196906,72.2,0.8
197006,72.3,0.9
197106,73.8,2.4
197206,69.8,-1.6
197306,72.7,1.3
197406,72.4,1.0
197506,72,0.6
197606,76,4.6
197706,66.5,-4.9
197806,70.8,-0.6
197906,72.6,1.2
198006,69.8,-1.6
198106,72,0.6
198206,68.4,-3.0
198306,74.8,3.4
198406,71.2,-0.2
198506,68,-3.4
198606,69.5,-1.9
198706,71.5,0.1
198806,72.2,0.8
198906,71.3,-0.1
199006,72.1,0.7
199106,73.9,2.5
199206,71.8,0.4
199306,71.9,0.5
199406,74.8,3.4
199506,75.5,4.1
199606,72.2,0.8
199706,73.7,2.3
199806,69.1,-2.3
199906,77.3,5.9
200006,71,-0.4
200106,74.3,2.9
200206,69.6,-1.8
200306,73.2,1.8
200406,69.1,-2.3
200506,75,3.6
200606,72.8,1.4
200706,72.9,1.5
200806,70.8,-0.6
200906,68.3,-3.1
201006,71.4,0.0
201106,71,-0.4
201206,70.7,-0.7
201306,71.3,-0.1
201406,73.2,1.8
201506,67.4,-4.0
