Montana, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,59.4,6.7
189604,49.8,-2.9
189704,54.2,1.5
189804,52.7,0.0
189904,47.6,-5.1
190004,56.9,4.2
190104,53.4,0.7
190204,50.2,-2.5
190304,51.5,-1.2
190404,53.9,1.2
190504,53.8,1.1
190604,57.8,5.1
190704,46.7,-6.0
190804,56.8,4.1
190904,44.3,-8.4
191004,63,10.3
191104,50.8,-1.9
191204,53.4,0.7
191304,56.1,3.4
191404,53,0.3
191504,62.2,9.5
191604,53.3,0.6
191704,45,-7.7
191804,49.8,-2.9
191904,55,2.3
192004,41.5,-11.2
192104,50.5,-2.2
192204,48.3,-4.4
192304,51.1,-1.6
192404,49.4,-3.3
192504,55.7,3.0
192604,57.5,4.8
192704,49.5,-3.2
192804,48.9,-3.8
192904,49.2,-3.5
193004,61,8.3
193104,55.8,3.1
193204,53.8,1.1
193304,49.2,-3.5
193404,60.2,7.5
193504,47.4,-5.3
193604,52.2,-0.5
193704,51.9,-0.8
193804,53.5,0.8
193904,57.1,4.4
194004,48.9,-3.8
194104,53.7,1.0
194204,57,4.3
194304,59.2,6.5
194404,54.9,2.2
194504,47.8,-4.9
194604,60.4,7.7
194704,52.3,-0.4
194804,53.3,0.6
194904,61.5,8.8
195004,47.7,-5.0
195104,50.9,-1.8
195204,60.6,7.9
195304,45.9,-6.8
195404,48.8,-3.9
195504,50.5,-2.2
195604,50.9,-1.8
195704,49.3,-3.4
195804,50.9,-1.8
195904,52.2,-0.5
196004,51.2,-1.5
196104,48.8,-3.9
196204,58.2,5.5
196304,50.8,-1.9
196404,51.8,-0.9
196504,50.9,-1.8
196604,48.8,-3.9
196704,46.2,-6.5
196804,50.6,-2.1
196904,58.3,5.6
197004,44.2,-8.5
197104,52.3,-0.4
197204,51.7,-1.0
197304,49.1,-3.6
197404,55,2.3
197504,41.7,-11.0
197604,54.5,1.8
197704,60.5,7.8
197804,51.5,-1.2
197904,48.4,-4.3
198004,60.2,7.5
198104,56.6,3.9
198204,48.5,-4.2
198304,51.6,-1.1
198404,52.8,0.1
198504,57.6,4.9
198604,52.5,-0.2
198704,63,10.3
198804,58.4,5.7
198904,52.8,0.1
199004,55,2.3
199104,51,-1.7
199204,56.6,3.9
199304,53.1,0.4
199404,55.3,2.6
199504,49.2,-3.5
199604,53.3,0.6
199704,47.4,-5.3
199804,56.2,3.5
199904,52,-0.7
200004,56.7,4.0
200104,52.9,0.2
200204,50.1,-2.6
200304,56.1,3.4
200404,58,5.3
200504,55.5,2.8
200604,57.5,4.8
200704,52.6,-0.1
200804,51.1,-1.6
200904,51.5,-1.2
201004,53.9,1.2
201104,48.3,-4.4
201204,57.8,5.1
201304,48.7,-4.0
201404,53.6,0.9
201504,56.6,3.9
