Kentucky, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,34.7,-12.1
189602,45.5,-1.3
189702,47.2,0.4
189802,46.4,-0.4
189902,35.4,-11.4
190002,42.3,-4.5
190102,41.3,-5.5
190202,35.1,-11.7
190302,46.7,-0.1
190402,43.6,-3.2
190502,35.9,-10.9
190602,45.8,-1.0
190702,45.2,-1.6
190802,43,-3.8
190902,52.1,5.3
191002,42.9,-3.9
191102,51.7,4.9
191202,39,-7.8
191302,44.2,-2.6
191402,41.6,-5.2
191502,50.2,3.4
191602,44.9,-1.9
191702,46.4,-0.4
191802,50.8,4.0
191902,47,0.2
192002,43,-3.8
192102,49.5,2.7
192202,49.5,2.7
192302,43.3,-3.5
192402,43.7,-3.1
192502,54.6,7.8
192602,49.6,2.8
192702,54.6,7.8
192802,46.2,-0.6
192902,39.8,-7.0
193002,55.5,8.7
193102,50.1,3.3
193202,55.8,9.0
193302,47.1,0.3
193402,41.2,-5.6
193502,48.5,1.7
193602,41.5,-5.3
193702,46.5,-0.3
193802,54.2,7.4
193902,50.7,3.9
194002,43.3,-3.5
194102,41.7,-5.1
194202,41.2,-5.6
194302,50.9,4.1
194402,52.1,5.3
194502,47.9,1.1
194602,51.5,4.7
194702,38.2,-8.6
194802,48.1,1.3
194902,52.8,6.0
195002,48.9,2.1
195102,47.7,0.9
195202,50.1,3.3
195302,51.6,4.8
195402,56,9.2
195502,47.4,0.6
195602,50.2,3.4
195702,51.6,4.8
195802,36.9,-9.9
195902,49.5,2.7
196002,41.1,-5.7
196102,51.7,4.9
196202,51.4,4.6
196302,41.3,-5.5
196402,43.1,-3.7
196502,47.3,0.5
196602,43.9,-2.9
196702,42.8,-4.0
196802,39.7,-7.1
196902,44.1,-2.7
197002,43.4,-3.4
197102,45.9,-0.9
197202,45.4,-1.4
197302,45.5,-1.3
197402,49.2,2.4
197502,48.2,1.4
197602,56,9.2
197702,45.9,-0.9
197802,32.8,-14.0
197902,38.4,-8.4
198002,39.5,-7.3
198102,48.9,2.1
198202,45.3,-1.5
198302,47.4,0.6
198402,52.3,5.5
198502,41.5,-5.3
198602,48.3,1.5
198702,47.9,1.1
198802,45.6,-1.2
198902,42.3,-4.5
199002,55.2,8.4
199102,50.1,3.3
199202,52.8,6.0
199302,45,-1.8
199402,48.8,2.0
199502,45.6,-1.2
199602,46.5,-0.3
199702,51,4.2
199802,50.6,3.8
199902,52,5.2
200002,54.1,7.3
200102,51.5,4.7
200202,50.2,3.4
200302,41,-5.8
200402,47.3,0.5
200502,50.4,3.6
200602,46.3,-0.5
200702,39.6,-7.2
200802,46.5,-0.3
200902,50,3.2
201002,38.5,-8.3
201102,49.6,2.8
201202,51.4,4.6
201302,47,0.2
201402,43.1,-3.7
201502,36.8,-10.0
201602,48.4,1.6
