Missouri, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,35.6,-3.6
189601,41.7,2.5
189701,36.8,-2.4
189801,42.5,3.3
189901,39,-0.2
190001,43.8,4.6
190101,44.6,5.4
190201,39.3,0.1
190301,39.5,0.3
190401,36.7,-2.5
190501,30.5,-8.7
190601,43.7,4.5
190701,43.4,4.2
190801,42.5,3.3
190901,40.8,1.6
191001,39.8,0.6
191101,44.9,5.7
191201,28.3,-10.9
191301,41.7,2.5
191401,45.7,6.5
191501,36.5,-2.7
191601,40.7,1.5
191701,43,3.8
191801,25.4,-13.8
191901,43.9,4.7
192001,37.2,-2.0
192101,45.5,6.3
192201,37.9,-1.3
192301,47.6,8.4
192401,34.9,-4.3
192501,39.4,0.2
192601,41,1.8
192701,39.5,0.3
192801,42.4,3.2
192901,35.6,-3.6
193001,29.4,-9.8
193101,45,5.8
193201,44.4,5.2
193301,51.2,12.0
193401,45,5.8
193501,41.2,2.0
193601,32,-7.2
193701,36.3,-2.9
193801,41.7,2.5
193901,47.2,8.0
194001,23.6,-15.6
194101,41.1,1.9
194201,41.1,1.9
194301,41,1.8
194401,44.3,5.1
194501,37,-2.2
194601,41.8,2.6
194701,43,3.8
194801,34.2,-5.0
194901,37.2,-2.0
195001,44.9,5.7
195101,41.5,2.3
195201,45,5.8
195301,42.5,3.3
195401,41.3,2.1
195501,40.4,1.2
195601,38.2,-1.0
195701,34.9,-4.3
195801,39.3,0.1
195901,36.1,-3.1
196001,39.3,0.1
196101,40.7,1.5
196201,33.8,-5.4
196301,31.6,-7.6
196401,46.4,7.2
196501,42.8,3.6
196601,35,-4.2
196701,44.8,5.6
196801,37.6,-1.6
196901,36.8,-2.4
197001,33.5,-5.7
197101,36.8,-2.4
197201,39.5,0.3
197301,38.8,-0.4
197401,37.4,-1.8
197501,42.6,3.4
197601,39.2,0.0
197701,25.7,-13.5
197801,28.2,-11.0
197901,25,-14.2
198001,39.3,0.1
198101,41.7,2.5
198201,33.1,-6.1
198301,39.4,0.2
198401,37.2,-2.0
198501,31.1,-8.1
198601,46.4,7.2
198701,38.9,-0.3
198801,37.8,-1.4
198901,48.8,9.6
199001,50.8,11.6
199101,34.3,-4.9
199201,44.7,5.5
199301,38.1,-1.1
199401,34.4,-4.8
199501,38,-1.2
199601,37.9,-1.3
199701,36.8,-2.4
199801,42.9,3.7
199901,39.1,-0.1
200001,43,3.8
200101,38.5,-0.7
200201,45.9,6.7
200301,37.3,-1.9
200401,39.2,0.0
200501,41.1,1.9
200601,51.3,12.1
200701,40.7,1.5
200801,41.6,2.4
200901,38.1,-1.1
201001,33.2,-6.0
201101,36.1,-3.1
201201,47.6,8.4
201301,44,4.8
201401,37.8,-1.4
201501,41.5,2.3
201601,40.2,1.0
