Wyoming, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,66.8,-4.9
189606,75.7,4.0
189706,72.9,1.2
189806,73.9,2.2
189906,70.6,-1.1
190006,78.9,7.2
190106,67.1,-4.6
190206,70.9,-0.8
190306,70,-1.7
190406,68.4,-3.3
190506,69.8,-1.9
190606,67.8,-3.9
190706,66.7,-5.0
190806,66.2,-5.5
190906,71.8,0.1
191006,76.2,4.5
191106,75.1,3.4
191206,70.6,-1.1
191306,72.2,0.5
191406,70.7,-1.0
191506,65,-6.7
191606,69.8,-1.9
191706,69,-2.7
191806,77,5.3
191906,78.5,6.8
192006,69.9,-1.8
192106,74.2,2.5
192206,76.4,4.7
192306,70.7,-1.0
192406,71.9,0.2
192506,69.6,-2.1
192606,73.1,1.4
192706,69.7,-2.0
192806,64.9,-6.8
192906,70.7,-1.0
193006,72.7,1.0
193106,77.5,5.8
193206,71.8,0.1
193306,79.5,7.8
193406,73.7,2.0
193506,71.6,-0.1
193606,76.9,5.2
193706,69.6,-2.1
193806,73.6,1.9
193906,69.6,-2.1
194006,77.5,5.8
194106,70.7,-1.0
194206,69.5,-2.2
194306,69,-2.7
194406,67.6,-4.1
194506,63.8,-7.9
194606,73,1.3
194706,64.7,-7.0
194806,71.4,-0.3
194906,69.8,-1.9
195006,70.8,-0.9
195106,64.3,-7.4
195206,75.3,3.6
195306,73.7,2.0
195406,71.5,-0.2
195506,68.1,-3.6
195606,78.7,7.0
195706,68.9,-2.8
195806,72.1,0.4
195906,76.7,5.0
196006,74.1,2.4
196106,77.5,5.8
196206,70.7,-1.0
196306,71.7,0.0
196406,68,-3.7
196506,68.4,-3.3
196606,71.9,0.2
196706,65.4,-6.3
196806,70.5,-1.2
196906,65.6,-6.1
197006,72.3,0.6
197106,73.2,1.5
197206,73.4,1.7
197306,72.6,0.9
197406,76.6,4.9
197506,67.5,-4.2
197606,70.8,-0.9
197706,78.4,6.7
197806,72.5,0.8
197906,73.1,1.4
198006,74.9,3.2
198106,72.8,1.1
198206,68.2,-3.5
198306,69,-2.7
198406,70.6,-1.1
198506,73.4,1.7
198606,77.4,5.7
198706,75.1,3.4
198806,82.4,10.7
198906,71.7,0.0
199006,74.6,2.9
199106,73.1,1.4
199206,72.1,0.4
199306,66.9,-4.8
199406,76.8,5.1
199506,68.5,-3.2
199606,76.2,4.5
199706,73.7,2.0
199806,64.7,-7.0
199906,70.5,-1.2
200006,73.9,2.2
200106,75.1,3.4
200206,77.4,5.7
200306,69.6,-2.1
200406,70.5,-1.2
200506,71.2,-0.5
200606,78.9,7.2
200706,76.9,5.2
200806,70.7,-1.0
200906,67.8,-3.9
201006,70.7,-1.0
201106,71.1,-0.6
201206,79.5,7.8
201306,76.4,4.7
201406,70.7,-1.0
201506,77.4,5.7
