Connecticut, Maximum Temperature, August
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189508,79.5,0.2
189608,79.5,0.2
189708,76.2,-3.1
189808,79.7,0.4
189908,78.4,-0.9
190008,82.1,2.8
190108,79,-0.3
190208,77.4,-1.9
190308,72.3,-7.0
190408,77,-2.3
190508,76.2,-3.1
190608,80.4,1.1
190708,78.4,-0.9
190808,77.4,-1.9
190908,78,-1.3
191008,77.1,-2.2
191108,78.9,-0.4
191208,76.3,-3.0
191308,80.2,0.9
191408,78.6,-0.7
191508,75.5,-3.8
191608,81,1.7
191708,81.1,1.8
191808,80.9,1.6
191908,75.5,-3.8
192008,79.3,0.0
192108,77.2,-2.1
192208,77.3,-2.0
192308,78.8,-0.5
192408,79.5,0.2
192508,79.7,0.4
192608,78.2,-1.1
192708,73.9,-5.4
192808,80,0.7
192908,78,-1.3
193008,79.4,0.1
193108,79.6,0.3
193208,80.9,1.6
193308,78.1,-1.2
193408,76.8,-2.5
193508,79.9,0.6
193608,80.7,1.4
193708,82.2,2.9
193808,82.3,3.0
193908,82.6,3.3
194008,77.1,-2.2
194108,79.3,0.0
194208,77.7,-1.6
194308,80.2,0.9
194408,83.8,4.5
194508,78.9,-0.4
194608,75.3,-4.0
194708,81.5,2.2
194808,81,1.7
194908,82.5,3.2
195008,78.2,-1.1
195108,78.5,-0.8
195208,79.4,0.1
195308,80.5,1.2
195408,77,-2.3
195508,82.5,3.2
195608,79.5,0.2
195708,78.1,-1.2
195808,78.8,-0.5
195908,82.1,2.8
196008,79.3,0.0
196108,79.3,0.0
196208,77.7,-1.6
196308,77.7,-1.6
196408,76.6,-2.7
196508,79.3,0.0
196608,81.1,1.8
196708,77.8,-1.5
196808,80.3,1.0
196908,81.7,2.4
197008,82.2,2.9
197108,80.4,1.1
197208,78.9,-0.4
197308,82.4,3.1
197408,80.9,1.6
197508,79.5,0.2
197608,78.9,-0.4
197708,80,0.7
197808,79.1,-0.2
197908,78.6,-0.7
198008,81.9,2.6
198108,80.4,1.1
198208,77.4,-1.9
198308,81.7,2.4
198408,81.5,2.2
198508,78.9,-0.4
198608,76.8,-2.5
198708,78.6,-0.7
198808,82.6,3.3
198908,79.2,-0.1
199008,80,0.7
199108,81,1.7
199208,77.3,-2.0
199308,82.1,2.8
199408,78.6,-0.7
199508,82.8,3.5
199608,79.7,0.4
199708,78.8,-0.5
199808,82.5,3.2
199908,80.5,1.2
200008,77.7,-1.6
200108,83.3,4.0
200208,83.1,3.8
200308,81.5,2.2
200408,79.1,-0.2
200508,83.8,4.5
200608,80.4,1.1
200708,81.3,2.0
200808,78.8,-0.5
200908,81.5,2.2
201008,81.5,2.2
201108,80.7,1.4
201208,82.5,3.2
201308,78.8,-0.5
201408,79.2,-0.1
201508,83.2,3.9
