Minnesota, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189506,74.7,-0.8
189606,77.6,2.1
189706,72.6,-2.9
189806,75.3,-0.2
189906,75.1,-0.4
190006,78.7,3.2
190106,75.3,-0.2
190206,71.7,-3.8
190306,74.8,-0.7
190406,72.3,-3.2
190506,71.9,-3.6
190606,73.2,-2.3
190706,73.9,-1.6
190806,71.7,-3.8
190906,75.5,0.0
191006,80.9,5.4
191106,81.3,5.8
191206,74.2,-1.3
191306,79.1,3.6
191406,74.8,-0.7
191506,69.5,-6.0
191606,69.5,-6.0
191706,71.9,-3.6
191806,74.7,-0.8
191906,76.6,1.1
192006,75.2,-0.3
192106,80.8,5.3
192206,77.6,2.1
192306,79.8,4.3
192406,72.3,-3.2
192506,73.7,-1.8
192606,72.1,-3.4
192706,72.9,-2.6
192806,71,-4.5
192906,75.3,-0.2
193006,76.2,0.7
193106,80.5,5.0
193206,79.6,4.1
193306,85.7,10.2
193406,79.1,3.6
193506,70.8,-4.7
193606,75.8,0.3
193706,74.7,-0.8
193806,75.5,0.0
193906,75.5,0.0
194006,75.1,-0.4
194106,75.3,-0.2
194206,72.6,-2.9
194306,75.2,-0.3
194406,76,0.5
194506,69.4,-6.1
194606,75.3,-0.2
194706,70.9,-4.6
194806,74.1,-1.4
194906,78.2,2.7
195006,76.2,0.7
195106,71.3,-4.2
195206,77.6,2.1
195306,76.4,0.9
195406,76.2,0.7
195506,75.4,-0.1
195606,80.3,4.8
195706,73.2,-2.3
195806,70.6,-4.9
195906,78.2,2.7
196006,73.6,-1.9
196106,80,4.5
196206,74.4,-1.1
196306,78.6,3.1
196406,76.3,0.8
196506,74.6,-0.9
196606,77,1.5
196706,73.8,-1.7
196806,74.6,-0.9
196906,68.5,-7.0
197006,78.6,3.1
197106,78.6,3.1
197206,76.8,1.3
197306,77.1,1.6
197406,75.9,0.4
197506,74.5,-1.0
197606,80.1,4.6
197706,76.8,1.3
197806,75.8,0.3
197906,75.1,-0.4
198006,76.6,1.1
198106,74.2,-1.3
198206,70.9,-4.6
198306,75,-0.5
198406,75.6,0.1
198506,71.6,-3.9
198606,77.2,1.7
198706,81.2,5.7
198806,84.7,9.2
198906,75.5,0.0
199006,76.8,1.3
199106,78.9,3.4
199206,73,-2.5
199306,70.9,-4.6
199406,77,1.5
199506,80.2,4.7
199606,76.6,1.1
199706,79.4,3.9
199806,72,-3.5
199906,74.9,-0.6
200006,72.6,-2.9
200106,76.2,0.7
200206,78.2,2.7
200306,75.2,-0.3
200406,72,-3.5
200506,77.7,2.2
200606,77.7,2.2
200706,78.8,3.3
200806,74.1,-1.4
200906,73.6,-1.9
201006,74,-1.5
201106,73.6,-1.9
201206,78.9,3.4
201306,74.5,-1.0
201406,75.2,-0.3
201506,76.1,0.6
