South Dakota, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,78.2,3.8
189609,68.9,-5.5
189709,83.7,9.3
189809,76.3,1.9
189909,75.5,1.1
190009,71.5,-2.9
190109,69.5,-4.9
190209,71.7,-2.7
190309,68.7,-5.7
190409,74.5,0.1
190509,78.1,3.7
190609,76.2,1.8
190709,70.8,-3.6
190809,81.6,7.2
190909,75.1,0.7
191009,73.5,-0.9
191109,73.3,-1.1
191209,66.3,-8.1
191309,75.5,1.1
191409,77,2.6
191509,70.3,-4.1
191609,73.6,-0.8
191709,73.4,-1.0
191809,69.9,-4.5
191909,76.2,1.8
192009,75.7,1.3
192109,73.6,-0.8
192209,80.7,6.3
192309,75.1,0.7
192409,71.6,-2.8
192509,77.3,2.9
192609,70.4,-4.0
192709,74.5,0.1
192809,72.8,-1.6
192909,66.9,-7.5
193009,75.2,0.8
193109,81.8,7.4
193209,75.9,1.5
193309,80.3,5.9
193409,70.2,-4.2
193509,78.4,4.0
193609,79.5,5.1
193709,77.6,3.2
193809,78.4,4.0
193909,80.9,6.5
194009,80.7,6.3
194109,73.3,-1.1
194209,69.6,-4.8
194309,74.3,-0.1
194409,74.1,-0.3
194509,72.5,-1.9
194609,72.5,-1.9
194709,76.7,2.3
194809,81.1,6.7
194909,72.7,-1.7
195009,72.5,-1.9
195109,67.6,-6.8
195209,80.9,6.5
195309,77.4,3.0
195409,73.6,-0.8
195509,76.4,2.0
195609,76.1,1.7
195709,71.4,-3.0
195809,78.4,4.0
195909,72.4,-2.0
196009,76,1.6
196109,69.6,-4.8
196209,73.2,-1.2
196309,76.7,2.3
196409,73.2,-1.2
196509,60.3,-14.1
196609,72.8,-1.6
196709,75.2,0.8
196809,73.5,-0.9
196909,78.3,3.9
197009,75.4,1.0
197109,72.9,-1.5
197209,74.6,0.2
197309,69.4,-5.0
197409,73.6,-0.8
197509,72.3,-2.1
197609,78.8,4.4
197709,73.2,-1.2
197809,80.6,6.2
197909,80.6,6.2
198009,76.5,2.1
198109,77.6,3.2
198209,72.7,-1.7
198309,75.5,1.1
198409,70.2,-4.2
198509,67.6,-6.8
198609,66.4,-8.0
198709,75.1,0.7
198809,74,-0.4
198909,74.4,0.0
199009,80.1,5.7
199109,74.8,0.4
199209,74.5,0.1
199309,68.3,-6.1
199409,76.3,1.9
199509,73.1,-1.3
199609,70.6,-3.8
199709,76.8,2.4
199809,81.7,7.3
199909,70.6,-3.8
200009,77.9,3.5
200109,75.5,1.1
200209,76.2,1.8
200309,74.7,0.3
200409,76.1,1.7
200509,80.3,5.9
200609,68.7,-5.7
200709,76.8,2.4
200809,74.3,-0.1
200909,75.9,1.5
201009,72.2,-2.2
201109,74.8,0.4
201209,79.8,5.4
201309,79.5,5.1
201409,73.8,-0.6
201509,79.6,5.2
