New Jersey, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,34.8,-3.4
189601,34.5,-3.7
189701,35.6,-2.6
189801,38.6,0.4
189901,37.5,-0.7
190001,39.4,1.2
190101,37.2,-1.0
190201,35.6,-2.6
190301,36.9,-1.3
190401,30.2,-8.0
190501,33.9,-4.3
190601,42.8,4.6
190701,39.1,0.9
190801,38.4,0.2
190901,40.2,2.0
191001,36.9,-1.3
191101,40.4,2.2
191201,29.6,-8.6
191301,47.5,9.3
191401,38.6,0.4
191501,39.8,1.6
191601,42.9,4.7
191701,38.7,0.5
191801,26.9,-11.3
191901,41.4,3.2
192001,30.4,-7.8
192101,41,2.8
192201,34.8,-3.4
192301,36.8,-1.4
192401,40.8,2.6
192501,34.9,-3.3
192601,37.9,-0.3
192701,36.1,-2.1
192801,40.3,2.1
192901,38,-0.2
193001,39,0.8
193101,39.1,0.9
193201,48.7,10.5
193301,46.3,8.1
193401,41.1,2.9
193501,36,-2.2
193601,33.8,-4.4
193701,46.2,8.0
193801,38.2,0.0
193901,38.1,-0.1
194001,29.1,-9.1
194101,35.5,-2.7
194201,36.9,-1.3
194301,36.6,-1.6
194401,39.6,1.4
194501,31.8,-6.4
194601,40,1.8
194701,44.5,6.3
194801,31.3,-6.9
194901,45,6.8
195001,49.2,11.0
195101,42.3,4.1
195201,42.4,4.2
195301,43,4.8
195401,37.9,-0.3
195501,36.2,-2.0
195601,36.6,-1.6
195701,34.9,-3.3
195801,36.5,-1.7
195901,38.3,0.1
196001,39.2,1.0
196101,32.7,-5.5
196201,38.6,0.4
196301,35.6,-2.6
196401,40.9,2.7
196501,35.2,-3.0
196601,35.7,-2.5
196701,42.9,4.7
196801,33.9,-4.3
196901,35.8,-2.4
197001,31.2,-7.0
197101,34.2,-4.0
197201,41.4,3.2
197301,41.7,3.5
197401,42.2,4.0
197501,43.2,5.0
197601,34.9,-3.3
197701,28.5,-9.7
197801,34.7,-3.5
197901,38.4,0.2
198001,38.5,0.3
198101,32.3,-5.9
198201,31.5,-6.7
198301,39.6,1.4
198401,34.1,-4.1
198501,33.6,-4.6
198601,40.3,2.1
198701,37,-1.2
198801,35,-3.2
198901,43.4,5.2
199001,46.5,8.3
199101,40.8,2.6
199201,41.7,3.5
199301,42.9,4.7
199401,32.5,-5.7
199501,43.1,4.9
199601,37.8,-0.4
199701,38.9,0.7
199801,46.7,8.5
199901,42.9,4.7
200001,39.2,1.0
200101,38.8,0.6
200201,45.7,7.5
200301,33.9,-4.3
200401,32.1,-6.1
200501,38.1,-0.1
200601,48.3,10.1
200701,45.2,7.0
200801,43.1,4.9
200901,35,-3.2
201001,39.3,1.1
201101,35.5,-2.7
201201,44.7,6.5
201301,41.8,3.6
201401,36,-2.2
201501,36.4,-1.8
201601,40.9,2.7
