Alaska, Maximum Temperature, June
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
192506,58.6,0.5
192606,63.3,5.2
192706,59.7,1.6
192806,58.9,0.8
192906,59.8,1.7
193006,58.4,0.3
193106,57.8,-0.3
193206,56,-2.1
193306,55.6,-2.5
193406,58.4,0.3
193506,58.5,0.4
193606,64.1,6.0
193706,60.1,2.0
193806,57.3,-0.8
193906,59.4,1.3
194006,61.1,3.0
194106,61.1,3.0
194206,59.9,1.8
194306,61.1,3.0
194406,59,0.9
194506,55.6,-2.5
194606,59.4,1.3
194706,56.8,-1.3
194806,57.3,-0.8
194906,51,-7.1
195006,56.7,-1.4
195106,57.5,-0.6
195206,56.2,-1.9
195306,60.5,2.4
195406,57.8,-0.3
195506,52.8,-5.3
195606,55.6,-2.5
195706,62.7,4.6
195806,59.8,1.7
195906,60.3,2.2
196006,55.8,-2.3
196106,56.2,-1.9
196206,56.5,-1.6
196306,53.7,-4.4
196406,58.2,0.1
196506,54,-4.1
196606,58.6,0.5
196706,58.5,0.4
196806,57.3,-0.8
196906,61.1,3.0
197006,56.1,-2.0
197106,58.3,0.2
197206,55.5,-2.6
197306,56.1,-2.0
197406,56.5,-1.6
197506,55,-3.1
197606,57.1,-1.0
197706,58.2,0.1
197806,54.3,-3.8
197906,56.7,-1.4
198006,56,-2.1
198106,57.8,-0.3
198206,57.2,-0.9
198306,59.3,1.2
198406,59.8,1.7
198506,55,-3.1
198606,59.2,1.1
198706,57.4,-0.7
198806,58.7,0.6
198906,58.3,0.2
199006,59.7,1.6
199106,60.6,2.5
199206,59.8,1.7
199306,60.8,2.7
199406,58.2,0.1
199506,58.3,0.2
199606,58.6,0.5
199706,61.9,3.8
199806,58.1,0.0
199906,60,1.9
200006,60.8,2.7
200106,60.5,2.4
200206,59.3,1.2
200306,60.2,2.1
200406,64.9,6.8
200506,62.2,4.1
200606,57.3,-0.8
200706,60.1,2.0
200806,57.1,-1.0
200906,58.6,0.5
201006,57.7,-0.4
201106,57.5,-0.6
201206,59.3,1.2
201306,64.4,6.3
201406,56.3,-1.8
201506,61.9,3.8
