Wyoming, Maximum Temperature, May
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189505,59.7,-1.6
189605,59.5,-1.8
189705,68.1,6.8
189805,57.6,-3.7
189905,58.3,-3.0
190005,66.5,5.2
190105,66,4.7
190205,62.5,1.2
190305,56.4,-4.9
190405,60.2,-1.1
190505,55.5,-5.8
190605,59.6,-1.7
190705,55.4,-5.9
190805,58.1,-3.2
190905,57.2,-4.1
191005,62.2,0.9
191105,62,0.7
191205,58,-3.3
191305,61.3,0.0
191405,62.8,1.5
191505,56.8,-4.5
191605,56.8,-4.5
191705,53.6,-7.7
191805,59.7,-1.6
191905,65.2,3.9
192005,58.3,-3.0
192105,60.4,-0.9
192205,59.5,-1.8
192305,61.4,0.1
192405,59.9,-1.4
192505,64.1,2.8
192605,62.9,1.6
192705,58.3,-3.0
192805,64.8,3.5
192905,59.1,-2.2
193005,58.8,-2.5
193105,61,-0.3
193205,62.9,1.6
193305,57.2,-4.1
193405,73.5,12.2
193505,53.8,-7.5
193605,69.4,8.1
193705,64.8,3.5
193805,58.2,-3.1
193905,67.2,5.9
194005,66.6,5.3
194105,65.6,4.3
194205,57.7,-3.6
194305,58.1,-3.2
194405,63.3,2.0
194505,61.1,-0.2
194605,56.7,-4.6
194705,63.2,1.9
194805,64.2,2.9
194905,62.3,1.0
195005,55.6,-5.7
195105,61.6,0.3
195205,62.5,1.2
195305,55.8,-5.5
195405,63.1,1.8
195505,63.2,1.9
195605,64,2.7
195705,58.2,-3.1
195805,68.8,7.5
195905,58.2,-3.1
196005,63.5,2.2
196105,62.3,1.0
196205,61.8,0.5
196305,64.4,3.1
196405,62.1,0.8
196505,58.1,-3.2
196605,67.5,6.2
196705,57,-4.3
196805,57.6,-3.7
196905,67.2,5.9
197005,62.6,1.3
197105,59.8,-1.5
197205,61.3,0.0
197305,61.2,-0.1
197405,62.1,0.8
197505,57.2,-4.1
197605,64,2.7
197705,62.6,1.3
197805,57.6,-3.7
197905,60.1,-1.2
198005,60.6,-0.7
198105,58.3,-3.0
198205,58.9,-2.4
198305,56.4,-4.9
198405,62.6,1.3
198505,66.4,5.1
198605,61.6,0.3
198705,65.3,4.0
198805,65,3.7
198905,63.2,1.9
199005,59.8,-1.5
199105,60.1,-1.2
199205,67,5.7
199305,63.8,2.5
199405,68.5,7.2
199505,54.9,-6.4
199605,58.7,-2.6
199705,63.3,2.0
199805,64.2,2.9
199905,59.3,-2.0
200005,64.6,3.3
200105,65.6,4.3
200205,62,0.7
200305,63.1,1.8
200405,62.8,1.5
200505,60.7,-0.6
200605,66.1,4.8
200705,65.2,3.9
200805,59,-2.3
200905,63.7,2.4
201005,56.1,-5.2
201105,55.1,-6.2
201205,64.5,3.2
201305,63.5,2.2
201405,63.1,1.8
201505,57.7,-3.6
