Maine, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,75.3,-1.3
189607,76.1,-0.5
189707,75.7,-0.9
189807,75.8,-0.8
189907,74,-2.6
190007,75.9,-0.7
190107,76.6,0.0
190207,72.6,-4.0
190307,72,-4.6
190407,76.1,-0.5
190507,76.3,-0.3
190607,76.2,-0.4
190707,73.9,-2.7
190807,79.3,2.7
190907,73.6,-3.0
191007,77.3,0.7
191107,80.9,4.3
191207,76.2,-0.4
191307,76.4,-0.2
191407,74.5,-2.1
191507,74.3,-2.3
191607,77.3,0.7
191707,76.8,0.2
191807,75.1,-1.5
191907,77.8,1.2
192007,75,-1.6
192107,82.3,5.7
192207,76,-0.6
192307,73.2,-3.4
192407,77.1,0.5
192507,73.4,-3.2
192607,75.3,-1.3
192707,75.8,-0.8
192807,76.4,-0.2
192907,76.8,0.2
193007,75.6,-1.0
193107,77.6,1.0
193207,73.4,-3.2
193307,74.9,-1.7
193407,77.1,0.5
193507,78.7,2.1
193607,73.1,-3.5
193707,79.5,2.9
193807,75.1,-1.5
193907,78.1,1.5
194007,77.4,0.8
194107,78.8,2.2
194207,76.2,-0.4
194307,77.5,0.9
194407,77.5,0.9
194507,77.1,0.5
194607,76.5,-0.1
194707,79,2.4
194807,78.3,1.7
194907,79.8,3.2
195007,76.7,0.1
195107,76.6,0.0
195207,83.8,7.2
195307,78,1.4
195407,73.7,-2.9
195507,81,4.4
195607,72.8,-3.8
195707,74.6,-2.0
195807,73.9,-2.7
195907,80.6,4.0
196007,75.5,-1.1
196107,75.4,-1.2
196207,70.9,-5.7
196307,78.4,1.8
196407,76,-0.6
196507,74.6,-2.0
196607,76.6,0.0
196707,76.6,0.0
196807,78.8,2.2
196907,74,-2.6
197007,78.7,2.1
197107,77.5,0.9
197207,76,-0.6
197307,78.6,2.0
197407,75,-1.6
197507,78.9,2.3
197607,74.2,-2.4
197707,76.7,0.1
197807,77.3,0.7
197907,78.5,1.9
198007,75.3,-1.3
198107,76.8,0.2
198207,77.7,1.1
198307,77.7,1.1
198407,76.7,0.1
198507,78.1,1.5
198607,73,-3.6
198707,76,-0.6
198807,78.1,1.5
198907,77.8,1.2
199007,77.2,0.6
199107,77.5,0.9
199207,72.1,-4.5
199307,76.5,-0.1
199407,79.2,2.6
199507,79,2.4
199607,73.7,-2.9
199707,77.5,0.9
199807,77.3,0.7
199907,79,2.4
200007,73.7,-2.9
200107,75.2,-1.4
200207,76.6,0.0
200307,76.2,-0.4
200407,74.4,-2.2
200507,78.3,1.7
200607,79.5,2.9
200707,75.5,-1.1
200807,78.3,1.7
200907,71.7,-4.9
201007,79.7,3.1
201107,79.1,2.5
201207,79.2,2.6
201307,78.9,2.3
201407,77.9,1.3
201507,75.5,-1.1
