North Carolina, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,85.7,4.6
189609,81.8,0.7
189709,83.3,2.2
189809,82.3,1.2
189909,81.2,0.1
190009,86.2,5.1
190109,79.7,-1.4
190209,79.3,-1.8
190309,79.8,-1.3
190409,81.3,0.2
190509,82.7,1.6
190609,83.2,2.1
190709,83.2,2.1
190809,79.8,-1.3
190909,78.2,-2.9
191009,82.1,1.0
191109,84.8,3.7
191209,83.1,2.0
191309,78.2,-2.9
191409,78.9,-2.2
191509,83,1.9
191609,79.9,-1.2
191709,76.1,-5.0
191809,77.4,-3.7
191909,83.5,2.4
192009,82.4,1.3
192109,88.5,7.4
192209,82.9,1.8
192309,82.5,1.4
192409,76.5,-4.6
192509,88.4,7.3
192609,84.6,3.5
192709,83.5,2.4
192809,77.5,-3.6
192909,79.2,-1.9
193009,84.9,3.8
193109,86.6,5.5
193209,81.4,0.3
193309,86.9,5.8
193409,81.8,0.7
193509,80.6,-0.5
193609,83.3,2.2
193709,78.9,-2.2
193809,80.9,-0.2
193909,84.6,3.5
194009,80.6,-0.5
194109,86,4.9
194209,82.7,1.6
194309,80.1,-1.0
194409,81.6,0.5
194509,83.4,2.3
194609,80.2,-0.9
194709,81.6,0.5
194809,79.8,-1.3
194909,78.3,-2.8
195009,78.6,-2.5
195109,81.6,0.5
195209,80.3,-0.8
195309,81.8,0.7
195409,86.6,5.5
195509,80.4,-0.7
195609,79.2,-1.9
195709,81.3,0.2
195809,81.5,0.4
195909,80.7,-0.4
196009,80.5,-0.6
196109,83.2,2.1
196209,78.8,-2.3
196309,78.1,-3.0
196409,80,-1.1
196509,81.3,0.2
196609,79.6,-1.5
196709,76.3,-4.8
196809,81.6,0.5
196909,78.2,-2.9
197009,84.7,3.6
197109,81,-0.1
197209,81.3,0.2
197309,83.6,2.5
197409,78.1,-3.0
197509,79.4,-1.7
197609,79.4,-1.7
197709,82.7,1.6
197809,82.8,1.7
197909,78.3,-2.8
198009,84,2.9
198109,80,-1.1
198209,78.7,-2.4
198309,81.3,0.2
198409,78.6,-2.5
198509,81.1,0.0
198609,80.8,-0.3
198709,81,-0.1
198809,78.2,-2.9
198909,79.3,-1.8
199009,81.6,0.5
199109,81.1,0.0
199209,79.8,-1.3
199309,82.7,1.6
199409,78.3,-2.8
199509,78.4,-2.7
199609,79,-2.1
199709,80.6,-0.5
199809,85,3.9
199909,79.3,-1.8
200009,78.5,-2.6
200109,78.5,-2.6
200209,81.5,0.4
200309,79.6,-1.5
200409,79.2,-1.9
200509,84.7,3.6
200609,78.1,-3.0
200709,84.5,3.4
200809,80.2,-0.9
200909,79,-2.1
201009,85.3,4.2
201109,80.5,-0.6
201209,80.4,-0.7
201309,80.1,-1.0
201409,79.5,-1.6
201509,80.9,-0.2
