Ohio, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,40.2,2.1
189612,39.2,1.1
189712,38.4,0.3
189812,35.7,-2.4
189912,37.2,-0.9
190012,37.8,-0.3
190112,35,-3.1
190212,35.5,-2.6
190312,31,-7.1
190412,35.3,-2.8
190512,38.9,0.8
190612,38.1,0.0
190712,39.2,1.1
190812,39.9,1.8
190912,32.1,-6.0
191012,31.5,-6.6
191112,42.2,4.1
191212,41.3,3.2
191312,40.3,2.2
191412,32.4,-5.7
191512,35.4,-2.7
191612,36.8,-1.3
191712,28.9,-9.2
191812,45.3,7.2
191912,32.8,-5.3
192012,39,0.9
192112,38.6,0.5
192212,39.8,1.7
192312,46.9,8.8
192412,35.6,-2.5
192512,34.8,-3.3
192612,35.1,-3.0
192712,38.9,0.8
192812,41.7,3.6
192912,37.2,-0.9
193012,35.6,-2.5
193112,45.7,7.6
193212,39.9,1.8
193312,42,3.9
193412,36.3,-1.8
193512,30,-8.1
193612,42.9,4.8
193712,33.9,-4.2
193812,38.5,0.4
193912,40.9,2.8
194012,43.4,5.3
194112,42.9,4.8
194212,33.6,-4.5
194312,36.9,-1.2
194412,32.5,-5.6
194512,31.1,-7.0
194612,43.3,5.2
194712,38.1,0.0
194812,41.5,3.4
194912,43.2,5.1
195012,32.2,-5.9
195112,39.2,1.1
195212,39.9,1.8
195312,41.1,3.0
195412,37.2,-0.9
195512,36.1,-2.0
195612,45,6.9
195712,43.1,5.0
195812,31.1,-7.0
195912,41.4,3.3
196012,32.7,-5.4
196112,37.4,-0.7
196212,33.7,-4.4
196312,28.3,-9.8
196412,40.1,2.0
196512,43.2,5.1
196612,37.1,-1.0
196712,41.4,3.3
196812,36.5,-1.6
196912,32.9,-5.2
197012,41.3,3.2
197112,46.2,8.1
197212,39.9,1.8
197312,38.9,0.8
197412,37.1,-1.0
197512,40.1,2.0
197612,33.7,-4.4
197712,36.1,-2.0
197812,40.2,2.1
197912,41.4,3.3
198012,37.5,-0.6
198112,35.3,-2.8
198212,47.2,9.1
198312,30.5,-7.6
198412,46.6,8.5
198512,32.7,-5.4
198612,38.1,0.0
198712,41.3,3.2
198812,39.9,1.8
198912,26.6,-11.5
199012,44.9,6.8
199112,42.5,4.4
199212,39.4,1.3
199312,37.3,-0.8
199412,44.4,6.3
199512,34.5,-3.6
199612,42.7,4.6
199712,39.7,1.6
199812,45.8,7.7
199912,41.4,3.3
200012,29.5,-8.6
200112,45.3,7.2
200212,37.3,-0.8
200312,39.4,1.3
200412,39.6,1.5
200512,33.8,-4.3
200612,47,8.9
200712,40,1.9
200812,39.7,1.6
200912,37.7,-0.4
201012,30.8,-7.3
201112,44,5.9
201212,44.7,6.6
201312,39.4,1.3
201412,41.7,3.6
201512,51.7,13.6
