Massachusetts, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,31.7,-1.6
189601,28.8,-4.5
189701,33.8,0.5
189801,32.6,-0.7
189901,34,0.7
190001,35.4,2.1
190101,31.7,-1.6
190201,31.7,-1.6
190301,32.7,-0.6
190401,25.4,-7.9
190501,28.9,-4.4
190601,38.7,5.4
190701,31.3,-2.0
190801,35.6,2.3
190901,34.6,1.3
191001,34.7,1.4
191101,35.5,2.2
191201,24.8,-8.5
191301,42.9,9.6
191401,32.1,-1.2
191501,35.2,1.9
191601,37.2,3.9
191701,33.1,-0.2
191801,23.8,-9.5
191901,36.1,2.8
192001,26.1,-7.2
192101,35.9,2.6
192201,30.5,-2.8
192301,29.7,-3.6
192401,36.2,2.9
192501,30.8,-2.5
192601,33.8,0.5
192701,33,-0.3
192801,35.6,2.3
192901,32.2,-1.1
193001,34.4,1.1
193101,33.5,0.2
193201,41.7,8.4
193301,41.6,8.3
193401,34.3,1.0
193501,29.6,-3.7
193601,31.1,-2.2
193701,41,7.7
193801,32.5,-0.8
193901,32.7,-0.6
194001,26.3,-7.0
194101,29.6,-3.7
194201,32.8,-0.5
194301,29.4,-3.9
194401,34.5,1.2
194501,28.9,-4.4
194601,33.2,-0.1
194701,37.2,3.9
194801,27.5,-5.8
194901,39.2,5.9
195001,41.2,7.9
195101,37.9,4.6
195201,36.9,3.6
195301,38.5,5.2
195401,31.4,-1.9
195501,32,-1.3
195601,32.9,-0.4
195701,28.9,-4.4
195801,33.8,0.5
195901,33.3,0.0
196001,33.9,0.6
196101,28.8,-4.5
196201,33.7,0.4
196301,32.2,-1.1
196401,35.8,2.5
196501,30.7,-2.6
196601,32.4,-0.9
196701,38.1,4.8
196801,29.5,-3.8
196901,32.2,-1.1
197001,26,-7.3
197101,28.9,-4.4
197201,36.4,3.1
197301,36.8,3.5
197401,35.9,2.6
197501,37.2,3.9
197601,29.8,-3.5
197701,26.3,-7.0
197801,31.4,-1.9
197901,33.9,0.6
198001,34.6,1.3
198101,26.5,-6.8
198201,26.7,-6.6
198301,34.7,1.4
198401,31.2,-2.1
198501,28.7,-4.6
198601,36.3,3.0
198701,33.4,0.1
198801,32.3,-1.0
198901,38.5,5.2
199001,40.8,7.5
199101,34.5,1.2
199201,35.6,2.3
199301,35.8,2.5
199401,27.7,-5.6
199501,38.8,5.5
199601,33.9,0.6
199701,34,0.7
199801,38.4,5.1
199901,36.3,3.0
200001,33.5,0.2
200101,34.5,1.2
200201,40.6,7.3
200301,27.8,-5.5
200401,25.1,-8.2
200501,31.9,-1.4
200601,41.7,8.4
200701,38,4.7
200801,37.5,4.2
200901,29.3,-4.0
201001,34.1,0.8
201101,31.7,-1.6
201201,39.1,5.8
201301,36.3,3.0
201401,32.3,-1.0
201501,31.3,-2.0
201601,36.9,3.6
