Tennessee, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,70.6,0.6
189604,76.2,6.2
189704,69.3,-0.7
189804,65,-5.0
189904,67.8,-2.2
190004,70.5,0.5
190104,63.8,-6.2
190204,68,-2.0
190304,68.3,-1.7
190404,64.5,-5.5
190504,70,0.0
190604,73.9,3.9
190704,61.6,-8.4
190804,73.3,3.3
190904,70.8,0.8
191004,69.2,-0.8
191104,67.4,-2.6
191204,71.1,1.1
191304,69.3,-0.7
191404,70.3,0.3
191504,74.9,4.9
191604,67.9,-2.1
191704,72.5,2.5
191804,67.5,-2.5
191904,71,1.0
192004,68.2,-1.8
192104,71.5,1.5
192204,72.6,2.6
192304,69.1,-0.9
192404,70.2,0.2
192504,75.1,5.1
192604,68.2,-1.8
192704,73.5,3.5
192804,65.9,-4.1
192904,72.2,2.2
193004,73.2,3.2
193104,68.6,-1.4
193204,70.3,0.3
193304,68.7,-1.3
193404,70.9,0.9
193504,67.2,-2.8
193604,67.4,-2.6
193704,69.6,-0.4
193804,71.2,1.2
193904,67.4,-2.6
194004,67.9,-2.1
194104,73.4,3.4
194204,73.5,3.5
194304,68.7,-1.3
194404,68.1,-1.9
194504,72.2,2.2
194604,73.2,3.2
194704,71.4,1.4
194804,74.4,4.4
194904,66.6,-3.4
195004,66.6,-3.4
195104,65.9,-4.1
195204,69,-1.0
195304,67.1,-2.9
195404,75.5,5.5
195504,74,4.0
195604,67.8,-2.2
195704,73.3,3.3
195804,69.4,-0.6
195904,70.3,0.3
196004,73.7,3.7
196104,64.7,-5.3
196204,66,-4.0
196304,72.3,2.3
196404,71.9,1.9
196504,73.3,3.3
196604,68.3,-1.7
196704,75,5.0
196804,70.2,0.2
196904,71.6,1.6
197004,72.5,2.5
197104,71.9,1.9
197204,71.1,1.1
197304,65.4,-4.6
197404,70.8,0.8
197504,68.2,-1.8
197604,72.3,2.3
197704,74.1,4.1
197804,72.9,2.9
197904,68.8,-1.2
198004,68.4,-1.6
198104,75.4,5.4
198204,65.3,-4.7
198304,63,-7.0
198404,67.1,-2.9
198504,72.7,2.7
198604,73.4,3.4
198704,68,-2.0
198804,70.9,0.9
198904,69.1,-0.9
199004,68.8,-1.2
199104,72,2.0
199204,69.7,-0.3
199304,66.7,-3.3
199404,73.6,3.6
199504,72.3,2.3
199604,67.7,-2.3
199704,65.6,-4.4
199804,68,-2.0
199904,73,3.0
200004,67.3,-2.7
200104,73.4,3.4
200204,73.2,3.2
200304,71.5,1.5
200404,69.5,-0.5
200504,70.1,0.1
200604,75.8,5.8
200704,67.7,-2.3
200804,69.1,-0.9
200904,69.5,-0.5
201004,75.1,5.1
201104,73.4,3.4
201204,72.8,2.8
201304,68.7,-1.3
201404,71.9,1.9
201504,71.7,1.7
