Michigan, Maximum Temperature, September
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189509,73.1,3.4
189609,64.3,-5.4
189709,74.8,5.1
189809,72,2.3
189909,65.4,-4.3
190009,71.9,2.2
190109,69.8,0.1
190209,66.9,-2.8
190309,69.2,-0.5
190409,67.8,-1.9
190509,71.6,1.9
190609,75.1,5.4
190709,67,-2.7
190809,77,7.3
190909,68.2,-1.5
191009,68.3,-1.4
191109,68.7,-1.0
191209,70.5,0.8
191309,69.7,0.0
191409,69.9,0.2
191509,70.5,0.8
191609,67.6,-2.1
191709,67.5,-2.2
191809,62.6,-7.1
191909,71.6,1.9
192009,73,3.3
192109,74.4,4.7
192209,73.1,3.4
192309,68.9,-0.8
192409,65,-4.7
192509,71.3,1.6
192609,65.7,-4.0
192709,72.6,2.9
192809,65.5,-4.2
192909,70.3,0.6
193009,72.7,3.0
193109,75.4,5.7
193209,70.4,0.7
193309,74.4,4.7
193409,69.2,-0.5
193509,68.3,-1.4
193609,72.1,2.4
193709,69.7,0.0
193809,67.4,-2.3
193909,72.1,2.4
194009,69.6,-0.1
194109,72.9,3.2
194209,67.4,-2.3
194309,66.9,-2.8
194409,70,0.3
194509,68.9,-0.8
194609,72.3,2.6
194709,71.4,1.7
194809,75.2,5.5
194909,66.2,-3.5
195009,67.6,-2.1
195109,67,-2.7
195209,71.9,2.2
195309,71.3,1.6
195409,68.3,-1.4
195509,71.3,1.6
195609,66.7,-3.0
195709,68.2,-1.5
195809,69.3,-0.4
195909,72.2,2.5
196009,71.7,2.0
196109,73,3.3
196209,67.1,-2.6
196309,69.3,-0.4
196409,68.5,-1.2
196509,67.1,-2.6
196609,68.8,-0.9
196709,70,0.3
196809,70.8,1.1
196909,70.1,0.4
197009,69.4,-0.3
197109,71.7,2.0
197209,68,-1.7
197309,70.2,0.5
197409,66,-3.7
197509,64.4,-5.3
197609,69.6,-0.1
197709,67.2,-2.5
197809,71.6,1.9
197909,71.8,2.1
198009,68.7,-1.0
198109,66.3,-3.4
198209,67.3,-2.4
198309,71.5,1.8
198409,67.2,-2.5
198509,70.2,0.5
198609,68.5,-1.2
198709,70.6,0.9
198809,69.5,-0.2
198909,69.9,0.2
199009,69.7,0.0
199109,67.9,-1.8
199209,67.6,-2.1
199309,63.9,-5.8
199409,71.4,1.7
199509,68.7,-1.0
199609,69.5,-0.2
199709,68.9,-0.8
199809,75,5.3
199909,72.8,3.1
200009,69.1,-0.6
200109,68.1,-1.6
200209,75.4,5.7
200309,70.7,1.0
200409,75.8,6.1
200509,75.9,6.2
200609,67.7,-2.0
200709,73.7,4.0
200809,71.8,2.1
200909,72.7,3.0
201009,68.3,-1.4
201109,69.3,-0.4
201209,70.5,0.8
201309,71.1,1.4
201409,69.9,0.2
201509,75.5,5.8
