Kentucky, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,84.6,-3.1
189607,86.3,-1.4
189707,87.8,0.1
189807,88,0.3
189907,89.1,1.4
190007,88.4,0.7
190107,94.3,6.6
190207,90.2,2.5
190307,88.5,0.8
190407,86.4,-1.3
190507,85.8,-1.9
190607,85.9,-1.8
190707,89.2,1.5
190807,87.8,0.1
190907,84.2,-3.5
191007,85.5,-2.2
191107,88.1,0.4
191207,86.8,-0.9
191307,91.5,3.8
191407,91.8,4.1
191507,86.4,-1.3
191607,89.2,1.5
191707,85.2,-2.5
191807,85.4,-2.3
191907,90.9,3.2
192007,85.8,-1.9
192107,92.3,4.6
192207,86.9,-0.8
192307,87.9,0.2
192407,84.6,-3.1
192507,87.8,0.1
192607,89.2,1.5
192707,87.1,-0.6
192807,87.4,-0.3
192907,87.9,0.2
193007,94.4,6.7
193107,91.7,4.0
193207,90,2.3
193307,88.5,0.8
193407,92.6,4.9
193507,89.5,1.8
193607,92.9,5.2
193707,87.6,-0.1
193807,87.6,-0.1
193907,88,0.3
194007,87.1,-0.6
194107,89,1.3
194207,89.2,1.5
194307,88.9,1.2
194407,91.2,3.5
194507,86.8,-0.9
194607,87.3,-0.4
194707,83,-4.7
194807,87.9,0.2
194907,89.3,1.6
195007,83.1,-4.6
195107,87.7,0.0
195207,92.2,4.5
195307,89,1.3
195407,92.3,4.6
195507,89.5,1.8
195607,86.9,-0.8
195707,87.8,0.1
195807,86,-1.7
195907,87.6,-0.1
196007,85.4,-2.3
196107,85.1,-2.6
196207,86.3,-1.4
196307,85,-2.7
196407,86.9,-0.8
196507,85.6,-2.1
196607,90.3,2.6
196707,82.3,-5.4
196807,87.1,-0.6
196907,88.6,0.9
197007,86.1,-1.6
197107,84,-3.7
197207,84.9,-2.8
197307,86.3,-1.4
197407,86.3,-1.4
197507,86.6,-1.1
197607,84.9,-2.8
197707,88.8,1.1
197807,87.1,-0.6
197907,82.6,-5.1
198007,90.6,2.9
198107,86.3,-1.4
198207,86.9,-0.8
198307,90,2.3
198407,84.8,-2.9
198507,86.3,-1.4
198607,90.3,2.6
198707,88.1,0.4
198807,89.7,2.0
198907,85.4,-2.3
199007,86.8,-0.9
199107,88.2,0.5
199207,85.7,-2.0
199307,90.5,2.8
199407,85.8,-1.9
199507,88.2,0.5
199607,84.3,-3.4
199707,87.9,0.2
199807,85.6,-2.1
199907,90.9,3.2
200007,85.3,-2.4
200107,86.4,-1.3
200207,88.8,1.1
200307,85.5,-2.2
200407,84.5,-3.2
200507,87.5,-0.2
200607,87.6,-0.1
200707,86,-1.7
200807,86.8,-0.9
200907,81.5,-6.2
201007,89.2,1.5
201107,89.9,2.2
201207,92.1,4.4
201307,83.8,-3.9
201407,84,-3.7
201507,86,-1.7
