Texas, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,79.6,1.8
189604,79,1.2
189704,78.6,0.8
189804,76.7,-1.1
189904,75.5,-2.3
190004,75.1,-2.7
190104,75.8,-2.0
190204,80.7,2.9
190304,76.3,-1.5
190404,78,0.2
190504,73.9,-3.9
190604,76.5,-1.3
190704,76.8,-1.0
190804,77,-0.8
190904,79,1.2
191004,78,0.2
191104,75.9,-1.9
191204,76.1,-1.7
191304,77.3,-0.5
191404,76.1,-1.7
191504,75,-2.8
191604,75.7,-2.1
191704,78.1,0.3
191804,76.4,-1.4
191904,76.9,-0.9
192004,77.5,-0.3
192104,76.5,-1.3
192204,76.9,-0.9
192304,75.4,-2.4
192404,76.6,-1.2
192504,83.6,5.8
192604,72.1,-5.7
192704,81.4,3.6
192804,75.3,-2.5
192904,80.3,2.5
193004,83.1,5.3
193104,72.8,-5.0
193204,79.6,1.8
193304,79.4,1.6
193404,79.4,1.6
193504,78.5,0.7
193604,78.8,1.0
193704,79.6,1.8
193804,76.6,-1.2
193904,80.1,2.3
194004,78.2,0.4
194104,74.6,-3.2
194204,76.6,-1.2
194304,81.8,4.0
194404,77.8,0.0
194504,76.5,-1.3
194604,82,4.2
194704,76.9,-0.9
194804,83.7,5.9
194904,73.1,-4.7
195004,77.3,-0.5
195104,77.8,0.0
195204,75.3,-2.5
195304,78.1,0.3
195404,81.3,3.5
195504,81.7,3.9
195604,77.7,-0.1
195704,73.9,-3.9
195804,74.6,-3.2
195904,75,-2.8
196004,79.9,2.1
196104,78,0.2
196204,77.2,-0.6
196304,82.9,5.1
196404,79.9,2.1
196504,80.8,3.0
196604,77.4,-0.4
196704,82.4,4.6
196804,75.3,-2.5
196904,78.1,0.3
197004,77.7,-0.1
197104,77.9,0.1
197204,82.8,5.0
197304,71.9,-5.9
197404,79.7,1.9
197504,76.1,-1.7
197604,77.2,-0.6
197704,76.1,-1.7
197804,81.4,3.6
197904,76.6,-1.2
198004,77.1,-0.7
198104,79.3,1.5
198204,76,-1.8
198304,74.1,-3.7
198404,79.1,1.3
198504,79.1,1.3
198604,80.9,3.1
198704,77.2,-0.6
198804,78.9,1.1
198904,80.1,2.3
199004,76.4,-1.4
199104,79.9,2.1
199204,76.8,-1.0
199304,76.5,-1.3
199404,78.7,0.9
199504,77.3,-0.5
199604,79.6,1.8
199704,71.2,-6.6
199804,77.4,-0.4
199904,79.7,1.9
200004,79.5,1.7
200104,79.9,2.1
200204,80.7,2.9
200304,80.2,2.4
200404,75.7,-2.1
200504,78.2,0.4
200604,84.4,6.6
200704,74,-3.8
200804,79.6,1.8
200904,78.6,0.8
201004,77.5,-0.3
201104,85.7,7.9
201204,83.9,6.1
201304,77.1,-0.7
201404,79.1,1.3
201504,78.1,0.3
