Illinois, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189501,28.3,-5.5
189601,36.5,2.7
189701,31.5,-2.3
189801,37,3.2
189901,33.6,-0.2
190001,38.6,4.8
190101,37.5,3.7
190201,34.4,0.6
190301,33.4,-0.4
190401,28,-5.8
190501,27.6,-6.2
190601,40.1,6.3
190701,38.1,4.3
190801,37.2,3.4
190901,36.1,2.3
191001,32.8,-1.0
191101,37.6,3.8
191201,21.2,-12.6
191301,38.2,4.4
191401,40.1,6.3
191501,30.6,-3.2
191601,38.2,4.4
191701,36.3,2.5
191801,20.1,-13.7
191901,39.5,5.7
192001,28.6,-5.2
192101,39.9,6.1
192201,33.9,0.1
192301,38.9,5.1
192401,29.6,-4.2
192501,33.8,0.0
192601,36,2.2
192701,32.6,-1.2
192801,35.7,1.9
192901,30.3,-3.5
193001,27.6,-6.2
193101,39.9,6.1
193201,41.1,7.3
193301,46.1,12.3
193401,40.3,6.5
193501,35.9,2.1
193601,26.6,-7.2
193701,34.8,1.0
193801,34.6,0.8
193901,40.5,6.7
194001,21.4,-12.4
194101,35.7,1.9
194201,35.1,1.3
194301,34.7,0.9
194401,41,7.2
194501,29.5,-4.3
194601,37.3,3.5
194701,38.5,4.7
194801,29.8,-4.0
194901,36.4,2.6
195001,42,8.2
195101,34.7,0.9
195201,38.8,5.0
195301,37.2,3.4
195401,36.9,3.1
195501,34.6,0.8
195601,34.7,0.9
195701,29.5,-4.3
195801,33.2,-0.6
195901,30.1,-3.7
196001,35.4,1.6
196101,33.6,-0.2
196201,28.4,-5.4
196301,24.7,-9.1
196401,39.9,6.1
196501,35.7,1.9
196601,29.2,-4.6
196701,39.3,5.5
196801,32.2,-1.6
196901,30.5,-3.3
197001,26.5,-7.3
197101,30.7,-3.1
197201,33.5,-0.3
197301,36.7,2.9
197401,33.8,0.0
197501,37.4,3.6
197601,32,-1.8
197701,19.4,-14.4
197801,24.3,-9.5
197901,21.1,-12.7
198001,33.7,-0.1
198101,34.6,0.8
198201,26.2,-7.6
198301,35,1.2
198401,30.1,-3.7
198501,27.2,-6.6
198601,37.7,3.9
198701,33.8,0.0
198801,32,-1.8
198901,43.3,9.5
199001,45.5,11.7
199101,30.3,-3.5
199201,38.2,4.4
199301,35.1,1.3
199401,27.6,-6.2
199501,32.6,-1.2
199601,33.1,-0.7
199701,30.5,-3.3
199801,38.4,4.6
199901,33.3,-0.5
200001,36,2.2
200101,33.3,-0.5
200201,42.6,8.8
200301,31.2,-2.6
200401,32.7,-1.1
200501,36.5,2.7
200601,45.6,11.8
200701,37.9,4.1
200801,36.6,2.8
200901,29.3,-4.5
201001,28.4,-5.4
201101,30.3,-3.5
201201,41.1,7.3
201301,38.4,4.6
201401,29.3,-4.5
201501,33.7,-0.1
201601,34.7,0.9
