Connecticut, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,55.4,-1.7
189604,60.5,3.4
189704,58.8,1.7
189804,53.1,-4.0
189904,58.7,1.6
190004,57.4,0.3
190104,53.9,-3.2
190204,57.4,0.3
190304,57.5,0.4
190404,54.1,-3.0
190504,57.2,0.1
190604,57.8,0.7
190704,52,-5.1
190804,56.9,-0.2
190904,55.9,-1.2
191004,62,4.9
191104,54.4,-2.7
191204,55.8,-1.3
191304,57.9,0.8
191404,53.4,-3.7
191504,62.1,5.0
191604,53.3,-3.8
191704,54.1,-3.0
191804,57.7,0.6
191904,55.1,-2.0
192004,52.1,-5.0
192104,63.4,6.3
192204,57.9,0.8
192304,57.9,0.8
192404,54.9,-2.2
192504,59.5,2.4
192604,52.2,-4.9
192704,56.2,-0.9
192804,54,-3.1
192904,55,-2.1
193004,55.3,-1.8
193104,58,0.9
193204,55.2,-1.9
193304,55.2,-1.9
193404,57.7,0.6
193504,55.1,-2.0
193604,52.5,-4.6
193704,55,-2.1
193804,60.4,3.3
193904,53,-4.1
194004,52,-5.1
194104,64.9,7.8
194204,61.7,4.6
194304,51.5,-5.6
194404,53.7,-3.4
194504,62.5,5.4
194604,55.6,-1.5
194704,55.7,-1.4
194804,57,-0.1
194904,59.9,2.8
195004,53.7,-3.4
195104,59.2,2.1
195204,59.7,2.6
195304,56.5,-0.6
195404,59.4,2.3
195504,59.2,2.1
195604,52.9,-4.2
195704,60.1,3.0
195804,57.7,0.6
195904,59.9,2.8
196004,60.5,3.4
196104,53.9,-3.2
196204,59.3,2.2
196304,59,1.9
196404,56.1,-1.0
196504,55,-2.1
196604,54.3,-2.8
196704,54.8,-2.3
196804,63,5.9
196904,60.5,3.4
197004,57.3,0.2
197104,55.1,-2.0
197204,53.6,-3.5
197304,58.4,1.3
197404,60,2.9
197504,53.1,-4.0
197604,62,4.9
197704,60.4,3.3
197804,55.8,-1.3
197904,56.3,-0.8
198004,58.3,1.2
198104,60.1,3.0
198204,56.1,-1.0
198304,56.5,-0.6
198404,56,-1.1
198504,60.2,3.1
198604,60.3,3.2
198704,58.2,1.1
198804,55.2,-1.9
198904,56.1,-1.0
199004,57.5,0.4
199104,62.3,5.2
199204,54.7,-2.4
199304,57.9,0.8
199404,60.8,3.7
199504,56.8,-0.3
199604,57.1,0.0
199704,56.2,-0.9
199804,59.9,2.8
199904,60.1,3.0
200004,56,-1.1
200104,60,2.9
200204,61.4,4.3
200304,55.1,-2.0
200404,58.8,1.7
200504,62.1,5.0
200604,61.5,4.4
200704,55,-2.1
200804,62,4.9
200904,60.7,3.6
201004,64.4,7.3
201104,58.7,1.6
201204,61.5,4.4
201304,58.6,1.5
201404,58.3,1.2
201504,58.1,1.0
