South Carolina, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,46.6,-11.9
189602,58.7,0.2
189702,59.6,1.1
189802,56.9,-1.6
189902,53.9,-4.6
190002,54.6,-3.9
190102,54.2,-4.3
190202,49.9,-8.6
190302,59.2,0.7
190402,55,-3.5
190502,48.9,-9.6
190602,57.6,-0.9
190702,55.9,-2.6
190802,53.4,-5.1
190902,63.5,5.0
191002,55.4,-3.1
191102,62.9,4.4
191202,52.4,-6.1
191302,58.1,-0.4
191402,54.5,-4.0
191502,58.4,-0.1
191602,59.7,1.2
191702,58.4,-0.1
191802,63.1,4.6
191902,55.7,-2.8
192002,53.6,-4.9
192102,60,1.5
192202,62.4,3.9
192302,55.9,-2.6
192402,55,-3.5
192502,63.8,5.3
192602,60.3,1.8
192702,67.1,8.6
192802,57.3,-1.2
192902,55,-3.5
193002,64.3,5.8
193102,60.2,1.7
193202,65,6.5
193302,58.7,0.2
193402,52.8,-5.7
193502,58.7,0.2
193602,53.7,-4.8
193702,56.7,-1.8
193802,63.6,5.1
193902,64.5,6.0
194002,56.2,-2.3
194102,53.2,-5.3
194202,52,-6.5
194302,61.1,2.6
194402,62,3.5
194502,61,2.5
194602,62.3,3.8
194702,54.7,-3.8
194802,57.5,-1.0
194902,63.9,5.4
195002,63.3,4.8
195102,60.8,2.3
195202,59.9,1.4
195302,60.3,1.8
195402,63.8,5.3
195502,60.1,1.6
195602,62.7,4.2
195702,64.4,5.9
195802,51.5,-7.0
195902,58.7,0.2
196002,55.7,-2.8
196102,60.6,2.1
196202,63.5,5.0
196302,53,-5.5
196402,53.6,-4.9
196502,57.7,-0.8
196602,55.7,-2.8
196702,54.2,-4.3
196802,53,-5.5
196902,54,-4.5
197002,58.7,0.2
197102,58.2,-0.3
197202,55.3,-3.2
197302,56.1,-2.4
197402,61,2.5
197502,61.5,3.0
197602,67.6,9.1
197702,58.8,0.3
197802,49.7,-8.8
197902,53.4,-5.1
198002,54,-4.5
198102,59.2,0.7
198202,60.6,2.1
198302,56,-2.5
198402,61.4,2.9
198502,57.9,-0.6
198602,63.2,4.7
198702,55.4,-3.1
198802,57.8,-0.7
198902,60.5,2.0
199002,66.5,8.0
199102,62.3,3.8
199202,62.1,3.6
199302,55.5,-3.0
199402,60.5,2.0
199502,55.7,-2.8
199602,60,1.5
199702,61.7,3.2
199802,59.6,1.1
199902,62.3,3.8
200002,63.5,5.0
200102,63.1,4.6
200202,61,2.5
200302,57.6,-0.9
200402,54.4,-4.1
200502,59.1,0.6
200602,57.9,-0.6
200702,57.6,-0.9
200802,63.8,5.3
200902,59.7,1.2
201002,51.8,-6.7
201102,62.6,4.1
201202,62.7,4.2
201302,57.7,-0.8
201402,59.7,1.2
201502,52.3,-6.2
