North Dakota, Maximum Temperature, April
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189504,63.2,10.1
189604,49.3,-3.8
189704,50.6,-2.5
189804,53.5,0.4
189904,48.9,-4.2
190004,63.2,10.1
190104,55.8,2.7
190204,51.3,-1.8
190304,55.1,2.0
190404,46.7,-6.4
190504,54.1,1.0
190604,60.7,7.6
190704,42.4,-10.7
190804,56.8,3.7
190904,45,-8.1
191004,62.8,9.7
191104,53.6,0.5
191204,57,3.9
191304,58.9,5.8
191404,52,-1.1
191504,63.8,10.7
191604,49.5,-3.6
191704,46.3,-6.8
191804,52.7,-0.4
191904,52.2,-0.9
192004,42,-11.1
192104,53.6,0.5
192204,52.7,-0.4
192304,49.9,-3.2
192404,49.3,-3.8
192504,60.1,7.0
192604,58,4.9
192704,51.1,-2.0
192804,48,-5.1
192904,53.1,0.0
193004,59.8,6.7
193104,58.2,5.1
193204,55.2,2.1
193304,50.5,-2.6
193404,56.7,3.6
193504,47.8,-5.3
193604,47.5,-5.6
193704,50.3,-2.8
193804,55.7,2.6
193904,54.5,1.4
194004,47.4,-5.7
194104,53.6,0.5
194204,56.4,3.3
194304,58.8,5.7
194404,52.5,-0.6
194504,49.1,-4.0
194604,62.1,9.0
194704,50.7,-2.4
194804,51.9,-1.2
194904,60.8,7.7
195004,40.6,-12.5
195104,49.4,-3.7
195204,62.3,9.2
195304,46.5,-6.6
195404,50.9,-2.2
195504,60.6,7.5
195604,46.2,-6.9
195704,51.1,-2.0
195804,56.1,3.0
195904,54.2,1.1
196004,51.8,-1.3
196104,48.7,-4.4
196204,53.9,0.8
196304,53.2,0.1
196404,55.8,2.7
196504,48.9,-4.2
196604,45.7,-7.4
196704,48,-5.1
196804,54.5,1.4
196904,56.5,3.4
197004,45.5,-7.6
197104,54.5,1.4
197204,48.9,-4.2
197304,52.6,-0.5
197404,51.8,-1.3
197504,40.4,-12.7
197604,57.8,4.7
197704,63.8,10.7
197804,50.9,-2.2
197904,41.9,-11.2
198004,64,10.9
198104,60.8,7.7
198204,50.3,-2.8
198304,49.8,-3.3
198404,54.7,1.6
198504,60.2,7.1
198604,52.1,-1.0
198704,64.9,11.8
198804,60.4,7.3
198904,53.5,0.4
199004,55.9,2.8
199104,57.7,4.6
199204,51.8,-1.3
199304,53.5,0.4
199404,54.8,1.7
199504,46.8,-6.3
199604,47,-6.1
199704,47.5,-5.6
199804,60.1,7.0
199904,53.6,0.5
200004,54.5,1.4
200104,54.1,1.0
200204,49.9,-3.2
200304,57.7,4.6
200404,57.3,4.2
200504,60.2,7.1
200604,62,8.9
200704,53,-0.1
200804,53.8,0.7
200904,49.3,-3.8
201004,60.5,7.4
201104,48.5,-4.6
201204,58.5,5.4
201304,41.3,-11.8
201404,49.9,-3.2
201504,58.3,5.2
