Wyoming, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,25.8,-5.1
189612,38.1,7.2
189712,27.8,-3.1
189812,26.4,-4.5
189912,28.8,-2.1
190012,32.8,1.9
190112,28.2,-2.7
190212,28.9,-2.0
190312,32.3,1.4
190412,33.4,2.5
190512,29.4,-1.5
190612,35.4,4.5
190712,32.1,1.2
190812,28.4,-2.5
190912,18.4,-12.5
191012,32.7,1.8
191112,25.8,-5.1
191212,29.4,-1.5
191312,27.3,-3.6
191412,24.2,-6.7
191512,31.7,0.8
191612,21.7,-9.2
191712,33.7,2.8
191812,30.6,-0.3
191912,26.1,-4.8
192012,29.6,-1.3
192112,31.4,0.5
192212,28.2,-2.7
192312,29.8,-1.1
192412,23.7,-7.2
192512,33,2.1
192612,28.7,-2.2
192712,23.8,-7.1
192812,26.8,-4.1
192912,35.5,4.6
193012,31.1,0.2
193112,29.6,-1.3
193212,21.6,-9.3
193312,39.1,8.2
193412,32.4,1.5
193512,32.5,1.6
193612,32.2,1.3
193712,31,0.1
193812,32.3,1.4
193912,40.9,10.0
194012,33.9,3.0
194112,34.1,3.2
194212,33.1,2.2
194312,33.5,2.6
194412,30.7,-0.2
194512,27.6,-3.3
194612,36.4,5.5
194712,30.9,0.0
194812,27.1,-3.8
194912,31,0.1
195012,36.7,5.8
195112,27,-3.9
195212,32,1.1
195312,32.2,1.3
195412,33.7,2.8
195512,31.7,0.8
195612,34.3,3.4
195712,37,6.1
195812,34.1,3.2
195912,36.8,5.9
196012,31.5,0.6
196112,26.8,-4.1
196212,36.9,6.0
196312,30.8,-0.1
196412,29.3,-1.6
196512,34.9,4.0
196612,31.1,0.2
196712,25.7,-5.2
196812,27.6,-3.3
196912,34.5,3.6
197012,30.3,-0.6
197112,28.1,-2.8
197212,24.1,-6.8
197312,33.4,2.5
197412,31.1,0.2
197512,34.9,4.0
197612,35.2,4.3
197712,32.6,1.7
197812,21.5,-9.4
197912,37.2,6.3
198012,40.9,10.0
198112,34.7,3.8
198212,29.9,-1.0
198312,18.9,-12.0
198412,29.1,-1.8
198512,28.2,-2.7
198612,33.7,2.8
198712,31,0.1
198812,32.2,1.3
198912,30.3,-0.6
199012,24.6,-6.3
199112,33.7,2.8
199212,26.5,-4.4
199312,32.8,1.9
199412,35.3,4.4
199512,35.8,4.9
199612,30.5,-0.4
199712,31.2,0.3
199812,32.3,1.4
199912,36.1,5.2
200012,30,-0.9
200112,31.6,0.7
200212,35,4.1
200312,34.7,3.8
200412,35.9,5.0
200512,31,0.1
200612,34.6,3.7
200712,27.8,-3.1
200812,30.2,-0.7
200912,25,-5.9
201012,33.6,2.7
201112,32.6,1.7
201212,32.4,1.5
201312,28.9,-2.0
201412,34.7,3.8
201512,31.7,0.8
