Minnesota, Maximum Temperature, December
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189512,24.1,2.4
189612,25.2,3.5
189712,17.6,-4.1
189812,19.2,-2.5
189912,23,1.3
190012,23.4,1.7
190112,18.9,-2.8
190212,18.9,-2.8
190312,17,-4.7
190412,21.9,0.2
190512,25.7,4.0
190612,20.9,-0.8
190712,27.8,6.1
190812,23.2,1.5
190912,14.3,-7.4
191012,20.8,-0.9
191112,24.3,2.6
191212,27.6,5.9
191312,32.8,11.1
191412,15.5,-6.2
191512,23.4,1.7
191612,15.2,-6.5
191712,11.9,-9.8
191812,26.8,5.1
191912,13,-8.7
192012,23,1.3
192112,23.3,1.6
192212,18.7,-3.0
192312,32.4,10.7
192412,11.7,-10.0
192512,19.6,-2.1
192612,17.8,-3.9
192712,10.8,-10.9
192812,28.2,6.5
192912,19,-2.7
193012,25.4,3.7
193112,29.7,8.0
193212,19.6,-2.1
193312,18.7,-3.0
193412,18.4,-3.3
193512,19.6,-2.1
193612,24.4,2.7
193712,19.7,-2.0
193812,23,1.3
193912,33.5,11.8
194012,24.6,2.9
194112,28.6,6.9
194212,17.5,-4.2
194312,27.5,5.8
194412,22.5,0.8
194512,15.5,-6.2
194612,21.9,0.2
194712,20.6,-1.1
194812,22,0.3
194912,21.9,0.2
195012,16,-5.7
195112,17.2,-4.5
195212,25.7,4.0
195312,24.1,2.4
195412,25.7,4.0
195512,15.4,-6.3
195612,25.9,4.2
195712,27.7,6.0
195812,17.3,-4.4
195912,31,9.3
196012,21.2,-0.5
196112,18.9,-2.8
196212,24.6,2.9
196312,15,-6.7
196412,15.9,-5.8
196512,28.6,6.9
196612,21.1,-0.6
196712,24.2,2.5
196812,18.8,-2.9
196912,23.5,1.8
197012,20,-1.7
197112,21.3,-0.4
197212,14.9,-6.8
197312,19.5,-2.2
197412,27.6,5.9
197512,21.8,0.1
197612,16.8,-4.9
197712,16.6,-5.1
197812,17.6,-4.1
197912,29.5,7.8
198012,22,0.3
198112,20.4,-1.3
198212,27.8,6.1
198312,8.2,-13.5
198412,21.5,-0.2
198512,12.9,-8.8
198612,28.3,6.6
198712,27.1,5.4
198812,24.2,2.5
198912,14.4,-7.3
199012,21.5,-0.2
199112,25.7,4.0
199212,21.7,0.0
199312,23.3,1.6
199412,28.7,7.0
199512,20.7,-1.0
199612,16.2,-5.5
199712,30.2,8.5
199812,28.7,7.0
199912,31.1,9.4
200012,11.4,-10.3
200112,29.8,8.1
200212,29.7,8.0
200312,28.5,6.8
200412,25.8,4.1
200512,23,1.3
200612,31.9,10.2
200712,20,-1.7
200812,17.2,-4.5
200912,19.1,-2.6
201012,18.9,-2.8
201112,31,9.3
201212,25,3.3
201312,14.3,-7.4
201412,26.6,4.9
201512,30.6,8.9
