Utah, Maximum Temperature, July
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189507,82.9,-3.3
189607,83.7,-2.5
189707,82.9,-3.3
189807,87.1,0.9
189907,86.2,0.0
190007,86.9,0.7
190107,90,3.8
190207,83.6,-2.6
190307,83.2,-3.0
190407,84.3,-1.9
190507,85.1,-1.1
190607,84.5,-1.7
190707,84.7,-1.5
190807,85.6,-0.6
190907,85.7,-0.5
191007,86.2,0.0
191107,82.8,-3.4
191207,81.2,-5.0
191307,82.6,-3.6
191407,81.8,-4.4
191507,84.5,-1.7
191607,84.3,-1.9
191707,87.9,1.7
191807,82.9,-3.3
191907,87.8,1.6
192007,86.2,0.0
192107,85.5,-0.7
192207,86.2,0.0
192307,85.2,-1.0
192407,85.7,-0.5
192507,86.5,0.3
192607,85,-1.2
192707,85.7,-0.5
192807,86.2,0.0
192907,85.8,-0.4
193007,85.9,-0.3
193107,90.7,4.5
193207,84.7,-1.5
193307,88.5,2.3
193407,89.4,3.2
193507,87.1,0.9
193607,86.2,0.0
193707,85.3,-0.9
193807,84.5,-1.7
193907,87.9,1.7
194007,88.4,2.2
194107,84.8,-1.4
194207,88.4,2.2
194307,87.2,1.0
194407,86,-0.2
194507,86.4,0.2
194607,87,0.8
194707,87,0.8
194807,86.5,0.3
194907,85.8,-0.4
195007,83.7,-2.5
195107,87.8,1.6
195207,85.1,-1.1
195307,87.8,1.6
195407,88.3,2.1
195507,86,-0.2
195607,86.2,0.0
195707,85.4,-0.8
195807,86.2,0.0
195907,88.8,2.6
196007,89.9,3.7
196107,88,1.8
196207,85.3,-0.9
196307,88.2,2.0
196407,88.8,2.6
196507,83.6,-2.6
196607,87.6,1.4
196707,86.6,0.4
196807,85.8,-0.4
196907,86.5,0.3
197007,85.9,-0.3
197107,87.8,1.6
197207,87.7,1.5
197307,85.3,-0.9
197407,86,-0.2
197507,85.7,-0.5
197607,87.7,1.5
197707,85.9,-0.3
197807,88,1.8
197907,87.5,1.3
198007,87.5,1.3
198107,87.5,1.3
198207,84.1,-2.1
198307,83.9,-2.3
198407,85.2,-1.0
198507,86.9,0.7
198607,83.6,-2.6
198707,83.3,-2.9
198807,89.4,3.2
198907,90,3.8
199007,87,0.8
199107,87.1,0.9
199207,83.4,-2.8
199307,82.9,-3.3
199407,89.8,3.6
199507,85.2,-1.0
199607,89.1,2.9
199707,84.7,-1.5
199807,88.2,2.0
199907,85.7,-0.5
200007,89.8,3.6
200107,87.6,1.4
200207,91.8,5.6
200307,93.3,7.1
200407,87,0.8
200507,90.8,4.6
200607,89.6,3.4
200707,91.4,5.2
200807,89.4,3.2
200907,88.4,2.2
201007,88.1,1.9
201107,85.8,-0.4
201207,87.4,1.2
201307,89.1,2.9
201407,89,2.8
201507,84.1,-2.1
