Michigan, Maximum Temperature, February
Units: Degrees Fahrenheit
Base Period: 1901-2000
Date,Value,Anomaly
189502,21.4,-6.9
189602,28,-0.3
189702,28.1,-0.2
189802,27.7,-0.6
189902,19.9,-8.4
190002,22.7,-5.6
190102,21.1,-7.2
190202,26.7,-1.6
190302,27.6,-0.7
190402,16.7,-11.6
190502,20.6,-7.7
190602,28.3,0.0
190702,25.9,-2.4
190802,25.5,-2.8
190902,30.3,2.0
191002,25.5,-2.8
191102,30.7,2.4
191202,21.1,-7.2
191302,23.1,-5.2
191402,20.3,-8.0
191502,31.9,3.6
191602,23.3,-5.0
191702,19.2,-9.1
191802,26,-2.3
191902,29.4,1.1
192002,24.2,-4.1
192102,31.4,3.1
192202,28.1,-0.2
192302,22.4,-5.9
192402,26.6,-1.7
192502,30.9,2.6
192602,27.3,-1.0
192702,32.4,4.1
192802,28.4,0.1
192902,23,-5.3
193002,33.6,5.3
193102,34.9,6.6
193202,33.3,5.0
193302,28.1,-0.2
193402,21.3,-7.0
193502,28.2,-0.1
193602,18.4,-9.9
193702,30.2,1.9
193802,31.6,3.3
193902,27.4,-0.9
194002,29.3,1.0
194102,27.9,-0.4
194202,25.8,-2.5
194302,31,2.7
194402,30.4,2.1
194502,29.7,1.4
194602,28.4,0.1
194702,25.3,-3.0
194802,27.9,-0.4
194902,31,2.7
195002,27.9,-0.4
195102,29.5,1.2
195202,31.8,3.5
195302,31.8,3.5
195402,36.5,8.2
195502,29.2,0.9
195602,29.9,1.6
195702,31.9,3.6
195802,24.4,-3.9
195902,26.5,-1.8
196002,28.4,0.1
196102,34.1,5.8
196202,24.2,-4.1
196302,21.8,-6.5
196402,31.6,3.3
196502,27.5,-0.8
196602,29.9,1.6
196702,24.8,-3.5
196802,26.6,-1.7
196902,30.5,2.2
197002,28.5,0.2
197102,28.3,0.0
197202,26.3,-2.0
197302,28.6,0.3
197402,26.9,-1.4
197502,29.5,1.2
197602,35.7,7.4
197702,28,-0.3
197802,23.6,-4.7
197902,21,-7.3
198002,26,-2.3
198102,32.1,3.8
198202,26.6,-1.7
198302,34.1,5.8
198402,37.2,8.9
198502,26.9,-1.4
198602,27.3,-1.0
198702,35.7,7.4
198802,26.7,-1.6
198902,25.3,-3.0
199002,33.4,5.1
199102,34.1,5.8
199202,32.7,4.4
199302,27.6,-0.7
199402,24.5,-3.8
199502,27.7,-0.6
199602,28.4,0.1
199702,32,3.7
199802,39.1,10.8
199902,36,7.7
200002,36.2,7.9
200102,30.1,1.8
200202,36.2,7.9
200302,25.7,-2.6
200402,32.4,4.1
200502,33.3,5.0
200602,30.7,2.4
200702,23.3,-5.0
200802,27.3,-1.0
200902,32.4,4.1
201002,30.4,2.1
201102,29.9,1.6
201202,36,7.7
201302,28.8,0.5
201402,22.2,-6.1
201502,18.6,-9.7
